Date,Open,High,Low,Close,Volume
2020-11-02,810,810,800,810,34510
2020-11-03,810,810,800,800,102
2020-11-04,800,800,800,800,100
2020-11-05,800,805,800,805,194
2020-11-09,800,800,780,780,30
2020-11-10,800,810,800,810,387
2020-11-11,810,810,810,810,70
2020-11-12,810,850,800,850,3246
2020-11-13,850,850,845,845,30
2020-11-16,845,860,845,860,2064
2020-11-17,900,900,900,900,70
2020-11-18,900,900,900,900,1
2020-11-19,965,965,965,965,5
2020-11-20,985,1000,980,1000,9015
2020-11-23,985,1000,985,990,628
2020-11-24,1000,1010,1000,1010,863
2020-11-25,1000,1010,1000,1010,75
2020-11-26,1000,1000,1000,1000,10
2020-11-27,1000,1005,1000,1005,57
2020-12-01,1000,1000,995,995,1479
2020-12-02,995,995,995,995,10
2020-12-03,995,995,995,995,2
2020-12-04,995,995,990,990,336
2020-12-07,990,990,965,965,19
2020-12-09,965,965,900,900,40
2020-12-10,960,960,960,960,21
2020-12-11,995,995,995,995,550
2020-12-14,925,1000,925,1000,14987
2020-12-15,1000,1020,1000,1020,35
2020-12-16,1005,1005,1005,1005,10000
2020-12-17,1000,1020,1000,1020,1403
2020-12-18,1005,1095,995,1095,961
2020-12-21,1095,1175,1095,1175,6136
2020-12-22,1175,1175,1175,1175,5559
2020-12-23,1175,1210,1175,1210,10677
2020-12-24,1210,1245,1200,1245,6530
2020-12-28,1245,1300,1245,1300,33500
2020-12-31,1240,1240,1240,1240,7
2021-01-04,1150,1150,1150,1150,30
2021-01-05,1095,1095,1065,1065,1156
2021-01-06,1065,1080,1050,1080,190
2021-01-07,1080,1080,1080,1080,160
2021-01-08,1075,1080,1070,1070,560
2021-01-11,1000,1080,1000,1000,395
2021-01-12,1000,1075,995,1000,584
2021-01-13,1010,1010,1005,1005,240
2021-01-14,1080,1080,1080,1080,40
2021-01-18,1070,1100,1070,1100,5675
2021-01-19,1080,1080,1080,1080,50
2021-01-20,1075,1075,1075,1075,5
2021-01-21,1075,1075,1075,1075,5
2021-01-22,1080,1080,1080,1080,1
2021-01-25,1070,1070,1000,1000,61
2021-01-26,1000,1005,1000,1005,175
2021-01-27,1070,1070,1065,1065,80
2021-01-28,1010,1065,1010,1065,124
2021-01-29,1065,1065,1065,1065,5
2021-02-01,1055,1055,1055,1055,5
2021-02-02,1000,1055,1000,1055,130
2021-02-03,1055,1055,1000,1000,96
2021-02-04,1045,1045,1000,1000,170
2021-02-05,1040,1040,1000,1000,34
2021-02-08,1040,1040,1040,1040,11
2021-02-09,1005,1005,980,990,4995
2021-02-10,985,985,970,970,1912
2021-02-11,970,970,900,970,6502
2021-02-12,970,970,970,970,70
2021-02-15,970,970,955,955,740
2021-02-16,955,955,945,955,377
2021-02-17,955,955,950,955,1111
2021-02-18,950,950,945,945,5
2021-02-19,945,945,940,945,479
2021-02-22,950,1000,945,945,2611
2021-02-23,1000,1000,935,935,750
2021-02-24,975,995,935,935,599
2021-02-25,935,935,925,935,337
2021-02-26,935,935,935,935,290
2021-03-01,935,1000,935,935,305
2021-03-02,875,995,875,995,1032
2021-03-03,985,985,985,985,10
