Date,Open,High,Low,Close,Volume
2020-12-31,825,1300,780,1240,143806
2021-03-31,1150,1150,875,905,38376
2021-06-30,970,1180,885,1070,59591
2021-09-30,1070,1820,1035,1820,70387
2021-12-31,1820,2045,1655,1750,87506
2022-03-31,1750,1880,1390,1810,73718
2022-06-30,1810,1940,1465,1590,33189
2022-09-30,1570,1685,1470,1600,26357
2022-12-31,1600,1625,1295,1295,19615
2023-03-31,1300,1460,1140,1280,69016
2023-06-30,1280,1475,1140,1465,35371
2023-09-30,1465,1470,1200,1250,45047
2023-12-31,1250,1375,1080,1330,38879
2024-03-31,1330,1420,1200,1280,32952
2024-06-30,1260,2140,1205,2000,158544
2024-09-30,2005,2900,1980,2300,120443
2024-12-31,2300,2300,1760,1900,80826
2025-03-31,1900,1905,1690,1795,84357
2025-06-30,1790,2090,1490,1720,151185
2025-09-30,1725,1840,1600,1825,105466
2025-12-31,1825,2395,1785,2375,91739
