Date,Open,High,Low,Close,Volume
2020-11-02,810,810,800,810,34510
2020-11-09,810,810,780,780,426
2020-11-16,800,860,800,860,5797
2020-11-23,900,1000,900,990,9719
2020-11-30,1000,1010,1000,1005,1005
2020-12-07,1000,1000,965,965,1846
2020-12-14,965,1000,900,1000,15598
2020-12-21,1000,1175,995,1175,18535
2020-12-28,1175,1300,1175,1300,56266
2021-01-04,1240,1240,1150,1150,37
2021-01-11,1095,1095,1000,1000,2461
2021-01-18,1000,1100,995,1100,6539
2021-01-25,1080,1080,1000,1000,122
2021-02-01,1000,1070,1000,1055,389
2021-02-08,1000,1055,1000,1040,441
2021-02-15,1005,1005,900,955,14219
2021-02-22,955,1000,940,945,4583
2021-03-01,1000,1000,925,935,2281
2021-03-08,875,995,875,955,1244
2021-03-15,955,1075,950,1040,2553
2021-03-22,1035,1035,995,995,1868
2021-03-29,995,1000,980,980,1291
2021-04-05,955,980,905,970,732
2021-04-12,930,970,925,970,949
2021-04-19,970,970,900,900,1385
2021-04-26,950,980,905,980,3903
2021-05-03,975,1025,910,1025,1233
2021-05-10,1025,1025,885,940,6691
2021-05-17,950,1000,950,1000,743
2021-05-24,1000,1045,1000,1005,5579
2021-05-31,1045,1045,1040,1040,1013
2021-06-07,1005,1045,1000,1035,2144
2021-06-14,1040,1180,965,1175,13195
2021-06-21,1100,1170,1035,1040,5666
2021-06-28,1040,1070,1035,1050,15026
2021-07-05,1050,1075,1050,1065,2313
2021-07-12,1045,1065,1035,1065,3230
2021-07-19,1065,1150,1050,1150,2987
2021-07-26,1180,1200,1150,1175,7182
2021-08-02,1250,1385,1185,1385,9175
2021-08-09,1390,1510,1385,1485,5865
2021-08-16,1500,1500,1400,1400,5689
2021-08-23,1420,1420,1400,1410,3174
2021-08-30,1405,1420,1370,1420,5416
2021-09-06,1410,1425,1200,1350,5257
2021-09-13,1310,1395,1295,1350,2572
2021-09-20,1350,1495,1300,1485,5373
2021-09-27,1490,1695,1490,1650,3291
2021-10-04,1695,1955,1610,1800,18918
2021-10-11,1800,1820,1655,1800,18899
2021-10-18,1800,1995,1800,1995,6690
2021-10-25,1990,1995,1750,1895,7805
2021-11-01,1895,1935,1800,1935,6040
2021-11-08,2045,2045,1950,1950,4537
2021-11-15,2000,2000,1900,1950,2895
2021-11-22,1915,2025,1915,1955,1596
2021-11-29,1955,2000,1955,2000,1969
2021-12-06,1960,2025,1955,2015,6709
2021-12-13,1960,2005,1850,1850,6759
2021-12-20,1850,1990,1800,1980,2737
2021-12-27,1900,1975,1805,1850,2314
2022-01-03,1800,1800,1700,1740,10327
2022-01-10,1740,1750,1510,1600,5844
2022-01-17,1595,1610,1390,1610,11519
