Date,Open,High,Low,Close,Volume
2025-04-28,5600,5640,5250,5600,4977
2025-05-05,5600,5635,5255,5350,18306
2025-05-12,5500,5600,5220,5450,30253
2025-05-19,5400,5450,5350,5395,12766
2025-05-26,5375,5395,5200,5300,29102
2025-06-02,5225,5375,5225,5350,5779
2025-06-09,5350,5350,5255,5350,4044
2025-06-16,5300,6155,5260,5600,16836
2025-06-23,5650,5650,5365,5595,10929
2025-06-30,5595,5600,5040,5340,18871
2025-07-07,5050,5340,5010,5200,13772
2025-07-14,5200,5350,4910,5290,27556
2025-07-21,5270,5290,5100,5270,11024
2025-07-28,5255,5500,5255,5300,5570
2025-08-04,5300,5360,5250,5250,2497
2025-08-11,5250,5300,4860,5250,13482
2025-08-18,5240,5250,5050,5230,3655
2025-08-25,5230,5240,5150,5200,4026
2025-09-01,5165,5220,5095,5215,6610
2025-09-08,5200,5305,5090,5300,8880
2025-09-15,5195,5300,4900,5290,7638
2025-09-22,5105,5290,5010,5050,13070
2025-09-29,5055,5255,5020,5250,14207
2025-10-06,5250,5250,5000,5095,17165
2025-10-13,5095,5195,4990,5195,27835
2025-10-20,5195,5250,5000,5250,8970
2025-10-27,5150,5300,5000,5260,25709
2025-11-03,5260,5300,5100,5200,20701
2025-11-10,5100,5295,5000,5245,68831
2025-11-17,5100,5245,4900,4995,24553
