Date,Open,High,Low,Close,Volume
2020-10-26,5200,5715,5200,5715,1530
2020-10-27,6140,6140,6140,6140,5
2020-10-28,6100,6500,6100,6500,258
2020-11-02,6370,6500,6370,6500,8847
2020-11-13,6050,6400,6050,6400,9042
2020-11-16,6440,6440,6440,6440,1000
2020-11-17,6400,6890,6400,6890,16000
2020-11-18,6395,6790,6395,6790,150
2020-11-19,6495,6495,6390,6400,557
2020-11-20,6335,6400,6335,6400,1661
2020-11-23,6400,6400,6400,6400,4000
2020-11-24,6000,6395,6000,6395,2935
2020-11-25,6390,6390,6390,6390,17
2020-11-26,6005,6385,6005,6385,581
2020-12-01,6000,6860,6000,6860,28740
2020-12-02,6860,6870,6860,6870,194
2020-12-03,6550,6680,6480,6680,1434
2020-12-29,6180,6430,6180,6395,5491
2020-12-30,6000,6675,5995,6675,16112
2020-12-31,6395,6680,6395,6680,34080
2021-01-04,6680,6680,6180,6180,289555
2021-01-07,6000,6000,6000,6000,250
2021-01-13,5550,5550,5550,5550,23
2021-01-14,5150,5150,5150,5150,69
2021-01-15,5150,5150,4900,4900,435
2021-01-18,4900,4900,4900,4900,47
2021-01-19,4900,4900,4900,4900,1
2021-01-20,4855,4855,4850,4850,13
2021-01-21,4900,4900,4900,4900,10
2021-01-22,4895,4900,4895,4900,60
2021-01-26,4900,4900,4900,4900,110
2021-01-27,4900,4900,4800,4900,137
2021-01-28,5265,5265,5265,5265,10
2021-01-29,5265,5655,5265,5655,50
2021-02-01,5800,6000,5800,6000,440
2021-02-02,6000,6450,5995,6450,1595
2021-02-03,6600,6680,6590,6680,84453
2021-02-04,6450,6450,6450,6450,2
2021-02-08,5970,5970,5970,5970,198
2021-02-11,5700,5700,5700,5700,6
2021-02-12,5700,5700,5700,5700,115
2021-02-16,5300,5300,5300,5300,2
2021-02-17,5005,5005,5000,5000,178
2021-02-18,5000,5000,5000,5000,4399
2021-02-19,5000,5000,5000,5000,398
2021-02-22,4995,5000,4625,4625,1020
2021-02-24,4625,4625,4625,4625,25
2021-02-26,4280,4650,4280,4280,1692
2021-03-01,4310,4500,4300,4500,180
2021-03-02,4500,4600,4500,4600,15
2021-03-03,4800,4945,4800,4945,28
2021-03-04,4980,4995,4980,4995,13
2021-03-05,4995,5195,4995,5195,187
2021-03-08,5500,5500,5500,5500,10
2021-03-09,5490,5490,5490,5490,25
2021-03-11,5395,5395,5395,5395,5
2021-03-12,5100,5100,5000,5000,835
2021-03-15,5000,5000,4900,5000,22
2021-03-16,5000,5000,5000,5000,130
2021-03-17,5005,5200,5005,5200,46
2021-03-18,5100,5100,5100,5100,90
2021-03-19,5380,5380,5380,5380,1
2021-03-23,5370,5370,5370,5370,2
2021-03-25,5350,5350,5350,5350,10
2021-03-26,5000,5000,5000,5000,25
2021-03-29,5000,5375,5000,5375,1040
2021-03-30,5000,5200,5000,5200,105
2021-03-31,5005,5005,5005,5005,60
2021-04-01,5000,5005,5000,5005,300
2021-04-06,5015,5015,5005,5005,304
2021-04-07,5005,5005,5005,5005,75
2021-04-08,5005,5380,5005,5380,206
2021-04-09,5010,5250,5010,5250,301
2021-04-15,5250,5250,5250,5250,5
2021-04-21,5220,5220,5220,5220,20
2021-04-22,5300,5300,5300,5300,21
2021-04-26,5380,5500,5380,5500,65
2021-04-27,5400,5910,5400,5910,159
2021-04-28,5550,5550,5545,5550,95
2021-04-29,5135,5135,5135,5135,7
2021-04-30,5105,5130,5105,5130,1493
2021-05-03,5180,5450,5135,5135,163
2021-05-04,5180,5450,5180,5450,16
2021-05-07,5425,5425,5425,5425,5
2021-05-10,5390,5390,5205,5255,155
2021-05-11,5400,5400,5400,5400,1
2021-05-14,5300,5300,5300,5300,1
2021-05-17,5250,5250,5250,5250,34
2021-05-18,5300,5300,5300,5300,33
2021-05-19,5300,5300,5300,5300,580
2021-05-20,5300,5400,5300,5400,265
2021-05-21,5640,5640,5640,5640,50
2021-05-25,5300,5300,5300,5300,1646
2021-05-26,5155,5300,5155,5300,614
2021-05-28,5300,5500,5300,5500,14
2021-05-31,5500,5500,5500,5500,16
2021-06-01,5500,5500,5320,5320,277
2021-06-02,5500,5500,5300,5300,1498
2021-06-03,5300,5300,5300,5300,250
2021-06-04,5200,5300,5200,5300,2265
2021-06-07,5300,5350,5300,5305,450
2021-06-08,5640,5640,5640,5640,34
2021-06-09,5640,5795,5640,5795,120
2021-06-10,5790,5790,5790,5790,511
2021-06-11,5700,5750,5700,5750,4
2021-06-14,5600,5600,5600,5600,140
2021-06-15,5500,5500,5400,5400,1477
2021-06-16,5355,5355,5300,5300,950
2021-06-17,5400,5400,5395,5400,623
2021-06-18,5680,5680,5680,5680,345
2021-06-21,5700,5750,5700,5750,112
2021-06-22,5695,5700,5695,5700,50
2021-06-23,5600,5600,5600,5600,43
2021-06-24,5200,5200,5200,5200,192
2021-06-25,5200,5300,5200,5300,499
2021-06-28,5325,5325,5300,5300,180
2021-07-01,5500,5500,5350,5350,70
2021-07-02,5600,5600,5600,5600,20
2021-07-05,5350,5480,5350,5480,318
2021-07-06,5480,5480,5480,5480,70
2021-07-07,5480,5490,5400,5490,366
2021-07-08,5485,5490,5450,5450,600
2021-07-09,5450,5450,5350,5350,1730
2021-07-12,5450,5450,5350,5350,33
2021-07-13,5350,5400,5350,5350,166
2021-07-14,5350,5350,5350,5350,432
2021-07-15,5350,5600,5350,5600,20
2021-07-16,5355,5550,5355,5365,90
2021-07-19,5550,5750,5500,5500,1070
2021-07-21,5500,5500,5500,5500,20
2021-07-22,5900,5900,5500,5500,11
2021-07-23,5500,5500,5355,5355,320
2021-07-26,5365,5450,5355,5370,216
2021-07-27,5770,5770,5770,5770,261
2021-07-28,5760,5760,5760,5760,10
2021-07-29,5600,5600,5600,5600,2
2021-07-30,5700,5700,5700,5700,15
2021-08-03,5505,5735,5505,5505,34
2021-08-04,5735,5760,5735,5750,2049
2021-08-05,5600,5760,5600,5750,6224
2021-08-06,5750,5750,5750,5750,376
2021-08-09,5760,5800,5750,5750,417
2021-08-10,5760,5995,5760,5995,203
2021-08-11,5995,6200,5995,6195,394
2021-08-12,6195,6195,6195,6195,8
2021-08-13,6185,6185,6185,6185,27
2021-08-16,6190,6190,6190,6190,7
2021-08-17,6000,6180,6000,6180,612
2021-08-18,6190,6190,6190,6190,100
2021-08-20,6175,6175,6175,6175,10
2021-08-23,6175,6175,6005,6170,71
2021-08-24,6010,6015,6000,6000,521
2021-08-25,6000,6000,6000,6000,29
2021-08-26,6000,6000,6000,6000,5
2021-08-27,5800,5800,5800,5800,137
2021-08-30,5800,5800,5750,5800,160
2021-08-31,5800,6000,5800,6000,1680
2021-09-01,6000,6000,6000,6000,37
2021-09-02,6200,6300,6200,6200,350
2021-09-03,6500,6500,6500,6500,15
2021-09-06,6495,6500,6495,6500,20
2021-09-07,6500,6500,6500,6500,10
2021-09-08,6495,6495,6495,6495,20
2021-09-09,6100,6100,6100,6100,55
2021-09-10,6300,6300,6100,6100,106
2021-09-13,6100,6495,5655,6100,486
2021-09-14,6100,6100,6100,6100,82
2021-09-15,5645,6495,5645,6495,1655
2021-09-16,6495,6495,6495,6495,14
2021-09-17,6130,6495,6130,6495,143
2021-09-20,6475,6475,6450,6450,24
2021-09-21,6475,6475,6100,6100,75
2021-09-22,5700,6450,5700,6300,536
2021-09-23,6200,6250,6200,6250,11
2021-09-24,6250,6250,6200,6250,271
2021-09-27,6250,6250,6250,6250,6
2021-09-28,6100,6100,6100,6100,13
2021-09-29,6100,6250,6100,6250,61
2021-09-30,6100,6250,6100,6100,357
2021-10-01,6050,6100,6050,6100,23
