Date,Open,High,Low,Close,Volume
2020-11-30,6050,6890,6000,6385,35943
2020-12-31,6000,6870,5995,6680,86051
2021-01-31,6680,6680,4800,5655,290770
2021-02-28,5800,6680,4280,4280,94523
2021-03-31,4310,5500,4300,5005,2829
2021-04-30,5000,5910,5000,5130,3051
2021-05-31,5180,5640,5135,5500,3593
2021-06-30,5500,5795,5200,5300,10020
2021-07-31,5500,5900,5350,5700,5840
2021-08-31,5505,6200,5505,6000,13064
2021-09-30,6000,6500,5645,6100,4347
2021-10-31,6050,6485,5645,6000,6568
2021-11-30,5955,6000,5510,6000,9816
2021-12-31,6000,7525,5905,7400,191045
2022-01-31,7250,7250,6000,6000,10336
2022-02-28,6000,6410,5800,6050,10745
2022-03-31,6050,6400,5700,6395,13032
2022-04-30,6300,6350,5700,6200,52533
2022-05-31,6000,6300,5550,6010,4865
2022-06-30,6170,6295,5800,6295,7652
2022-07-31,6295,6800,6000,6100,10136
2022-08-31,6400,6900,6390,6890,4482
2022-09-30,6790,6790,6500,6505,2804
2022-10-31,6900,6900,6015,6400,10607
2022-11-30,5925,6500,5915,6385,7979
2022-12-31,5910,7000,5905,6850,27789
2023-01-31,6840,6840,5995,6000,7149
2023-02-28,6000,6500,5785,6390,7565
2023-03-31,6390,6495,6200,6400,13068
2023-04-30,6200,6400,5825,6290,107528
2023-05-31,6200,6800,6190,6700,7964
2023-06-30,6700,7100,6700,6890,9788
2023-07-31,6740,6890,6100,6800,3748
2023-08-31,6900,7000,6400,6700,13059
2023-09-30,6900,7000,6700,6895,10757
2023-10-31,6895,6900,6700,6800,22271
2023-11-30,6900,7000,6700,6930,16655
2023-12-31,6930,7495,6300,7490,10683
2024-01-31,7450,7490,6900,7480,1196
2024-02-29,7480,7490,6855,6885,7416
2024-03-31,7400,7400,6800,7300,2756
2024-04-30,7300,7500,6810,7500,3592
2024-05-31,7500,8945,7500,8605,5537
2024-06-30,9250,11500,8605,10000,2956
2024-07-31,10640,10640,9185,9740,14501
2024-08-31,9700,10750,9405,10100,23638
2024-09-30,10100,11100,10000,10750,7517
2024-10-31,10750,11100,10500,10805,6326
2024-11-30,11615,13600,10805,13490,21975
2024-12-31,13490,14230,12955,14000,29368
2025-01-31,14100,16000,13655,16000,4767
2025-02-28,16000,16165,14160,16000,8760
2025-03-31,16000,16200,14815,15990,8679
2025-04-30,15950,15995,14295,15400,6089
2025-05-31,15400,18220,14000,17000,4358
2025-06-30,17000,17000,16000,16700,6740
2025-07-31,16580,18105,16110,17050,22762
2025-08-31,17000,17210,15500,15515,39438
2025-09-30,15505,17000,14500,16885,53139
2025-10-31,16885,19995,16590,19340,31581
2025-11-30,19330,19340,18755,18755,3910
