Date,Open,High,Low,Close,Volume
2020-12-31,6050,6890,5995,6680,121994
2021-03-31,6680,6680,4280,5005,388122
2021-06-30,5000,5910,5000,5300,16664
2021-09-30,5500,6500,5350,6100,23251
2021-12-31,6050,7525,5510,7400,207429
2022-03-31,7250,7250,5700,6395,34113
2022-06-30,6300,6350,5550,6295,65050
2022-09-30,6295,6900,6000,6505,17422
2022-12-31,6900,7000,5905,6850,46375
2023-03-31,6840,6840,5785,6400,27782
2023-06-30,6200,7100,5825,6890,125280
2023-09-30,6740,7000,6100,6895,27564
2023-12-31,6895,7495,6300,7490,49609
2024-03-31,7450,7490,6800,7300,11368
2024-06-30,7300,11500,6810,10000,12085
2024-09-30,10640,11100,9185,10750,45656
2024-12-31,10750,14230,10500,14000,57669
2025-03-31,14100,16200,13655,15990,22206
2025-06-30,15950,18220,14000,16700,17187
2025-09-30,16580,18105,14500,16885,115339
2025-12-31,16885,19995,16590,18900,33900
