Date,Open,High,Low,Close,Volume
2020-11-16,6050.0,6440.0,6050.0,6440.0,10042
2020-11-23,6400.0,6890.0,6335.0,6400.0,22368
2020-11-30,6000.0,6395.0,6000.0,6385.0,3533
2020-12-07,6000.0,6870.0,6000.0,6680.0,30368
2021-01-04,6180.0,6680.0,5995.0,6180.0,345238
2021-01-11,6000.0,6000.0,6000.0,6000.0,250
2021-01-18,5550.0,5550.0,4900.0,4900.0,574
2021-01-25,4900.0,4900.0,4850.0,4900.0,84
2021-02-01,4900.0,6000.0,4800.0,6000.0,747
2021-02-08,6000.0,6680.0,5970.0,5970.0,86248
2021-02-15,5700.0,5700.0,5700.0,5700.0,121
2021-02-22,5300.0,5300.0,4625.0,4625.0,5997
2021-03-01,4625.0,4650.0,4280.0,4500.0,1897
2021-03-08,4500.0,5500.0,4500.0,5500.0,253
2021-03-15,5490.0,5490.0,4900.0,5000.0,887
2021-03-22,5000.0,5380.0,5000.0,5380.0,267
2021-03-29,5370.0,5375.0,5000.0,5375.0,1077
2021-04-05,5000.0,5200.0,5000.0,5005.0,465
2021-04-12,5015.0,5380.0,5005.0,5250.0,886
2021-04-19,5250.0,5250.0,5250.0,5250.0,5
2021-04-26,5220.0,5500.0,5220.0,5500.0,106
2021-05-03,5400.0,5910.0,5105.0,5135.0,1917
2021-05-10,5180.0,5450.0,5180.0,5255.0,176
2021-05-17,5400.0,5400.0,5250.0,5250.0,36
2021-05-24,5300.0,5640.0,5300.0,5640.0,928
2021-05-31,5300.0,5500.0,5155.0,5500.0,2290
2021-06-07,5500.0,5500.0,5200.0,5305.0,4740
2021-06-14,5640.0,5795.0,5600.0,5600.0,809
2021-06-21,5500.0,5750.0,5300.0,5750.0,3507
2021-06-28,5695.0,5700.0,5200.0,5300.0,964
2021-07-05,5500.0,5600.0,5350.0,5480.0,408
2021-07-12,5480.0,5490.0,5350.0,5350.0,2799
2021-07-19,5350.0,5750.0,5350.0,5500.0,1778
2021-07-26,5500.0,5900.0,5355.0,5370.0,567
2021-08-02,5770.0,5770.0,5600.0,5700.0,288
2021-08-09,5505.0,5800.0,5505.0,5750.0,9100
2021-08-16,5760.0,6200.0,5760.0,6190.0,639
2021-08-23,6000.0,6190.0,6000.0,6170.0,793
2021-08-30,6010.0,6015.0,5750.0,5800.0,852
2021-09-06,5800.0,6500.0,5800.0,6500.0,2102
2021-09-13,6500.0,6500.0,5655.0,6100.0,677
2021-09-20,6100.0,6495.0,5645.0,6450.0,1918
2021-09-27,6475.0,6475.0,5700.0,6250.0,899
2021-10-04,6100.0,6250.0,5645.0,6250.0,1597
2021-10-11,6250.0,6485.0,5785.0,6190.0,771
2021-10-18,6190.0,6400.0,6000.0,6400.0,287
2021-10-25,6000.0,6400.0,5735.0,6200.0,3494
2021-11-01,6400.0,6400.0,5950.0,6000.0,850
2021-11-08,5955.0,6000.0,5955.0,5990.0,1217
2021-11-15,5990.0,6000.0,5510.0,6000.0,1089
2021-11-22,5995.0,6000.0,5990.0,5990.0,5648
2021-11-29,5995.0,6000.0,5885.0,6000.0,1809
2021-12-06,5980.0,6000.0,5905.0,6000.0,4547
2021-12-13,6000.0,6000.0,5990.0,6000.0,103297
2021-12-20,6200.0,7000.0,6080.0,7000.0,41697
2021-12-27,7000.0,7525.0,6950.0,7525.0,34329
2022-01-03,7525.0,7525.0,6965.0,7250.0,7233
2022-01-10,6710.0,6710.0,6050.0,6050.0,1630
