Date,Open,High,Low,Close,Volume
2020-12-31,625,650,575,600,15761
2021-03-31,645,685,570,630,23221
2021-06-30,585,1990,585,1690,51381
2021-09-30,1690,2095,1600,1850,113548
2021-12-31,1820,2450,1815,2175,71800
2022-03-31,2190,2510,1960,2300,44548
2022-06-30,2295,2580,1830,2195,40326
2022-09-30,2195,2385,1950,2140,39165
2022-12-31,2200,2250,1850,2000,16469
2023-03-31,2000,2050,1800,1925,40340
2023-06-30,1925,2045,1800,1990,19039
2023-09-30,1950,2245,1715,1750,38456
2023-12-31,1840,1995,990,1000,28874
2024-03-31,1050,1450,1000,1245,31820
2024-06-30,1245,1300,925,1000,33567
2024-09-30,1000,1600,940,1075,31373
2024-12-31,1075,1200,930,1065,24630
2025-03-31,1090,1120,910,1060,35848
2025-06-30,1060,1235,865,1200,107792
2025-09-30,1200,2000,1120,1660,142197
2025-12-31,1700,2125,1660,1670,128938
