Date,Open,High,Low,Close,Volume
2020-11-16,620,620,605,605,366
2020-11-23,605,650,600,650,329
2020-11-30,640,640,600,600,444
2020-12-07,620,620,620,620,2280
2020-12-14,600,635,600,625,2163
2020-12-21,600,650,600,625,872
2020-12-28,630,630,625,630,7111
2021-01-04,620,645,575,645,2156
2021-01-11,645,645,630,630,251
2021-01-18,630,645,630,630,725
2021-01-25,630,645,625,635,746
2021-02-01,645,670,600,605,6536
2021-02-08,650,650,605,605,120
2021-02-15,610,630,580,580,1890
2021-02-22,580,625,570,625,1768
2021-03-01,640,670,635,670,2826
2021-03-08,670,670,670,670,2207
2021-03-15,670,670,650,670,1025
2021-03-22,670,685,670,685,784
2021-03-29,685,685,630,680,4172
2021-04-05,630,685,585,630,1285
2021-04-12,630,630,585,585,1421
2021-04-19,590,635,585,585,2006
2021-04-26,625,670,585,585,4514
2021-05-03,620,740,620,740,5629
2021-05-10,740,910,740,910,3097
2021-05-17,905,1115,905,1000,8747
2021-05-24,975,1200,925,1200,4224
2021-05-31,1200,1200,1100,1175,3881
2021-06-07,1195,1300,1165,1300,5794
2021-06-14,1300,1610,1300,1610,3484
2021-06-21,1610,1990,1610,1710,1911
2021-06-28,1585,1800,1500,1700,2824
2021-07-05,1670,1700,1650,1700,6690
2021-07-12,1700,1990,1700,1990,4593
2021-07-19,1990,2095,1855,2090,2672
2021-07-26,2000,2095,1855,1860,5632
2021-08-02,1870,1955,1700,1705,8819
2021-08-09,1705,1950,1705,1850,4608
2021-08-16,1850,1935,1600,1620,5422
2021-08-23,1620,1870,1620,1725,3593
2021-08-30,1725,1920,1670,1800,1652
2021-09-06,1825,1825,1710,1710,2287
2021-09-13,1710,1825,1605,1820,10254
2021-09-20,1955,2085,1820,2045,45974
2021-09-27,2045,2045,1880,1995,8562
2021-10-04,1995,2025,1815,1905,6078
2021-10-11,1970,2200,1950,2200,3767
2021-10-18,2200,2225,2100,2100,2775
2021-10-25,2050,2100,2000,2100,3916
2021-11-01,2000,2150,1950,2100,2722
2021-11-08,2100,2430,2100,2300,15800
2021-11-15,2300,2430,2150,2310,8711
2021-11-22,2450,2450,2150,2200,1454
2021-11-29,2200,2450,2150,2300,19972
2021-12-06,2200,2375,2190,2255,2736
2021-12-13,2255,2300,2250,2295,2860
2021-12-20,2295,2300,2035,2035,4158
2021-12-27,2065,2190,2030,2190,1520
2022-01-03,2185,2195,2050,2190,996
2022-01-10,2185,2185,2120,2120,1830
2022-01-17,2145,2145,2020,2100,1624
2022-01-24,2100,2100,2000,2000,3710
2022-01-31,2100,2200,1960,2200,5308
2022-02-07,2300,2345,2200,2200,1547
2022-02-14,2175,2200,2175,2200,7647
2022-02-21,2150,2395,2150,2395,2560
2022-02-28,2395,2510,2395,2450,8039
2022-03-07,2475,2505,2400,2495,3658
