Date,Open,High,Low,Close,Volume
2020-10-30,1738,1748,1738,1748,800
2020-11-02,1738,1738,1738,1738,144
2020-11-03,1748,1748,1740,1748,4442
2020-11-04,1748,1748,1745,1745,3744
2020-11-05,1745,1775,1745,1775,1226
2020-11-09,1775,1800,1775,1800,1456
2020-11-10,1775,1775,1775,1775,30
2020-11-11,1750,1813,1740,1813,1932
2020-11-12,1808,1808,1808,1808,24
2020-11-13,1753,1753,1740,1750,1334
2020-11-16,1750,1825,1750,1825,1056
2020-11-17,1753,1798,1750,1750,2028
2020-11-18,1750,1825,1750,1825,3296
2020-11-19,1795,1795,1750,1750,21942
2020-11-20,1825,1825,1825,1825,228
2020-11-23,1823,1850,1775,1850,8542
2020-11-24,1800,1850,1800,1850,1310
2020-11-25,1800,1850,1800,1850,714
2020-11-26,1825,1850,1800,1850,426
2020-11-27,1850,1850,1800,1800,330
2020-11-30,1803,1845,1800,1845,252
2020-12-01,1850,1850,1800,1845,5300
2020-12-02,1845,1845,1830,1830,130
2020-12-03,1788,1825,1775,1800,8354
2020-12-04,1830,1830,1830,1830,2
2020-12-07,1800,1845,1800,1845,3950
2020-12-08,1800,1830,1800,1830,182
2020-12-09,1845,1845,1800,1840,3884
2020-12-10,1840,1840,1830,1833,360
2020-12-11,1835,1845,1833,1845,1124
2020-12-14,1833,1845,1833,1845,3018
2020-12-15,1825,1845,1750,1800,21570
2020-12-16,1800,1800,1800,1800,120
2020-12-17,1800,1845,1800,1845,568
2020-12-18,1825,1845,1800,1845,4428
2020-12-21,1843,1845,1813,1813,534
2020-12-22,1813,1813,1780,1780,3346
2020-12-23,1823,1823,1820,1820,438
2020-12-24,1803,1820,1803,1820,2816
2020-12-28,1823,1848,1790,1848,13520
2020-12-29,1800,1845,1780,1845,4164
2020-12-30,1845,1845,1845,1845,20
2020-12-31,1800,1848,1800,1848,20004
2021-01-04,1800,1848,1800,1848,5456
2021-01-05,1800,1800,1800,1800,64
2021-01-06,1800,1830,1800,1830,440
2021-01-07,1800,1848,1800,1800,754
2021-01-08,1800,1800,1775,1775,868
2021-01-11,1800,1800,1775,1775,3396
2021-01-12,1800,1848,1800,1848,2000
2021-01-13,1800,1848,1800,1848,370
2021-01-14,1825,1848,1825,1848,214
2021-01-15,1848,1848,1845,1845,92
2021-01-18,1848,1848,1845,1845,290
