Date,Open,High,Low,Close,Volume
2020-11-30,1808,1850,1740,1845,41482
2020-12-31,1850,1850,1750,1848,97832
2021-01-31,1800,2000,1775,2000,29684
2021-02-28,2000,2005,1878,1975,52642
2021-03-31,1975,2050,1975,2000,311634
2021-04-30,2000,2050,1925,2000,30444
2021-05-31,1998,2095,1795,1923,33656
2021-06-30,1900,2048,1875,2000,72220
2021-07-31,1950,2100,1900,1998,26632
2021-08-31,2000,2323,1953,2200,74572
2021-09-30,2200,2800,2175,2800,54148
2021-10-31,2768,3000,2603,2900,36308
2021-11-30,2800,2875,2653,2750,47620
2021-12-31,2750,2950,2545,2650,60472
2022-01-31,2625,2700,2550,2575,42200
2022-02-28,2583,3040,2575,2975,57820
2022-03-31,2975,3490,2973,3308,55102
2022-04-30,3328,3350,3200,3200,35426
2022-05-31,3200,3300,2803,2998,76464
2022-06-30,2998,3100,2700,3050,75726
2022-07-31,3100,3100,3050,3055,30254
2022-08-31,3075,3100,3000,3015,57388
2022-09-30,3050,3328,2950,2950,51304
2022-10-31,2950,3050,2720,3005,65554
2022-11-30,3005,3050,2900,2975,45966
2022-12-31,2950,3000,2765,2975,47656
2023-01-31,2995,2995,2745,2970,84956
2023-02-28,2970,3323,2970,3320,81964
2023-03-31,3320,3320,3065,3090,104812
2023-04-30,3095,3150,3058,3115,24334
2023-05-31,3118,3175,2855,2855,63828
2023-06-30,2850,2998,2800,2890,212892
2023-07-31,2890,3175,2878,3048,83646
2023-08-31,3048,3250,3008,3100,44988
2023-09-30,3100,3150,2950,3125,88758
2023-10-31,3125,3250,3100,3250,126076
2023-11-30,3265,3350,3175,3200,94622
2023-12-31,3250,3250,3150,3180,43594
2024-01-31,3180,3275,3150,3253,57320
2024-02-29,3253,3275,3200,3248,65156
2024-03-31,3225,3473,3148,3470,117570
2024-04-30,3470,3675,3405,3650,88558
2024-05-31,3670,3670,3400,3448,135102
2024-06-30,3448,3450,3150,3375,102084
2024-07-31,3375,3425,3328,3400,66590
2024-08-31,3405,3850,3400,3750,77550
2024-09-30,3753,7775,3750,4855,77462
2024-10-31,4850,4855,4200,4350,58355
2024-11-30,4340,4395,3600,3740,75711
2024-12-31,3740,3795,3245,3685,110171
2025-01-31,3685,3685,3145,3545,50132
2025-02-28,3545,4235,3475,4200,52537
2025-03-31,4200,4750,4000,4700,134772
2025-04-30,4700,4750,4600,4730,83055
2025-05-31,4730,4900,4400,4600,255550
2025-06-30,4595,4695,4210,4500,130295
2025-07-31,4500,4550,4010,4320,1095964
2025-08-31,4310,4550,4250,4540,53519
2025-09-30,4540,5300,4515,4965,89839
2025-10-31,5000,5150,4815,5000,74532
2025-11-30,5000,5200,4875,5060,253183
