Date,Open,High,Low,Close,Volume
2000-12-31,750,812,750,799,35499
2001-03-31,799,874,799,862,210568
2001-06-30,862,879,862,879,91693
2001-09-30,879,890,879,890,296790
2001-12-31,890,899,890,899,82209
2002-03-31,899,974,899,974,291102
2002-06-30,979,1049,872,949,83891
2002-09-30,949,951,949,949,64114
2002-12-31,949,949,937,949,307910
2003-03-31,949,950,924,949,318520
2003-06-30,949,954,937,949,56386
2003-09-30,949,949,932,949,107466
2003-12-31,947,952,947,952,565078
2004-03-31,952,962,952,962,151331
2004-06-30,962,962,917,929,58432
2004-09-30,929,952,929,949,68602
2004-12-31,949,962,946,949,71362
2005-03-31,949,962,947,962,292141
2005-06-30,954,962,949,949,87529
2005-09-30,949,962,949,949,153974
2005-12-31,949,949,937,949,72002
2006-03-31,949,952,949,949,159782
2006-06-30,949,949,904,949,88818
2006-09-30,949,949,919,949,122472
2006-12-31,937,949,924,949,66203
2007-03-31,949,949,912,932,92978
2007-06-30,932,937,912,937,82852
2007-09-30,937,942,912,937,184799
2007-12-31,939,942,924,939,427193
2008-03-31,924,949,924,949,175151
2008-06-30,999,999,942,994,157058
2008-09-30,999,1034,999,1034,177389
2008-12-31,1034,1112,1034,1112,267494
2009-03-31,1112,1117,1112,1117,232222
2009-06-30,1117,1153,1117,1152,73285
2009-09-30,1152,1197,1124,1197,208652
2009-12-31,1197,1237,1099,1149,103657
2010-03-31,1149,1174,1149,1174,286620
2010-06-30,1174,1174,1162,1162,61989
2010-09-30,1162,1219,1154,1199,1513892
2010-12-31,1199,1199,1184,1199,160377
2011-03-31,1199,1199,1199,1199,131285
2011-06-30,1199,1199,1187,1187,149775
2011-09-30,1187,1199,1174,1182,183277
2011-12-31,1182,1199,1182,1199,190323
2012-03-31,1199,1374,1199,1349,196486
2012-06-30,1349,1374,1337,1362,145054
2012-09-30,1362,1399,1349,1374,213215
2012-12-31,1374,1477,1349,1374,1596866
2013-03-31,1374,1474,1374,1474,272734
2013-06-30,1464,1524,1399,1477,517893
2013-09-30,1477,1614,1474,1477,174629
2013-12-31,1477,1611,1474,1503,647417
2014-03-31,1503,1524,1487,1500,242677
2014-06-30,1504,1624,1462,1487,51028
2014-09-30,1487,1874,1424,1874,486988
2014-12-31,1874,2224,1799,2049,110588
2015-03-31,2049,2998,1999,2748,365754
2015-06-30,2748,3148,2522,2873,240190
2015-09-30,2873,3357,2748,3173,270974
2015-12-31,3123,3373,2998,3248,301312
2016-03-31,3250,7783,3248,5249,454013
2016-06-30,4856,5496,3923,4997,385285
2016-09-30,4809,5246,4597,4597,106302
2016-12-31,4497,4597,3813,4197,237473
2017-03-31,4197,5688,3947,5496,456696
2017-06-30,5621,5646,4697,4796,345321
2017-09-30,4747,4747,3513,3897,137345
2017-12-31,3872,3897,3183,3723,282175
2018-03-31,3598,3598,2998,3348,221236
2018-06-30,3298,3298,2104,2496,142544
2018-09-30,2496,2646,2009,2096,168439
2018-12-31,2024,2099,1302,2099,321765
2019-03-31,1999,2199,1527,1999,158883
2019-06-30,1999,2249,1549,1599,159048
2019-09-30,1594,1849,1502,1799,128679
2019-12-31,1799,2011,1596,1804,128263
2020-03-31,1849,1996,1699,1724,161356
2020-06-30,1724,1986,1499,1899,321273
2020-09-30,1874,1874,1646,1746,183793
2020-12-31,1744,1849,1701,1846,189823
2021-03-31,1799,2049,1774,1999,394209
2021-06-30,1999,2094,1794,1999,136406
2021-09-30,1949,2798,1899,2798,155448
2021-12-31,2766,2998,2543,2648,144490
2022-03-31,2623,3488,2548,3305,155221
2022-06-30,3325,3348,2698,3048,187735
2022-09-30,3098,3325,2948,2948,139030
2022-12-31,2948,3048,2718,2973,159271
2023-03-31,2993,3320,2743,3088,271905
2023-06-30,3093,3173,2798,2888,301248
2023-09-30,2888,3248,2876,3123,217533
2023-12-31,3123,3348,3098,3178,264462
2024-03-31,3178,3470,3145,3468,240204
2024-06-30,3468,3673,3148,3373,325954
2024-09-30,3373,7775,3325,4855,221696
2024-12-31,4850,4855,3245,3685,244237
2025-03-31,3685,4750,3145,4700,237441
2025-06-30,4700,4900,4210,4500,468900
2025-09-30,4500,5300,4010,4965,1239322
2025-12-31,5000,6100,4815,5850,612776
2026-03-31,5850,8000,5845,7500,285611
2026-06-30,7500,8500,7010,8500,127126
