Date,Open,High,Low,Close,Volume
2020-11-09,1745,1800,1745,1800,2682
2020-11-16,1775,1825,1740,1825,4376
2020-11-23,1753,1850,1750,1850,36036
2020-11-30,1800,1850,1800,1845,3032
2020-12-07,1850,1850,1775,1845,17736
2020-12-14,1800,1845,1800,1845,8568
2020-12-21,1825,1845,1750,1813,27220
2020-12-28,1813,1848,1780,1848,20120
2021-01-04,1800,1848,1780,1848,29644
2021-01-11,1800,1848,1775,1775,5522
2021-01-18,1800,1848,1800,1845,2966
2021-01-25,1845,1850,1775,1823,6542
2021-02-01,1825,2000,1825,1998,16734
2021-02-08,1975,2000,1878,1948,8360
2021-02-15,1900,1973,1900,1950,4820
2021-02-22,1950,1975,1925,1975,16620
2021-03-01,1975,2050,1958,2050,17188
2021-03-08,2050,2050,1975,1990,19442
2021-03-15,1990,2003,1990,2000,239804
2021-03-22,2000,2050,1993,2025,17108
2021-03-29,2000,2050,1980,1995,28228
2021-04-05,1983,2050,1983,2000,16064
2021-04-12,2005,2050,1925,1925,2864
2021-04-19,2025,2050,1950,1950,3326
2021-04-26,2000,2048,1995,2000,8540
2021-05-03,2000,2000,1975,2000,5160
2021-05-10,2000,2053,1990,2050,5020
2021-05-17,2095,2095,2050,2075,10054
2021-05-24,1850,1988,1795,1825,13932
2021-05-31,1895,1945,1850,1923,4310
2021-06-07,1900,1925,1875,1900,8560
2021-06-14,1898,1950,1898,1925,21192
2021-06-21,1925,2048,1925,1975,17076
2021-06-28,1973,2000,1925,2000,19096
2021-07-05,1995,2000,1950,1988,9576
2021-07-12,1988,2000,1950,1950,3314
2021-07-19,1983,1988,1950,1988,3704
2021-07-26,2000,2100,1900,2050,9680
2021-08-02,1975,2050,1950,2000,30314
2021-08-09,2000,2050,1953,2050,8946
2021-08-16,2025,2025,2000,2003,6590
2021-08-23,2013,2200,2003,2173,21368
2021-08-30,2160,2323,2150,2250,13552
2021-09-06,2225,2225,2150,2198,2214
2021-09-13,2225,2250,2198,2250,23658
2021-09-20,2295,2425,2250,2425,16342
2021-09-27,2425,2490,2425,2490,9112
2021-10-04,2493,2800,2493,2800,10880
2021-10-11,2800,3000,2633,2745,4722
2021-10-18,2700,2700,2603,2650,3096
2021-10-25,2650,2698,2613,2690,13836
2021-11-01,2690,2900,2613,2900,7052
2021-11-08,2800,2875,2700,2750,13780
2021-11-15,2750,2758,2700,2750,18506
2021-11-22,2653,2750,2653,2728,2754
2021-11-29,2728,2750,2700,2748,11328
2021-12-06,2725,2950,2725,2775,7088
2021-12-13,2775,2778,2700,2750,4604
2021-12-20,2745,2775,2545,2703,26996
2021-12-27,2748,2750,2625,2750,19184
2022-01-03,2750,2770,2625,2700,5810
2022-01-10,2700,2700,2605,2650,2276
2022-01-17,2650,2650,2550,2550,7022
2022-01-24,2550,2650,2550,2600,13236
2022-01-31,2600,2628,2555,2575,17708
2022-02-07,2583,2753,2575,2650,15162
