Date,Open,High,Low,Close,Volume
2000-12-31,750,812,750,799,35499
2001-12-31,799,899,799,899,681260
2002-12-31,899,1049,872,949,747017
2003-12-31,949,954,924,952,1047450
2004-12-31,952,962,917,949,349727
2005-12-31,949,962,937,949,605646
2006-12-31,949,952,904,949,437275
2007-12-31,949,949,912,939,787822
2008-12-31,924,1112,924,1112,777092
2009-12-31,1112,1237,1099,1149,617816
2010-12-31,1149,1219,1149,1199,2022878
2011-12-31,1199,1199,1174,1199,654660
2012-12-31,1199,1477,1199,1374,2151621
2013-12-31,1374,1614,1374,1503,1612673
2014-12-31,1503,2224,1424,2049,891281
2015-12-31,2049,3373,1999,3248,1178230
2016-12-31,3250,7783,3248,4197,1183073
2017-12-31,4197,5688,3183,3723,1221537
2018-12-31,3598,3598,1302,2099,853984
2019-12-31,1999,2249,1502,1804,574873
2020-12-31,1849,1996,1499,1846,856245
2021-12-31,1799,2998,1774,2648,830553
2022-12-31,2623,3488,2548,2973,641257
2023-12-31,2993,3348,2743,3178,1055148
2024-12-31,3178,7775,3145,3685,1032091
2025-12-31,3685,6100,3145,5850,2558439
2026-12-31,5850,9500,5845,9420,487362
