Date,Open,High,Low,Close,Volume
2020-11-09,1658,1663,1658,1663,120
2020-11-10,1675,1675,1650,1675,2398
2020-11-11,1650,1650,1608,1608,23500
2020-11-12,1625,1625,1593,1625,37136
2020-11-13,1600,1625,1575,1625,2080
2020-11-16,1623,1625,1600,1600,5410
2020-11-17,1600,1625,1575,1625,2860
2020-11-18,1575,1625,1575,1625,7230
2020-11-19,1600,1625,1600,1625,48794
2020-11-20,1625,1653,1600,1600,11306
2020-11-23,1600,1675,1590,1675,8464
2020-11-24,1600,1600,1600,1600,9842
2020-11-25,1598,1600,1598,1600,5570
2020-11-26,1600,1600,1600,1600,3834
2020-11-27,1600,1700,1600,1700,5186
2020-11-30,1600,1650,1600,1650,9020
2020-12-01,1675,1700,1675,1700,20974
2020-12-02,1675,1750,1675,1750,94
2020-12-03,1750,1750,1725,1725,76
2020-12-04,1708,1708,1675,1680,20578
2020-12-07,1700,1703,1675,1700,11504
2020-12-08,1680,1680,1653,1653,4138
2020-12-09,1675,1740,1675,1675,418
2020-12-10,1653,1675,1653,1675,40
2020-12-11,1698,1700,1698,1700,100
2020-12-14,1675,1675,1675,1675,712
2020-12-15,1700,1725,1675,1678,3272
2020-12-16,1698,1700,1698,1700,1850
2020-12-17,1700,1725,1700,1725,200
2020-12-18,1725,1748,1680,1680,436
2020-12-21,1700,1725,1700,1725,404
2020-12-22,1750,1775,1725,1775,11322
2020-12-23,1775,1790,1773,1780,7262
2020-12-24,1780,1780,1780,1780,3142
2020-12-28,1780,1780,1775,1780,10924
2020-12-29,1780,1780,1775,1780,6364
2020-12-30,1780,1800,1780,1800,4926
2020-12-31,1775,1875,1775,1875,13060
2021-01-04,1750,1755,1750,1750,1598
2021-01-05,1753,1753,1750,1750,3520
2021-01-07,1775,1775,1753,1775,1862
2021-01-08,1775,1775,1775,1775,4044
2021-01-11,1775,1800,1773,1800,740
2021-01-13,1763,1800,1763,1800,3132
2021-01-14,1800,1800,1750,1800,10502
2021-01-15,1800,1800,1775,1775,60
2021-01-18,1775,1800,1775,1800,566
2021-01-19,1800,1800,1800,1800,3520
2021-01-21,1800,1820,1800,1800,456
2021-01-22,1800,1820,1800,1820,2122
2021-01-25,1800,1820,1800,1820,774
2021-01-26,1820,1825,1820,1825,42
2021-01-27,1820,1825,1820,1825,668
2021-01-28,1825,1825,1825,1825,1440
2021-01-29,1845,1845,1845,1845,622
2021-02-01,1828,1828,1825,1825,2030
2021-02-02,1875,1875,1845,1845,232
2021-02-03,1845,1850,1845,1850,590
2021-02-04,1828,1900,1828,1900,280
2021-02-05,1900,1900,1900,1900,228
2021-02-08,1903,1945,1903,1945,124
2021-02-09,1915,1945,1915,1935,244
2021-02-10,1900,1925,1900,1925,348
2021-02-11,1900,1900,1900,1900,126
2021-02-12,1863,1900,1863,1900,120
2021-02-15,1900,1900,1900,1900,30
2021-02-16,1848,1848,1848,1848,212
2021-02-17,1898,1898,1848,1850,24208
2021-02-18,1848,1900,1848,1900,17772
2021-02-19,1850,1900,1850,1900,268
2021-02-22,1900,1900,1863,1900,1494
2021-02-23,1900,1900,1865,1865,384
2021-02-24,1865,1865,1863,1865,284
2021-02-25,1865,1865,1865,1865,84
2021-02-26,1900,1900,1875,1900,214
2021-03-01,1900,1925,1888,1925,43000
2021-03-02,1900,1900,1875,1875,21950
2021-03-03,1875,1875,1805,1805,240
2021-03-04,1808,1808,1803,1808,356
2021-03-05,1875,1875,1838,1838,700
2021-03-09,1850,1875,1850,1875,144
2021-03-10,1875,1875,1865,1865,59932
2021-03-11,1875,1900,1868,1900,1122
2021-03-12,1868,1950,1865,1900,1364
2021-03-15,1900,1950,1865,1865,1364
2021-03-16,1865,1865,1865,1865,34
2021-03-18,1868,1898,1868,1898,102
2021-03-19,1900,1900,1875,1900,736
2021-03-22,1898,1898,1875,1898,706
2021-03-24,1878,1878,1875,1875,3920
2021-03-25,1898,1900,1898,1898,1112
2021-03-26,1898,1900,1898,1900,2290
2021-03-29,1890,1900,1890,1900,470
2021-03-30,1900,1900,1900,1900,3018
2021-03-31,1900,1900,1900,1900,160
2021-04-01,1900,1900,1900,1900,330
2021-04-06,1925,1925,1925,1925,2
2021-04-07,1925,1925,1925,1925,116
2021-04-08,1925,1950,1925,1950,2080
2021-04-09,1950,1950,1900,1950,3752
2021-04-12,1950,1950,1950,1950,1802
2021-04-13,1950,2000,1945,1998,1426
2021-04-14,1905,1905,1905,1905,320
2021-04-15,1950,1995,1950,1995,134
2021-04-16,1905,1955,1905,1955,736
2021-04-19,1955,1955,1955,1955,30
2021-04-20,1955,1998,1955,1955,2774
2021-04-21,1950,1950,1950,1950,2184
2021-04-22,1950,1950,1950,1950,338
2021-04-23,1950,1950,1950,1950,540
2021-04-26,1948,1950,1910,1950,232
2021-04-27,1948,1950,1915,1915,928
2021-04-28,1925,1950,1915,1950,284
2021-04-29,1765,1765,1765,1765,80
2021-04-30,1828,1875,1828,1875,344
2021-05-04,1890,1890,1750,1750,1406
2021-05-05,1875,1875,1750,1875,402
2021-05-06,1875,1895,1850,1850,14088
2021-05-07,1873,1873,1873,1873,48
2021-05-10,1895,1895,1865,1873,182
2021-05-11,1873,1873,1850,1873,6858
2021-05-14,1873,1873,1850,1850,590
2021-05-17,1850,1850,1850,1850,32
2021-05-18,1850,1875,1850,1875,200
2021-05-20,1850,1875,1850,1850,4248
2021-05-21,1873,1873,1850,1873,16778
2021-05-25,1873,1875,1873,1873,290
2021-05-26,1870,1875,1853,1875,1794
2021-05-27,1875,1875,1863,1863,222
2021-05-28,1855,1863,1855,1863,80
2021-05-31,1850,1875,1850,1863,762
2021-06-01,1863,1900,1863,1900,2174
2021-06-02,1900,1900,1863,1898,324
2021-06-03,1900,1900,1895,1900,510
2021-06-04,1900,1910,1900,1910,108
2021-06-07,1900,1900,1898,1898,2218
2021-06-08,1863,1900,1850,1900,4698
2021-06-09,1900,1900,1900,1900,380
2021-06-10,1905,1910,1905,1910,890
2021-06-11,1910,1925,1910,1925,276
2021-06-14,1925,1945,1925,1925,560
2021-06-15,1925,1925,1910,1910,454
2021-06-16,1925,1925,1910,1910,2878
2021-06-17,1915,1925,1915,1925,410
2021-06-18,1923,1925,1923,1925,206
2021-06-21,1925,1925,1900,1900,1964
2021-06-22,1900,1925,1900,1925,6446
2021-06-23,1925,1925,1925,1925,450
2021-06-24,1925,1925,1925,1925,20
