Date,Open,High,Low,Close,Volume
2020-11-30,1658,1700,1575,1650,182750
2020-12-31,1675,1875,1653,1875,121796
2021-01-31,1750,1845,1750,1845,35668
2021-02-28,1828,1945,1825,1900,49272
2021-03-31,1900,1950,1803,1900,142720
2021-04-30,1900,2000,1765,1875,18432
2021-05-31,1890,1895,1750,1863,47980
2021-06-30,1863,2000,1850,2000,25868
2021-07-31,2000,2088,1928,2003,12050
2021-08-31,2003,2400,2000,2353,34938
2021-09-30,2398,3000,2373,2750,43358
2021-10-31,2750,2825,2550,2800,18196
2021-11-30,2798,3150,2750,2948,38524
2021-12-31,2945,3225,2945,3100,40330
2022-01-31,3050,3325,2953,2975,23758
2022-02-28,2975,3103,2950,3100,27266
2022-03-31,3100,3300,2950,2950,18876
2022-04-30,3000,3150,2570,2950,43216
2022-05-31,2950,2950,2575,2653,76484
2022-06-30,2600,2750,2510,2653,61412
2022-07-31,2700,2925,2680,2850,16654
2022-08-31,2875,2875,2700,2725,32500
2022-09-30,2725,2843,2523,2550,41592
2022-10-31,2650,2850,2550,2700,88710
2022-11-30,2675,2700,2575,2600,34668
2022-12-31,2600,2648,2485,2600,22922
2023-01-31,2600,2675,2495,2575,18416
2023-02-28,2575,2895,2558,2813,44478
2023-03-31,2813,2998,2755,2848,104122
2023-04-30,2848,2900,2750,2900,24382
2023-05-31,2900,2900,2503,2748,103774
2023-06-30,2748,3093,2748,3000,67824
2023-07-31,3003,3100,3000,3100,20550
2023-08-31,3053,3375,3050,3278,31096
2023-09-30,3313,3500,3203,3258,28922
2023-10-31,3435,3758,3100,3370,25310
2023-11-30,3370,3843,3153,3250,39072
2023-12-31,3250,3625,3250,3490,44744
2024-01-31,3470,3643,3258,3395,14710
2024-02-29,3393,3395,3103,3345,15164
2024-03-31,3345,3650,3308,3550,54146
2024-04-30,3575,3650,3333,3650,40034
2024-05-31,3055,3650,3055,3255,43380
2024-06-30,3275,3425,3175,3350,107074
2024-07-31,3350,3425,3150,3250,47170
2024-08-31,3253,6800,3225,4000,171035
2024-09-30,4000,4175,3400,3700,54964
2024-10-31,3700,3750,3240,3390,61531
2024-11-30,3390,3400,2950,3180,78631
2024-12-31,3190,3200,2890,3035,64205
2025-01-31,3035,3200,2900,3180,32070
2025-02-28,3180,3525,3135,3450,60932
2025-03-31,3500,4360,3450,4245,203244
2025-04-30,4245,4310,3245,3250,149307
2025-05-31,3250,3800,3100,3620,83978
2025-06-30,3620,3870,3330,3500,80156
2025-07-31,3500,3590,3400,3590,74841
2025-08-31,3590,3850,3475,3760,96190
2025-09-30,3760,4200,3600,3980,100456
2025-10-31,3945,4150,3500,3500,98036
2025-11-30,3500,3500,3410,3460,35047
