Date,Open,High,Low,Close,Volume
2011-03-31,714,875,714,800,374840
2011-06-30,800,825,775,800,150960
2011-09-30,775,850,775,825,93560
2011-12-31,825,825,775,820,128400
2012-03-31,825,900,800,900,158720
2012-06-30,900,930,875,925,53560
2012-09-30,925,1100,925,1100,36120
2012-12-31,1100,1183,1100,1100,49400
2013-03-31,1105,1875,1105,1875,70040
2013-06-30,1875,2258,1573,1664,153600
2013-09-30,1664,1823,1664,1775,74360
2013-12-31,1775,2125,1753,2025,72760
2014-03-31,2030,2315,2025,2315,50320
2014-06-30,2350,2475,2025,2125,157160
2014-09-30,2125,2575,2038,2375,594440
2014-12-31,2275,2350,2125,2250,157480
2015-03-31,2250,2490,2250,2475,302000
2015-06-30,2475,2660,2000,2400,395160
2015-09-30,2425,3000,2400,2775,971960
2015-12-31,2938,3000,2814,3000,776040
2016-03-31,2900,3924,2900,3725,793760
2016-06-30,3650,4031,3261,3500,874600
2016-09-30,3525,3763,3276,3450,169480
2016-12-31,3463,3625,3250,3488,2089880
2017-03-31,3483,5225,3475,5125,608480
2017-06-30,5025,5750,4700,4992,245220
2017-09-30,4750,4750,3700,3950,161780
2017-12-31,3925,3950,3000,3575,123342
2018-03-31,3555,3598,3000,3450,204070
2018-06-30,3200,3348,2175,2445,238902
2018-09-30,2425,2600,1900,2100,168300
2018-12-31,2250,2695,1350,2600,300370
2019-03-31,2580,2683,1950,2198,132860
2019-06-30,2080,2600,1845,1975,115858
2019-09-30,1975,2000,1800,1850,107506
2019-12-31,1800,1995,1500,1895,142102
2020-03-31,1848,1950,1678,1708,108128
2020-06-30,1703,1973,1525,1725,142110
2020-09-30,1725,1725,1575,1600,106486
2020-12-31,1600,1875,1575,1875,334936
2021-03-31,1750,1950,1750,1900,227660
2021-06-30,1900,2000,1750,2000,92280
2021-09-30,2000,3000,1928,2750,90346
2021-12-31,2750,3225,2550,3100,97050
2022-03-31,3050,3325,2950,2950,69900
2022-06-30,3000,3150,2510,2653,181112
2022-09-30,2700,2925,2523,2550,90746
2022-12-31,2650,2850,2485,2600,146300
2023-03-31,2600,2998,2495,2848,167016
2023-06-30,2848,3093,2503,3000,195980
2023-09-30,3003,3500,3000,3258,80568
2023-12-31,3435,3843,3100,3490,109126
2024-03-31,3470,3650,3103,3550,84020
2024-06-30,3575,3650,3055,3350,190488
2024-09-30,3350,6800,3150,3700,273169
2024-12-31,3700,3750,2890,3035,204367
2025-03-31,3035,4360,2900,4245,296246
2025-06-30,4245,4310,3100,3500,313441
2025-09-30,3500,4200,3400,3980,271487
2025-12-31,3945,4150,3410,3750,255252
2026-03-31,3900,5000,3750,4790,161492
