Date,Open,High,Low,Close,Volume
2020-11-09,1658,1663,1658,1663,120
2020-11-16,1675,1675,1575,1600,70524
2020-11-23,1600,1675,1575,1675,78654
2020-11-30,1600,1700,1598,1650,33452
2020-12-07,1675,1750,1675,1700,53226
2020-12-14,1680,1740,1653,1675,5408
2020-12-21,1700,1748,1675,1725,6162
2020-12-28,1750,1790,1725,1780,32650
2021-01-04,1780,1875,1750,1750,25948
2021-01-11,1753,1800,1750,1800,10166
2021-01-18,1763,1800,1750,1800,14260
2021-01-25,1800,1820,1800,1820,6872
2021-02-01,1820,1845,1820,1825,4802
2021-02-08,1875,1945,1828,1945,1454
2021-02-15,1915,1945,1863,1900,868
2021-02-22,1848,1900,1848,1900,43954
2021-03-01,1900,1925,1863,1925,43966
2021-03-08,1900,1900,1803,1838,23246
2021-03-15,1850,1950,1850,1865,63926
2021-03-22,1865,1900,1865,1898,1578
2021-03-29,1878,1900,1875,1900,7792
2021-04-05,1900,1900,1900,1900,3508
2021-04-12,1925,1950,1900,1950,7752
2021-04-19,1950,2000,1905,1955,2646
2021-04-26,1955,1998,1910,1950,6068
2021-05-03,1948,1950,1765,1875,1636
2021-05-10,1890,1895,1750,1873,16126
2021-05-17,1873,1873,1850,1850,7480
2021-05-24,1850,1875,1850,1873,21226
2021-05-31,1873,1875,1850,1863,3148
2021-06-07,1863,1910,1863,1898,5334
2021-06-14,1863,1945,1850,1925,6804
2021-06-21,1925,1925,1900,1900,5912
2021-06-28,1900,1950,1900,1950,7274
2021-07-05,1950,2000,1925,1950,782
2021-07-12,1953,2000,1950,1975,870
2021-07-19,1978,2088,1950,2000,1024
2021-07-26,2000,2000,1950,2000,1748
2021-08-02,2003,2008,1975,2008,10918
2021-08-09,2003,2075,2000,2050,4362
2021-08-16,2003,2090,2000,2090,10070
2021-08-23,2090,2400,2050,2350,6620
2021-08-30,2348,2398,2250,2398,10178
2021-09-06,2398,2425,2350,2425,4746
2021-09-13,2425,2425,2400,2425,13550
2021-09-20,2400,2550,2400,2550,22476
2021-09-27,2550,3000,2545,2900,3084
2021-10-04,2900,2943,2750,2800,1250
2021-10-11,2823,2823,2750,2800,4356
2021-10-18,2775,2775,2750,2750,2028
2021-10-25,2603,2750,2600,2645,4446
2021-11-01,2640,2800,2550,2800,6578
2021-11-08,2798,2900,2750,2900,4054
2021-11-15,2803,2900,2800,2810,1868
2021-11-22,2813,2925,2808,2925,17728
2021-11-29,2925,3150,2850,2945,14798
2021-12-06,3000,3075,2945,3003,5012
2021-12-13,3008,3105,3008,3088,9774
2021-12-20,3100,3150,3100,3130,5222
2021-12-27,3130,3200,3075,3150,9498
2022-01-03,3150,3225,3050,3100,11670
2022-01-10,3150,3325,3100,3325,954
2022-01-17,3300,3300,3100,3100,3696
