Date,Open,High,Low,Close,Volume
2020-10-26,1395,1400,1393,1400,448
2020-10-27,1400,1400,1385,1385,6052
2020-10-28,1400,1400,1400,1400,8770
2020-10-30,1400,1408,1395,1408,9140
2020-11-02,1408,1408,1393,1408,4182
2020-11-03,1408,1490,1400,1410,15344
2020-11-04,1410,1438,1410,1413,1166
2020-11-05,1415,1490,1400,1490,5602
2020-11-09,1575,1693,1575,1693,2790
2020-11-10,1693,1788,1650,1750,2200
2020-11-11,1715,1725,1650,1698,7244
2020-11-12,1600,1600,1573,1573,5302
2020-11-13,1573,1573,1460,1550,10600
2020-11-16,1550,1550,1488,1500,5970
2020-11-17,1490,1543,1488,1543,1112
2020-11-18,1543,1550,1525,1550,2938
2020-11-19,1545,1600,1545,1600,3966
2020-11-20,1550,1600,1550,1600,4114
2020-11-23,1550,1550,1500,1550,5484
2020-11-24,1550,1550,1548,1548,600
2020-11-25,1530,1600,1500,1600,64102
2020-11-26,1600,1600,1600,1600,300
2020-11-27,1600,1600,1600,1600,2406
2020-11-30,1600,1600,1590,1600,4960
2020-12-01,1625,1625,1550,1550,9342
2020-12-02,1620,1650,1550,1600,41638
2020-12-03,1600,1600,1600,1600,674
2020-12-04,1595,1650,1555,1555,3910
2020-12-07,1530,1650,1503,1650,13500
2020-12-08,1645,1725,1645,1700,20062
2020-12-09,1675,1675,1675,1675,20000
2020-12-10,1675,1700,1650,1650,1148
2020-12-11,1645,1650,1645,1650,20900
2020-12-14,1650,1650,1645,1650,19718
2020-12-15,1645,1650,1605,1650,13524
2020-12-16,1645,1650,1640,1650,16120
2020-12-17,1650,1700,1648,1693,9148
2020-12-18,1648,1698,1648,1698,3606
2020-12-21,1650,1820,1650,1820,21190
2020-12-22,1795,1948,1750,1948,46704
2020-12-23,1803,1898,1803,1898,3628
2020-12-24,1760,1870,1760,1870,9894
2020-12-28,1800,1840,1730,1840,10070
2020-12-29,1790,1825,1790,1825,16002
2020-12-30,1700,1788,1700,1788,900
2020-12-31,1723,1838,1723,1838,62920
2021-01-04,1700,1700,1700,1700,100
2021-01-05,1650,1675,1605,1675,1410
2021-01-06,1573,1748,1573,1748,5076
2021-01-07,1750,1750,1715,1715,12
2021-01-08,1603,1603,1603,1603,360
2021-01-11,1675,1700,1675,1700,3526
2021-01-12,1678,1700,1675,1675,966
2021-01-13,1700,1700,1675,1675,108
2021-01-14,1675,1700,1675,1675,304
2021-01-15,1675,1700,1675,1675,2270
2021-01-18,1675,1675,1675,1675,2240
2021-01-19,1675,1700,1650,1650,5516
2021-01-20,1650,1650,1650,1650,520
2021-01-21,1650,1700,1650,1700,820
2021-01-22,1678,1678,1678,1678,24
2021-01-25,1650,1700,1650,1700,230
2021-01-27,1675,1700,1603,1700,4690
2021-01-28,1700,1700,1700,1700,140
2021-01-29,1680,1750,1680,1750,4116
2021-02-01,1700,1700,1700,1700,84
2021-02-02,1695,1750,1688,1688,166
2021-02-03,1700,1703,1700,1703,404
2021-02-04,1703,1710,1690,1710,580
2021-02-05,1725,1725,1710,1710,92
2021-02-08,1725,1735,1688,1688,74
2021-02-09,1690,1710,1668,1685,636
2021-02-10,1685,1685,1675,1685,246
2021-02-11,1683,1695,1683,1685,4308
2021-02-12,1665,1685,1650,1685,1334
2021-02-15,1688,1700,1688,1700,302
2021-02-16,1698,1700,1698,1700,290
2021-02-17,1700,1700,1698,1698,656
2021-02-18,1700,1700,1700,1700,692
2021-02-19,1700,1725,1700,1725,866
2021-02-22,1713,1713,1600,1700,47584
2021-02-23,1700,1700,1700,1700,28
2021-02-24,1700,1740,1650,1740,16046
2021-02-25,1725,1745,1725,1745,160
2021-02-26,1740,1800,1740,1800,3396
2021-03-01,1800,1800,1800,1800,1000
2021-03-02,1700,1725,1700,1725,266
2021-03-03,1745,1745,1685,1685,1246
2021-03-04,1700,1725,1700,1725,528
2021-03-05,1725,1725,1650,1650,5350
2021-03-08,1725,1725,1725,1725,100
2021-03-09,1725,1725,1695,1725,740
2021-03-10,1705,1725,1703,1725,726
2021-03-11,1725,1800,1723,1800,3456
2021-03-12,1750,1750,1725,1750,2110
2021-03-15,1725,1748,1725,1748,5724
2021-03-16,1740,1740,1728,1728,394
2021-03-17,1725,1743,1725,1725,3796
2021-03-18,1743,1743,1725,1740,7082
2021-03-19,1740,1740,1725,1740,330
2021-03-22,1740,1800,1725,1800,4010
2021-03-23,1750,1795,1750,1795,1360
2021-03-24,1795,1800,1750,1750,2002
2021-03-25,1795,1795,1790,1795,540
2021-03-26,1795,1800,1750,1800,1154
2021-03-29,1775,1775,1750,1750,374
2021-03-30,1750,1800,1750,1800,1280
2021-03-31,1795,1850,1750,1850,3270
2021-04-01,1800,1800,1800,1800,2400
2021-04-02,1750,1848,1750,1848,180
2021-04-06,1800,1825,1800,1825,434
2021-04-07,1800,1850,1800,1825,4296
2021-04-08,1845,1848,1828,1848,1320
2021-04-09,1825,1848,1800,1825,240
2021-04-12,1825,1850,1825,1850,1438
2021-04-13,1850,1988,1850,1850,6968
2021-04-14,1850,1988,1850,1988,2138
2021-04-15,1850,1945,1850,1945,1514
2021-04-16,1850,1875,1850,1875,124
2021-04-19,1850,1850,1850,1850,300
2021-04-20,1875,1920,1875,1920,2310
2021-04-21,1850,1900,1850,1900,6302
2021-04-22,1898,1900,1898,1900,518
2021-04-23,1895,1900,1895,1900,332
2021-04-26,1875,1875,1835,1875,472
2021-04-27,1875,1875,1875,1875,1214
2021-04-28,1875,1875,1753,1850,6482
2021-04-29,1850,1900,1848,1900,3108
2021-04-30,1900,1950,1900,1950,5548
2021-05-03,1950,1950,1945,1945,182
2021-05-04,1945,1945,1920,1920,1066
2021-05-05,1920,1945,1920,1945,984
2021-05-06,1945,1945,1945,1945,604
2021-05-07,1945,1945,1920,1920,424
2021-05-10,1800,1800,1800,1800,300
2021-05-11,1800,1800,1800,1800,112
2021-05-14,1725,1725,1725,1725,256
2021-05-17,1750,1798,1650,1798,328
2021-05-18,1750,1750,1725,1750,680
2021-05-19,1750,1750,1700,1700,806
2021-05-20,1700,1700,1700,1700,392
2021-05-21,1700,1700,1675,1700,542
2021-05-25,1700,1700,1675,1700,1142
2021-05-26,1700,1700,1675,1675,974
2021-05-27,1675,1700,1650,1700,1970
2021-05-28,1700,1828,1650,1828,5116
2021-05-31,1850,1850,1850,1850,1000
2021-06-01,1828,1828,1825,1828,90
2021-06-02,1800,1800,1750,1800,400
2021-06-03,1750,1800,1703,1790,350
2021-06-04,1750,1795,1750,1750,1220
2021-06-07,1750,1750,1750,1750,320
2021-06-08,1750,1750,1705,1705,1490
2021-06-09,1785,1800,1750,1788,4610
2021-06-10,1850,1850,1840,1840,1660
2021-06-11,1825,1825,1810,1810,1258
2021-06-14,1800,1850,1793,1800,2280
2021-06-15,1803,1825,1800,1800,818
2021-06-16,1800,1800,1800,1800,1992
2021-06-17,1800,1810,1800,1800,2498
