Date,Open,High,Low,Close,Volume
2020-12-31,1575,1948,1460,1838,488686
2021-03-31,1700,1850,1573,1850,157210
2021-06-30,1800,1988,1650,1900,105650
2021-09-30,1850,2600,1800,2600,137216
2021-12-31,2435,3350,2310,2928,350728
2022-03-31,2985,2998,2545,2698,265050
2022-06-30,2698,2850,2340,2575,87480
2022-09-30,2550,2588,2000,2248,384866
2022-12-31,2248,2250,1700,1850,653448
2023-03-31,1850,2658,1843,2575,412068
2023-06-30,2545,2850,2130,2850,868896
2023-09-30,2848,3225,2750,3100,447342
2023-12-31,3100,3580,3025,3448,423706
2024-03-31,3448,3723,3350,3638,250552
2024-06-30,3638,3750,3300,3720,418000
2024-09-30,3718,4745,3658,4450,281298
2024-12-31,4450,10300,4275,4995,410227
2025-03-31,4995,6200,4505,6110,255427
2025-06-30,6110,6300,5605,6120,379050
2025-09-30,6140,7510,5800,7375,275681
2025-12-31,7370,7495,6895,6900,165672
