Date,Open,High,Low,Close,Volume
2016-05-31,2147,2147,2147,2147,3718
2016-06-01,2307,2307,2307,2307,113
2016-06-02,2480,2480,2480,2480,2467
2016-06-03,2666,2666,2666,2666,225
2016-06-06,2866,2866,2866,2866,158
2016-06-07,3081,3081,3081,3081,56
2016-06-08,3287,3311,3287,3311,68
2016-06-09,3560,3560,3551,3560,4506
2016-06-10,3826,3826,3826,3826,665
2016-06-13,4113,4113,4113,4113,2422
2016-06-14,4421,4421,4421,4421,2783
2016-06-15,4753,4753,4753,4753,49715
2016-06-16,5109,5109,5105,5109,18509
2016-06-17,5492,5492,5492,5492,15344
2016-06-20,5904,5904,5859,5904,50064
2016-06-21,6347,6347,5592,5770,247752
2016-06-22,5337,5443,5337,5337,52013
2016-06-23,4937,5337,4937,5326,153471
2016-06-24,5157,5415,5157,5371,40567
2016-06-27,5506,5770,5506,5770,54739
2016-06-28,5814,5947,5769,5947,42561
2016-06-29,6200,6298,5859,6036,36061
2016-06-30,6125,6125,5770,5859,19433
2016-07-01,5863,6037,5771,5867,24728
2016-07-04,5894,5894,5592,5681,31836
2016-07-05,5592,5946,5548,5946,61769
2016-07-07,5779,5779,5602,5632,15592
2016-07-08,5637,5770,5628,5770,12212
2016-07-11,5628,5628,5337,5337,4641
2016-07-12,5326,5326,4937,4971,25336
2016-07-13,4971,5239,4882,5239,9598
2016-07-14,5326,5326,5237,5237,7818
2016-07-15,5237,5326,5237,5282,15051
2016-07-18,5237,5282,5237,5238,3177
2016-07-19,5238,5282,5148,5238,15186
2016-07-20,5237,5282,5148,5237,12662
2016-07-21,5246,5326,5237,5237,6466
2016-07-22,5237,5326,5237,5317,3087
2016-07-25,5322,5322,5237,5237,3357
2016-07-26,5237,5326,5148,5238,4563
2016-07-27,5281,5282,5237,5237,5329
2016-07-28,5237,5237,5237,5237,7480
2016-07-29,5237,5326,5193,5326,15682
2016-08-01,5238,5326,5237,5326,7796
2016-08-02,5282,5326,5240,5282,5238
2016-08-03,5238,5282,5238,5239,17146
2016-08-04,5239,5264,5069,5237,10195
2016-08-05,5246,5264,5237,5263,1825
2016-08-09,5263,5264,5148,5263,9249
2016-08-10,5263,5263,5148,5237,3030
2016-08-11,5237,5237,5148,5237,3087
2016-08-12,5237,5237,5149,5157,4844
2016-08-16,5193,5193,5158,5158,4213
2016-08-17,5219,5219,5157,5157,11153
2016-08-18,5158,5166,5157,5166,5160
2016-08-19,5153,5193,5153,5166,11649
2016-08-22,5192,5192,5157,5171,6511
2016-08-23,5167,5192,5162,5166,7999
2016-08-24,5192,5193,5192,5193,19568
2016-08-25,5193,5237,5184,5193,21697
2016-08-26,5193,5193,5165,5193,12922
2016-08-29,5193,5193,5168,5193,15028
2016-08-30,5193,5215,5193,5215,4360
2016-08-31,5215,5219,5193,5219,6072
2016-09-01,5219,5290,5216,5290,17495
2016-09-02,5282,5326,5237,5237,13113
