Date,Open,High,Low,Close,Volume
2016-05-31,2147,2147,2147,2147,3718
2016-06-30,2307,6347,2307,5859,793692
2016-07-31,5863,6037,4882,5326,285570
2016-08-31,5238,5326,5069,5219,188742
2016-09-30,5219,5326,3289,4391,398519
2016-10-31,4705,4705,3284,3551,97749
2016-11-30,3551,3551,3284,3462,129428
2016-12-31,3417,3551,3284,3551,100648
2017-01-31,3551,4438,3462,4420,90800
2017-02-28,4308,5317,4260,4882,124855
2017-03-31,4793,6160,4349,4705,151194
2017-04-30,4660,4882,4083,4394,86958
2017-05-31,4350,4394,3817,3906,173184
2017-06-30,3906,4389,3728,3905,153111
2017-07-31,3906,3994,3284,3551,45525
2017-08-31,3551,3551,3120,3373,23487
2017-09-30,3298,3364,3018,3329,40894
2017-10-31,3263,3329,3080,3303,53174
2017-11-30,3197,3301,2882,3169,25419
2017-12-31,3117,3462,2876,3462,19836
2018-01-31,3389,3462,3123,3163,47320
2018-02-28,3063,3063,2663,2876,46576
2018-03-31,2873,2996,2587,2830,107488
2018-04-30,2730,2797,2187,2497,25155
2018-05-31,2497,2497,1725,1761,27580
2018-06-30,1761,2131,1631,2124,59871
2018-07-31,1998,2124,1961,2064,70247
2018-08-31,2061,2064,1761,1861,16628
2018-09-30,1725,1864,1328,1332,20880
2018-10-31,1332,1631,1265,1531,35182
2018-11-30,1545,1628,1338,1462,16371
2018-12-31,1398,1751,1242,1631,17419
2019-01-31,1531,1764,1315,1531,23097
2019-02-28,1498,1501,1298,1462,30473
2019-03-31,1458,1498,1335,1428,28560
2019-04-30,1365,1998,1365,1964,82070
2019-05-31,1938,1991,1531,1595,32941
2019-06-30,1478,1531,1255,1285,29040
2019-07-31,1285,1462,1232,1428,43096
2019-08-31,1392,1398,1322,1398,26405
2019-09-30,1355,1365,906,906,41088
2019-10-31,866,866,526,616,106981
2019-11-30,623,892,599,792,42190
2019-12-31,779,926,673,766,37519
2020-01-31,736,832,732,832,29043
2020-02-29,866,892,732,752,43444
2020-03-31,766,799,536,546,26985
2020-04-30,566,729,566,659,23841
2020-05-31,639,699,636,663,7757
2020-06-30,666,752,623,732,31975
2020-07-31,732,759,646,666,17616
2020-08-31,679,679,599,639,35074
2020-09-30,663,663,599,603,47571
2020-10-31,603,746,599,696,40083
2020-11-30,709,732,686,732,27330
2020-12-31,736,799,732,749,49474
2021-01-31,732,799,726,799,20175
2021-02-28,812,1062,799,849,91093
2021-03-31,812,892,792,806,51470
2021-04-30,806,916,806,916,68018
2021-05-31,866,945,839,912,35024
2021-06-30,899,1089,899,932,48903
2021-07-31,902,1079,869,1065,79395
2021-08-31,1062,1432,1002,1288,257229
2021-09-30,1288,1382,1285,1332,101336
2021-10-31,1332,1332,952,1195,61021
2021-11-30,1159,1199,999,1032,32485
2021-12-31,1032,1065,985,989,40174
2022-01-31,985,1032,816,939,92420
2022-02-28,936,999,862,889,69305
2022-03-31,922,999,802,932,119314
2022-04-30,932,995,866,866,41457
2022-05-31,802,929,802,892,35577
2022-06-30,842,932,842,899,44868
2022-07-31,932,1288,932,1099,79283
2022-08-31,1092,1099,879,999,28269
2022-09-30,999,1075,969,1032,23422
2022-10-31,1032,1065,926,936,21513
2022-11-30,999,1022,902,902,24186
2022-12-31,902,982,899,932,9775
2023-01-31,899,932,832,876,19928
2023-02-28,876,899,832,886,27507
2023-03-31,886,932,799,812,52638
2023-04-30,819,859,799,859,26605
2023-05-31,802,949,802,866,27775
2023-06-30,866,932,832,879,34490
2023-07-31,932,949,866,922,42127
2023-08-31,922,1022,869,912,55479
2023-09-30,912,995,879,965,19945
2023-10-31,965,1032,936,989,37494
2023-11-30,992,995,899,952,29121
2023-12-31,982,1045,932,982,56761
2024-01-31,965,982,866,866,34872
2024-02-29,866,916,852,916,38826
2024-03-31,916,1145,899,1119,52137
2024-04-30,1119,1145,1032,1145,46790
2024-05-31,1145,1145,1032,1085,37490
2024-06-30,1072,1085,1005,1055,31328
2024-07-31,1055,1412,1032,1398,61248
2024-08-31,1395,2020,1232,1650,74283
2024-09-30,1675,2085,1635,1800,24211
2024-10-31,1815,2685,1750,2045,64286
2024-11-30,2040,2090,1855,2000,42264
2024-12-31,2000,2010,1890,1890,38333
2025-01-31,1890,1890,1700,1710,30433
2025-02-28,1710,1950,1680,1930,39503
2025-03-31,1915,2430,1915,2400,96323
2025-04-30,2400,2885,2305,2500,126642
2025-05-31,2595,2900,2500,2635,125379
2025-06-30,2635,3205,2440,2990,232978
2025-07-31,2995,3490,2990,3375,126033
2025-08-31,3395,3700,3375,3620,106476
2025-09-30,3530,4400,3550,4400,141686
2025-10-31,4395,4415,3715,3715,206118
2025-11-30,3440,4015,3440,4000,151514
2025-12-31,4000,4395,3835,4000,72757
2026-01-31,3995,4395,3800,4395,113775
2026-02-28,4360,4525,4200,4515,125266
2026-03-31,4550,4795,4515,4680,148311
2026-04-30,4695,4750,4500,4670,97703
