Date,Open,High,Low,Close,Volume
2016-06-30,2147,6347,2147,5859,797410
2016-09-30,5863,6037,3289,4391,872831
2016-12-31,4705,4705,3284,3551,327825
2017-03-31,3551,6160,3462,4705,366849
2017-06-30,4660,4882,3728,3905,413253
2017-09-30,3906,3994,3018,3329,109906
2017-12-31,3263,3462,2876,3462,98429
2018-03-31,3389,3462,2587,2830,201384
2018-06-30,2730,2797,1631,2124,112606
2018-09-30,1998,2124,1328,1332,107755
2018-12-31,1332,1751,1242,1631,68972
2019-03-31,1531,1764,1298,1428,82130
2019-06-30,1365,1998,1255,1285,144051
2019-09-30,1285,1462,906,906,110589
2019-12-31,866,926,526,766,186690
2020-03-31,736,892,536,546,99472
2020-06-30,566,752,566,732,63573
2020-09-30,732,759,599,603,100261
2020-12-31,603,799,599,749,116887
2021-03-31,732,1062,726,806,162738
2021-06-30,806,1089,806,932,151945
2021-09-30,902,1432,869,1332,437960
2021-12-31,1332,1332,952,989,133680
2022-03-31,985,1032,802,932,281039
2022-06-30,932,995,802,899,121902
2022-09-30,932,1288,879,1032,130974
2022-12-31,1032,1065,899,932,55474
2023-03-31,899,932,799,812,100073
2023-06-30,819,949,799,879,88870
2023-09-30,932,1022,866,965,117551
2023-12-31,965,1045,899,982,123376
2024-03-31,965,1145,852,1119,125835
2024-06-30,1119,1145,1005,1055,115608
2024-09-30,1055,2085,1032,1800,159742
2024-12-31,1815,2685,1750,1890,144883
2025-03-31,1890,2430,1680,2400,166259
2025-06-30,2400,3205,2305,2990,484999
2025-09-30,2995,4400,2990,4400,374195
2025-12-31,4395,4415,3440,4000,430389
2026-03-31,3995,4795,3800,4680,387352
2026-06-30,4695,4750,4500,4680,124285
