Date,Open,High,Low,Close,Volume
2020-11-16,700,703,687,687,7031
2020-11-23,700,727,700,703,10424
2020-11-30,707,733,700,733,4803
2020-12-07,737,767,733,763,4733
2020-12-14,737,787,737,787,6528
2020-12-21,767,800,767,767,6003
2020-12-28,770,787,750,773,16444
2021-01-04,777,777,733,733,16503
2021-01-11,733,753,727,733,5821
2021-01-18,737,750,733,737,3402
2021-01-25,743,787,743,767,3755
2021-02-01,767,813,767,813,7297
2021-02-08,813,1063,800,1063,19009
2021-02-15,1063,1063,807,870,47148
2021-02-22,837,900,810,813,17788
2021-03-01,813,850,810,817,7980
2021-03-08,813,847,793,830,9964
2021-03-15,833,893,803,833,10378
2021-03-22,870,883,820,833,6447
2021-03-29,823,850,793,833,22651
2021-04-05,827,827,807,820,5009
2021-04-12,823,833,807,833,8570
2021-04-19,833,847,813,840,15040
2021-04-26,833,847,810,840,19982
2021-05-03,833,917,833,917,27570
2021-05-10,910,947,873,900,18242
2021-05-17,933,933,867,900,975
2021-05-24,900,900,840,840,1655
2021-05-31,863,920,863,913,5997
2021-06-07,900,913,900,910,4323
2021-06-14,903,913,903,913,4627
2021-06-21,913,1057,913,1057,20998
2021-06-28,1067,1090,917,960,17555
2021-07-05,960,960,870,920,9336
2021-07-12,933,960,913,933,16211
2021-07-19,933,1080,933,1080,8473
2021-07-26,1077,1077,1007,1037,3820
2021-08-02,1047,1067,1000,1053,71873
2021-08-09,1050,1067,1020,1067,5557
2021-08-16,1063,1120,1040,1100,109276
2021-08-23,1100,1247,1067,1247,57477
2021-08-30,1333,1433,1250,1287,52811
2021-09-06,1287,1330,1287,1320,5541
2021-09-13,1327,1327,1313,1323,11173
2021-09-20,1327,1337,1320,1333,20252
2021-09-27,1340,1383,1333,1383,20017
2021-10-04,1383,1383,1303,1327,57234
2021-10-11,1327,1327,1203,1287,8497
2021-10-18,1287,1290,1110,1110,12685
2021-10-25,1030,1100,953,1100,20943
2021-11-01,1067,1203,1067,1197,8547
2021-11-08,1160,1200,1067,1133,9545
2021-11-15,1130,1160,1067,1147,5833
2021-11-22,1147,1150,1067,1097,7469
2021-11-29,1117,1117,1000,1040,9057
2021-12-06,1040,1057,1000,1040,11315
2021-12-13,1060,1067,1033,1033,7606
2021-12-20,1053,1053,990,997,9443
2021-12-27,993,1000,987,1000,5578
2022-01-03,1000,1027,987,990,9858
2022-01-10,990,1033,950,950,9695
2022-01-17,933,933,817,880,27638
2022-01-24,880,1000,863,933,31541
2022-01-31,913,967,913,940,20311
2022-02-07,937,937,863,933,13581
2022-02-14,933,933,877,900,13649
2022-02-21,900,1000,863,953,34184
2022-02-28,933,967,890,890,7811
2022-03-07,923,927,860,923,20301
2022-03-14,920,920,867,867,21400
2022-03-21,860,897,803,867,31680
2022-03-28,867,1000,867,947,35450
2022-04-04,943,997,933,943,18632
2022-04-11,937,963,900,900,2494
2022-04-18,900,933,870,933,14777
2022-04-25,920,920,887,900,5872
2022-05-02,900,900,867,867,9976
2022-05-09,803,890,803,867,10383
2022-05-16,900,930,850,860,6484
2022-05-23,867,900,810,833,11373
2022-05-30,820,900,820,867,6775
2022-06-06,840,897,840,897,5148
2022-06-13,867,900,867,883,12243
2022-06-20,883,917,867,913,16056
2022-06-27,877,933,867,933,6067
2022-07-04,933,1003,897,1003,7661
2022-07-11,1060,1290,1003,1233,33271
2022-07-18,1233,1263,1133,1133,33927
