Date,Open,High,Low,Close,Volume
2003-12-31,721,721.0,721.0,721,3969
2004-01-31,757,793.0,721.0,757,7552
2004-02-29,760,762.0,760.0,762,1694
2004-03-31,739,777.0,739.0,777,30333
2004-04-30,739,793.0,739.0,757,9243
2004-05-31,757,780.0,757.0,780,7910
2004-06-30,775,782.0,775.0,775,10187
2004-07-31,775,775.0,775.0,775,583
2004-08-31,775,800.0,775.0,800,28363
2004-09-30,793,793.0,793.0,793,444
2004-10-31,793,793.0,793.0,793,416
2004-11-30,829,829.0,800.0,800,444
2004-12-31,800,811.0,800.0,811,1832
2005-01-31,804,804.0,804.0,804,1054
2005-02-28,811,811.0,811.0,811,1693
2005-03-31,811,811.0,811.0,811,1416
2005-04-30,811,811.0,811.0,811,722
2005-05-31,811,811.0,811.0,811,778
2005-06-30,811,829.0,811.0,829,6245
2005-07-31,829,829.0,829.0,829,1055
2005-08-31,829,829.0,829.0,829,1277
2005-09-30,829,829.0,829.0,829,6383
2005-10-31,829,829.0,829.0,829,3526
2005-11-30,829,829.0,829.0,829,5108
2005-12-31,829,829.0,829.0,829,3052
2006-01-31,829,829.0,829.0,829,42461
2006-02-28,836,836.0,829.0,829,18732
2006-03-31,836,836.0,836.0,836,3136
2006-04-30,897,901.0,897.0,901,722
2006-05-31,919,919.0,919.0,919,2637
2006-06-30,919,922.0,919.0,922,444
2006-07-31,922,922.0,919.0,919,695
2006-08-31,955,955.0,955.0,955,472
2006-09-30,955,955.0,955.0,955,472
2006-11-30,955,955.0,955.0,955,3081
2006-12-31,955,973.0,955.0,973,1388
2007-01-31,973,973.0,973.0,973,583
2007-02-28,973,973.0,973.0,973,83
2007-03-31,973,973.0,973.0,973,444
2007-04-30,980,980.0,980.0,980,361
2007-05-31,1027,1099.0,1027.0,1099,6022
2007-06-30,1099,1099.0,1099.0,1099,167
2007-07-31,973,1117.0,973.0,1074,4275
2007-08-31,1074,1124.0,1074.0,1124,42822
2007-09-30,1189,1189.0,1135.0,1135,86946
2007-10-31,1135,1140.0,1135.0,1140,27142
2007-11-30,1140,1140.0,1117.0,1117,12517
2007-12-31,1117,1117.0,1099.0,1099,1582
2008-01-31,1037,1111.0,1000.0,1000,5805
2008-02-29,1000,1111.0,1000.0,1111,11366
2008-03-31,1195,1195.0,1195.0,1195,216
2008-04-30,1297,1297.0,1296.0,1296,1350
2008-05-31,1296,1334.0,1296.0,1334,3240
2008-06-30,1334,1334.0,1259.0,1259,51969
2008-07-31,1278,1352.0,1278.0,1352,10152
2008-08-31,1393,1556.0,1393.0,1556,13283
