Date,Open,High,Low,Close,Volume
2003-12-31,962,962,962,962,2974
2004-03-31,1010,1058,962,1036,29655
2004-06-30,986,1058,986,1034,20483
2004-09-30,1034,1067,1034,1058,22026
2004-12-31,1058,1106,1058,1082,2016
2005-03-31,1072,1082,1072,1082,3121
2005-06-30,1082,1106,1082,1106,5802
2005-09-30,1106,1106,1106,1106,6530
2005-12-31,1106,1106,1106,1106,8757
2006-03-31,1106,1116,1106,1116,48214
2006-06-30,1197,1231,1197,1231,2848
2006-09-30,1231,1274,1226,1274,1226
2006-12-31,1274,1298,1274,1298,3349
2007-03-31,1298,1299,1298,1299,832
2007-06-30,1308,1466,1308,1466,4908
2007-09-30,1298,1587,1298,1514,100463
2007-12-31,1514,1522,1466,1466,30911
2008-03-31,1346,1550,1298,1550,13394
2008-06-30,1683,1731,1635,1635,43576
2008-09-30,1659,2019,1659,1851,65395
2008-12-31,1851,1926,1851,1926,17823
2009-03-31,1926,1933,1926,1928,13021
2009-06-30,1928,1928,1928,1928,13895
2009-09-30,1928,1976,1923,1976,33739
2009-12-31,1976,2019,1896,1896,80413
2010-03-31,1896,1900,1894,1900,16409
2010-06-30,1900,1935,1790,1790,39227
2010-09-30,1790,1790,1731,1779,116085
2010-12-31,1779,1779,1603,1635,172682
2011-03-31,1635,1683,1538,1538,66932
2011-06-30,1538,1635,1536,1630,80102
2011-09-30,1635,1635,1524,1529,33655
2011-12-31,1490,1587,1490,1490,19177
2012-03-31,1490,1731,1442,1639,168085
2012-06-30,1683,2072,1563,1591,123739
2012-09-30,1591,1758,1563,1632,159553
2012-12-31,1683,1875,1683,1755,179794
2013-03-31,1875,2072,1731,2072,142877
2013-06-30,2067,2188,1923,2163,134223
2013-09-30,2043,2171,1890,1947,98508
2013-12-31,1947,2163,1947,2077,205569
2014-03-31,2080,2563,2079,2563,270589
2014-06-30,2611,3106,2611,2885,57886
2014-09-30,2885,3269,2779,3029,474035
2014-12-31,3005,4183,2885,4183,218549
2015-03-31,4087,4444,3774,3894,418267
2015-06-30,3918,3990,3606,3798,597318
2015-09-30,3798,4135,3606,4087,133451
2015-12-31,4087,4231,3750,4087,207398
2016-03-31,3798,6394,3784,5502,377606
2016-06-30,5625,5625,4471,5049,329120
2016-09-30,5049,5065,4038,4519,99005
2016-12-31,4327,4543,4038,4327,1813718
2017-03-31,4279,5865,4087,4663,257237
2017-06-30,4712,5385,3728,3728,188276
2017-09-30,3719,3750,2500,2563,166832
2017-12-31,2500,3125,2300,3094,262908
2018-03-31,3063,3244,2563,3113,201546
2018-06-30,3063,3094,2416,2684,241935
2018-09-30,2656,2938,2250,2500,181616
2018-12-31,2469,2563,1531,2438,347405
2019-03-31,2438,2656,2191,2625,60864
2019-06-30,2631,2934,2138,2138,93087
2019-09-30,2156,2188,2003,2003,80694
2019-12-31,2003,2313,1678,2116,87410
2020-03-31,2116,2406,2000,2219,83513
2020-06-30,2188,2434,2063,2325,151026
2020-09-30,2281,2325,2000,2250,68098
2020-12-31,2206,2206,1881,2188,318706
2021-03-31,2125,2500,2088,2406,283352
2021-06-30,2406,2494,2188,2419,100114
2021-09-30,2419,3125,2281,3003,169380
2021-12-31,3003,3438,2938,3188,118894
2022-03-31,3219,4125,3000,4122,245037
2022-06-30,4122,4569,3563,3969,210985
2022-09-30,4003,4375,3753,4281,189256
2022-12-31,4281,4281,3409,3616,147772
2023-03-31,3616,4063,3313,3809,160895
2023-06-30,3809,3844,3403,3672,249230
2023-09-30,3603,3750,2519,3050,287202
2023-12-31,3063,3563,2534,3369,245146
2024-03-31,3366,3809,2850,3806,181012
2024-06-30,3806,3809,3066,3319,283140
2024-09-30,3319,5220,3095,3285,245937
2024-12-31,3485,3495,2500,2575,113498
2025-03-31,2580,3275,2115,2795,261655
2025-06-30,2790,3000,2425,2630,254943
2025-09-30,2625,2700,2225,2500,362669
2025-12-31,2495,2725,2450,2500,1359460
