Date,Open,High,Low,Close,Volume
2020-11-16,2063,2063,1881,1938,73578
2020-11-23,1938,2059,1916,2031,16938
2020-11-30,2063,2181,1941,2066,3047
2020-12-07,2066,2094,2063,2094,46307
2020-12-14,2094,2097,2031,2063,23040
2020-12-21,2072,2091,2031,2091,39327
2020-12-28,2094,2188,2094,2156,19856
2021-01-04,2156,2188,2066,2125,27065
2021-01-11,2122,2122,2088,2097,3361
2021-01-18,2097,2125,2094,2106,5487
2021-01-25,2125,2219,2125,2188,37111
2021-02-01,2219,2250,2188,2219,34417
2021-02-08,2225,2250,2200,2247,57510
2021-02-15,2247,2250,2219,2250,9504
2021-02-22,2247,2250,2231,2244,40781
2021-03-01,2244,2375,2222,2375,17386
2021-03-08,2313,2375,2263,2316,2926
2021-03-15,2331,2375,2284,2363,40065
2021-03-22,2363,2500,2344,2494,15554
2021-03-29,2494,2494,2406,2406,13639
2021-04-05,2406,2466,2406,2438,24941
2021-04-12,2434,2494,2350,2350,24129
2021-04-19,2359,2494,2313,2494,2596
2021-04-26,2491,2494,2438,2494,6424
2021-05-03,2494,2494,2438,2475,7698
2021-05-10,2375,2375,2188,2188,8069
2021-05-17,2188,2281,2188,2250,1719
2021-05-24,2203,2250,2188,2206,6096
2021-05-31,2231,2306,2191,2281,4248
2021-06-07,2281,2281,2266,2278,3602
2021-06-14,2266,2281,2244,2275,5714
2021-06-21,2266,2281,2263,2272,3712
2021-06-28,2250,2450,2250,2425,5590
2021-07-05,2425,2425,2313,2313,3298
2021-07-12,2316,2344,2284,2284,4926
2021-07-19,2281,2369,2281,2369,1758
2021-07-26,2369,2375,2313,2375,1184
2021-08-02,2375,2409,2375,2406,5574
2021-08-09,2419,2463,2406,2438,13260
2021-08-16,2406,2438,2381,2434,2814
2021-08-23,2431,2806,2406,2625,70058
2021-08-30,2625,2703,2625,2688,14792
2021-09-06,2703,2703,2622,2625,6448
2021-09-13,2688,2750,2503,2706,6610
2021-09-20,2719,2903,2719,2766,12295
2021-09-27,2906,3000,2813,2975,12070
2021-10-04,2822,3125,2822,3000,23697
2021-10-11,3000,3438,3000,3250,11131
2021-10-18,3250,3250,3138,3188,6263
2021-10-25,3188,3188,2941,2941,10638
2021-11-01,3156,3331,2938,3125,28029
2021-11-08,3169,3219,3163,3188,3962
2021-11-15,3184,3250,3175,3188,1808
2021-11-22,3188,3313,3169,3313,3904
2021-11-29,3313,3331,3188,3313,3360
2021-12-06,3319,3331,3188,3188,14120
2021-12-13,3219,3309,3188,3219,8424
2021-12-20,3250,3303,3213,3253,3522
2021-12-27,3253,3281,3219,3219,13135
2022-01-03,3238,3247,3156,3219,2149
2022-01-10,3219,3219,3000,3141,19968
2022-01-17,3213,3213,3006,3125,14086
2022-01-24,3119,3219,3072,3216,8201
2022-01-31,3188,3216,3175,3206,2099
2022-02-07,3216,3303,3203,3216,61898
2022-02-14,3250,3550,3125,3550,12602
2022-02-21,3547,3750,3438,3750,43729
2022-02-28,3681,3759,3519,3747,20911
2022-03-07,3750,4000,3750,4000,14897
2022-03-14,3869,4000,3791,3978,15459
2022-03-21,4000,4056,3903,3953,15762
2022-03-28,3956,4063,3956,4063,10233
2022-04-04,4063,4125,3972,4122,10193
2022-04-11,4122,4328,4094,4219,15371
2022-04-18,4250,4569,4188,4500,7288
2022-04-25,4500,4500,4313,4359,6473
2022-05-02,4372,4375,4128,4359,1417
2022-05-09,4359,4359,4125,4359,8940
2022-05-16,4306,4372,4281,4313,69742
2022-05-23,4000,4278,3563,3813,18078
2022-05-30,3813,3875,3566,3863,13121
2022-06-06,3594,4125,3594,4063,18669
2022-06-13,4063,4063,3781,4063,14344
2022-06-20,4063,4063,3878,4063,16676
2022-06-27,4059,4091,3969,4063,14828
2022-07-04,4063,4063,3969,4063,12767
2022-07-11,4059,4063,4000,4000,13946
2022-07-18,4000,4000,3838,3938,13508
2022-07-25,3753,3938,3753,3906,1296
2022-08-01,3906,3938,3816,3938,2054
2022-08-08,3847,3938,3847,3934,8362
2022-08-15,3906,3938,3875,3928,9799
2022-08-22,3938,3938,3875,3875,3262
2022-08-29,3844,3938,3844,3938,5606
2022-09-05,3938,3938,3875,3878,2593
2022-09-12,3881,4063,3878,4063,19335
2022-09-19,3881,4375,3881,4375,5350
2022-09-26,4063,4281,3875,4122,78466
2022-10-03,3938,4281,3875,4278,14269
