Date,Open,High,Low,Close,Volume
2003-12-31,962,962,962,962,2974
2004-12-31,1010,1106,962,1082,74180
2005-12-31,1072,1106,1072,1106,24210
2006-12-31,1106,1298,1106,1298,55637
2007-12-31,1298,1587,1298,1466,137114
2008-12-31,1346,2019,1298,1926,140188
2009-12-31,1926,2019,1896,1896,141068
2010-12-31,1896,1935,1603,1635,344403
2011-12-31,1635,1683,1490,1490,199866
2012-12-31,1490,2072,1442,1755,631171
2013-12-31,1875,2188,1731,2077,581177
2014-12-31,2080,4183,2079,4183,1021059
2015-12-31,4087,4444,3606,4087,1356434
2016-12-31,3798,6394,3784,4327,2619449
2017-12-31,4279,5865,2300,3094,875253
2018-12-31,3063,3244,1531,2438,972502
2019-12-31,2438,2934,1678,2116,322055
2020-12-31,2116,2434,1881,2188,621343
2021-12-31,2125,3438,2088,3188,671740
2022-12-31,3219,4569,3000,3616,793050
2023-12-31,3616,4063,2519,3369,942473
2024-12-31,3366,5220,2500,2575,823587
2025-12-31,2580,3275,2115,2610,2283678
2026-12-31,2455,2650,2450,2635,33520
