Date,Open,High,Low,Close,Volume
2014-12-10,1074,1074,1074,1074,1351
2014-12-11,1155,1155,1155,1155,150
2014-12-12,1241,1241,1241,1241,60
2014-12-15,1334,1334,1334,1334,90
2014-12-16,1434,1434,1434,1434,60
2014-12-17,1542,1542,1542,1542,16449
2014-12-18,1657,1657,1649,1657,169230
2014-12-19,1699,1781,1666,1781,74560
2014-12-22,1915,1915,1899,1915,29416
2014-12-23,1999,2059,1999,2032,99743
2014-12-24,2066,2066,1999,2016,25934
2014-12-26,2066,2167,2032,2032,51387
2014-12-29,2165,2166,2066,2066,17769
2014-12-30,2066,2116,2066,2116,2401
2014-12-31,2149,2249,2149,2149,45414
2015-01-02,2245,2245,2245,2245,1891
2015-01-05,2232,2232,2212,2215,4412
2015-01-06,2166,2232,2149,2166,6904
2015-01-07,2166,2232,2003,2166,38210
2015-01-08,2122,2122,2024,2066,82964
2015-01-09,2066,2166,2032,2166,13357
2015-01-12,2132,2132,2069,2069,1321
2015-01-13,2066,2066,2016,2032,5973
2015-01-14,1999,2132,1982,2099,29476
2015-01-15,1999,2001,1999,1999,32777
2015-01-16,2032,2032,1856,1999,14408
2015-01-19,1999,1999,1999,1999,5163
2015-01-20,1982,1999,1982,1999,1111
2015-01-21,1999,1999,1999,1999,14438
2015-01-22,1999,1999,1999,1999,4682
2015-01-23,1999,1999,1999,1999,6994
2015-01-26,1966,1999,1866,1965,8344
2015-01-27,1996,1998,1932,1932,3662
2015-01-28,1932,1999,1932,1999,14017
2015-01-29,1999,2149,1999,2099,154432
2015-01-30,2099,2166,2099,2166,11676
2015-02-02,2162,2166,2099,2099,3602
2015-02-03,2099,2232,2099,2166,59582
2015-02-04,2166,2232,2166,2232,5043
2015-02-05,2166,2228,2166,2166,1531
2015-02-06,2166,2166,2136,2136,3362
2015-02-10,2136,2232,2132,2232,8675
2015-02-11,2199,2264,2166,2199,6363
2015-02-12,2199,2215,2182,2215,2131
2015-02-13,2215,2265,2199,2265,3362
2015-02-16,2232,2265,2232,2265,2401
2015-02-17,2259,2259,2215,2215,1321
2015-02-18,2249,2249,2199,2232,3692
2015-02-19,2199,2232,2199,2215,3932
2015-02-20,2215,2215,2205,2205,4502
2015-02-23,2169,2195,2169,2172,17709
2015-02-24,2169,2172,2169,2172,450
2015-02-25,2199,2265,2176,2265,2221
2015-02-26,2202,2209,2199,2199,8224
2015-02-27,2199,2199,2199,2199,1711
2015-03-02,2199,2232,2199,2199,2101
2015-03-03,2199,2265,2182,2265,7804
2015-03-04,2232,2299,2232,2299,2221
2015-03-06,2299,2332,2282,2299,3812
2015-03-09,2282,2465,2265,2332,13477
2015-03-10,2333,2499,2333,2499,9095
2015-03-11,2492,2499,2449,2499,5823
2015-03-12,2495,2499,2495,2499,11046
2015-03-13,2497,2497,2449,2449,3602
2015-03-16,2465,2465,2349,2432,2491
2015-03-17,2432,2499,2399,2499,4172
2015-03-18,2415,2416,2415,2416,2791
2015-03-19,2415,2449,2415,2449,390
2015-03-20,2465,2465,2432,2449,3542
2015-03-23,2449,2465,2432,2432,19600
2015-03-24,2432,2465,2399,2465,2401
2015-03-25,2482,2482,2465,2465,150
2015-03-26,2432,2432,2432,2432,3512
2015-03-27,2462,2465,2432,2432,2822
2015-03-30,2465,2465,2432,2465,4322
2015-03-31,2482,2482,2432,2465,4923
2015-04-01,2465,2482,2365,2465,4112
2015-04-02,2465,2465,2465,2465,60
2015-04-03,2465,2482,2465,2482,9455
2015-04-07,2499,2499,2465,2499,21191
2015-04-08,2499,2499,2499,2499,4112
2015-04-09,2332,2332,2332,2332,1981
2015-04-10,2157,2157,2157,2157,690
2015-04-13,1999,1999,1999,1999,1411
2015-04-14,2016,2132,1849,2065,12907
2015-04-15,1919,1999,1919,1999,1561
2015-04-16,1999,1999,1999,1999,1621
2015-04-17,1999,2032,1999,2032,720
2015-04-20,2049,2066,2049,2066,180
2015-04-21,2066,2066,2032,2032,1831
2015-04-22,2032,2066,2032,2066,3482
2015-04-23,2066,2066,2066,2066,2071
2015-04-24,2066,2066,2066,2066,17109
2015-04-27,2066,2066,2066,2066,2581
2015-04-28,2066,2149,2066,2136,840
2015-04-29,2132,2149,2132,2149,1861
2015-04-30,2166,2166,2132,2132,1351
2015-05-04,2165,2166,2165,2166,1051
2015-05-05,2182,2186,2182,2186,4262
2015-05-06,2199,2199,2166,2166,14888
2015-05-07,2166,2232,2132,2232,11016
2015-05-08,2199,2199,2199,2199,660
2015-05-11,2182,2182,2166,2166,5493
2015-05-12,2166,2232,2166,2166,5043
2015-05-13,2199,2199,2166,2182,8284
2015-05-15,2199,2215,2199,2215,1081
2015-05-18,2215,2215,2166,2166,11826
2015-05-19,2132,2166,2132,2166,2041
2015-05-20,2166,2166,2166,2166,600
2015-05-21,2199,2199,2166,2166,5433
2015-05-22,2199,2199,2166,2166,3362
2015-05-26,2215,2215,2172,2172,28905
2015-05-27,2166,2199,2166,2199,3692
2015-05-28,2182,2232,2166,2232,8314
2015-05-29,2232,2232,2166,2166,16089
2015-06-01,2166,2249,2166,2249,15818
2015-06-02,2166,2182,2166,2166,870
2015-06-03,2166,2166,2166,2166,1621
2015-06-04,2166,2166,2166,2166,150
2015-06-05,2232,2232,2199,2199,1081
2015-06-08,2197,2232,2166,2199,5013
2015-06-09,2166,2232,2166,2232,3902
2015-06-10,2199,2232,2199,2232,4622
2015-06-11,2232,2232,2199,2232,1141
2015-06-12,2232,2232,2232,2232,1711
2015-06-15,2232,2245,2232,2245,1321
2015-06-16,2245,2245,2232,2232,9335
2015-06-17,2215,2216,2215,2216,180
2015-06-18,2199,2232,2199,2232,12156
2015-06-19,2232,2232,2232,2232,12006
2015-06-22,2265,2265,2232,2232,2251
2015-06-23,2232,2237,2232,2237,5673
2015-06-24,2232,2239,2232,2232,3632
2015-06-25,2249,2265,2249,2265,5343
2015-06-26,2282,2299,2250,2299,15038
2015-06-29,2325,2325,2306,2306,2101
2015-06-30,2332,2479,2332,2479,390
2015-07-01,2329,2332,2329,2332,720
2015-07-02,2332,2332,2332,2332,3152
2015-07-03,2365,2365,2332,2332,810
2015-07-06,2507,2507,2333,2333,6093
2015-07-07,2465,2465,2465,2465,7054
2015-07-08,2366,2465,2349,2365,10866
2015-07-10,2413,2465,2413,2465,9215
2015-07-13,2465,2499,2465,2499,21852
2015-07-15,2465,2499,2465,2465,8104
2015-07-16,2465,2499,2465,2499,2611
2015-07-20,2499,2665,2482,2532,20561
2015-07-21,2532,2532,2532,2532,2611
2015-07-22,2555,2555,2532,2532,23112
2015-07-23,2532,2535,2532,2532,28335
2015-07-24,2535,2549,2532,2532,5433
2015-07-27,2532,2532,2532,2532,35149
2015-07-28,2532,2549,2532,2549,1231
2015-07-29,2532,2565,2532,2532,6063
2015-07-30,2532,2532,2532,2532,4172
2015-07-31,2499,2549,2499,2549,1891
2015-08-03,2532,2532,2532,2532,1171
2015-08-04,2532,2722,2532,2722,9455
2015-08-05,2599,2722,2565,2565,21852
2015-08-06,2582,2582,2565,2565,961
2015-08-10,2565,2699,2565,2699,8945
2015-08-11,2699,2765,2632,2632,15578
2015-08-12,2632,2632,2602,2632,3422
2015-08-13,2632,2722,2632,2722,5433
2015-08-14,2699,2882,2699,2777,22212
2015-08-17,2732,2832,2732,2732,6243
2015-08-18,2699,2699,2699,2699,300
2015-08-19,2715,2832,2665,2832,9695
2015-08-20,2832,2832,2832,2832,30
2015-08-21,2749,2749,2749,2749,1501
2015-08-24,2732,2765,2732,2765,9845
2015-08-25,2765,2765,2732,2765,2641
2015-08-26,2765,2898,2765,2782,4112
2015-08-27,2769,2799,2765,2799,2041
2015-08-28,2769,2815,2769,2815,15308
2015-08-31,2815,2832,2815,2832,1261
2015-09-01,2832,2832,2799,2799,57811
2015-09-02,2815,2832,2815,2815,5193
2015-09-03,2799,2815,2799,2799,1861
2015-09-04,2817,2848,2815,2848,16539
2015-09-07,2832,2832,2815,2815,2251
2015-09-08,2799,2848,2799,2848,4412
2015-09-09,2799,2799,2798,2799,450
2015-09-10,2832,2848,2832,2848,600
2015-09-11,2835,2848,2835,2835,1771
2015-09-14,2835,2868,2835,2865,4322
2015-09-15,2832,2865,2799,2799,5763
2015-09-16,2815,2832,2799,2799,1201
2015-09-17,2832,2865,2832,2832,1291
2015-09-18,2832,2832,2832,2832,90
2015-09-21,2832,2832,2799,2799,4562
2015-09-22,2799,2799,2732,2732,600
2015-09-23,2699,2699,2699,2699,300
2015-09-25,2665,2665,2665,2665,300
2015-09-28,2672,2699,2665,2699,5793
2015-09-29,2649,2699,2649,2699,4863
2015-09-30,2699,2716,2699,2699,3302
2015-10-01,2699,2732,2665,2699,79482
2015-10-02,2732,2732,2732,2732,3992
2015-10-05,2732,2732,2715,2732,32387
2015-10-06,2732,2732,2732,2732,37460
2015-10-07,2732,2732,2717,2732,5523
2015-10-08,2732,2765,2719,2732,75490
2015-10-09,2715,2730,2715,2730,17980
2015-10-12,2715,2715,2715,2715,1261
2015-10-13,2715,2732,2715,2732,1801
2015-10-14,2732,2732,2725,2732,18520
2015-10-15,2732,2732,2729,2732,5373
2015-10-16,2732,2832,2726,2726,52798
2015-10-19,2732,2732,2726,2727,18010
2015-10-20,2727,2727,2724,2724,420
2015-10-21,2724,2898,2724,2724,12577
2015-10-22,2732,2732,2724,2724,77741
2015-10-23,2722,2722,2722,2722,630
2015-10-26,2725,2732,2722,2722,630
2015-10-27,2732,2832,2724,2832,13237
2015-10-28,2724,2732,2724,2732,2731
2015-10-29,2732,2732,2724,2724,750
2015-10-30,2732,2732,2722,2722,13537
2015-11-02,2722,2732,2722,2722,3242
2015-11-03,2722,2732,2699,2699,6153
2015-11-04,2699,2722,2668,2719,2281
2015-11-05,2665,2665,2665,2665,1441
2015-11-09,2665,2665,2665,2665,300
2015-11-10,2632,2632,2582,2582,1501
2015-11-11,2599,2599,2549,2582,14348
2015-11-12,2532,2532,2499,2499,6814
2015-11-13,2499,2499,2499,2499,16479
2015-11-16,2499,2499,2499,2499,6003
2015-11-17,2482,2482,2365,2365,2822
2015-11-18,2365,2365,2365,2365,5883
2015-11-19,2199,2315,2199,2215,3302
2015-11-20,2215,2215,2199,2215,3842
2015-11-23,2215,2265,2215,2265,10776
2015-11-24,2265,2265,2232,2265,6003
2015-11-25,2249,2265,2249,2265,4532
2015-11-26,2265,2332,2265,2332,5343
2015-11-27,2266,2266,2266,2266,2101
2015-11-30,2282,2282,2266,2266,2131
2015-12-01,2265,2265,2265,2265,39111
2015-12-02,2265,2282,2265,2282,3032
2015-12-03,2266,2282,2265,2265,6183
2015-12-04,2265,2282,2265,2282,1651
2015-12-07,2265,2399,2265,2399,5283
2015-12-08,2265,2265,2265,2265,630
2015-12-09,2265,2399,2265,2399,2311
2015-12-10,2332,2332,2282,2282,1891
2015-12-11,2265,2282,2265,2282,2131
2015-12-14,2275,2275,2266,2266,1501
2015-12-15,2265,2265,2232,2232,6303
2015-12-16,2199,2265,2199,2232,5673
2015-12-17,2182,2182,2182,2182,1681
2015-12-18,2166,2232,2166,2232,19090
2015-12-21,2232,2232,2199,2232,3422
2015-12-22,2215,2232,2199,2232,4713
2015-12-23,2265,2332,2265,2332,3812
2015-12-28,2202,2202,2172,2172,1261
2015-12-29,2187,2332,2187,2332,9125
2015-12-30,2199,2465,2172,2465,2972
2015-12-31,2462,2632,2462,2632,5163
2016-01-04,2465,2465,2465,2465,750
2016-01-06,2399,2399,2365,2365,900
