Date,Open,High,Low,Close,Volume
2020-11-30,893,930,867,887,49231
2020-12-31,887,1000,867,997,159608
2021-01-31,987,1000,907,1000,113478
2021-02-28,1000,1000,893,967,39385
2021-03-31,950,1037,903,1013,39386
2021-04-30,1013,1053,1010,1050,37425
2021-05-31,1050,1220,1040,1097,89268
2021-06-30,1097,1170,1003,1167,76470
2021-07-31,1163,1333,1133,1327,60122
2021-08-31,1327,1613,1300,1530,41151
2021-09-30,1530,1593,1433,1520,72448
2021-10-31,1520,1793,1507,1793,90020
2021-11-30,1800,1833,1600,1733,86627
2021-12-31,1733,1750,1533,1567,166237
2022-01-31,1567,1673,1507,1663,55700
2022-02-28,1663,1733,1533,1647,87175
2022-03-31,1643,1853,1567,1717,85595
2022-04-30,1727,1730,1503,1533,65037
2022-05-31,1517,1700,1433,1567,70291
2022-06-30,1567,1667,1500,1580,47086
2022-07-31,1580,1667,1570,1600,98507
2022-08-31,1623,1663,1603,1653,60771
2022-09-30,1653,1693,1610,1610,88434
2022-10-31,1610,1693,1527,1567,58711
2022-11-30,1567,1733,1533,1613,57199
2022-12-31,1610,1733,1533,1633,69966
2023-01-31,1720,1720,1483,1667,54146
2023-02-28,1603,1723,1600,1600,49704
2023-03-31,1600,1663,1450,1463,116122
2023-04-30,1467,1627,1450,1620,67839
2023-05-31,1620,1797,1577,1717,80220
2023-06-30,1717,1923,1637,1867,130049
2023-07-31,1867,1923,1800,1923,52792
2023-08-31,1923,2133,1800,2063,37459
2023-09-30,2063,2200,1933,2200,67569
2023-10-31,2133,2333,1913,2100,55188
2023-11-30,2100,2433,1953,2067,55225
2023-12-31,2033,2400,1970,2133,122125
2024-01-31,2130,2267,1983,2267,34429
2024-02-29,2133,2267,1970,2047,72756
2024-03-31,2003,2267,1983,2267,97325
2024-04-30,2267,2467,2200,2400,100800
2024-05-31,2400,2667,2363,2600,43532
2024-06-30,2600,2867,2533,2583,52515
2024-07-31,2593,3233,2540,3233,87575
2024-08-31,3267,4690,3067,3370,60791
2024-09-30,3600,4180,3370,3750,66326
2024-10-31,3800,4140,3515,3900,30142
2024-11-30,3900,3900,2965,3445,35662
2024-12-31,3445,3445,2960,3150,75352
2025-01-31,3150,3150,2650,2725,46057
2025-02-28,2725,2945,2550,2945,73469
2025-03-31,2945,4025,2800,3950,100667
2025-04-30,3950,4335,3765,4150,280918
2025-05-31,4165,4300,3800,3950,196268
2025-06-30,3950,4200,3950,4140,216904
2025-07-31,4140,4500,4000,4400,209014
2025-08-31,4400,4750,4355,4710,116852
2025-09-30,4710,5600,4700,5600,122436
2025-10-31,5600,5895,5350,5505,154322
2025-11-30,5405,5505,5050,5300,32959
