Date,Open,High,Low,Close,Volume
2014-12-31,1074,2249,1074,2149,534014
2015-03-31,2245,2499,1856,2465,706123
2015-06-30,2465,2499,1849,2479,328522
2015-09-30,2329,2898,2329,2699,464316
2015-12-31,2699,2898,2166,2632,704566
2016-03-31,2465,2799,2205,2482,452037
2016-06-30,2565,2666,2116,2166,509307
2016-09-30,2166,2315,1732,1799,165055
2016-12-31,1799,1836,1333,1566,110306
2017-03-31,1582,2632,1549,2480,559438
2017-06-30,2478,2582,2158,2158,429579
2017-09-30,1996,2285,1866,2066,214073
2017-12-31,1999,2166,1356,1666,185657
2018-03-31,1666,2229,1599,1932,318376
2018-06-30,1932,1966,1333,1786,166020
2018-09-30,1779,1779,1393,1599,158042
2018-12-31,1479,1533,1066,1346,259121
2019-03-31,1263,1266,979,1099,216368
2019-06-30,1066,1333,1026,1119,160601
2019-09-30,1099,1159,1053,1089,145296
2019-12-31,1099,1099,996,1029,226006
2020-03-31,1033,1179,986,999,594244
2020-06-30,1003,1133,933,989,150060
2020-09-30,996,1013,860,1013,261113
2020-12-31,999,999,866,996,283271
2021-03-31,986,1036,893,1013,192339
2021-06-30,1013,1219,1003,1166,203251
2021-09-30,1163,1612,1133,1519,173799
2021-12-31,1519,1832,1506,1566,343050
2022-03-31,1566,1852,1506,1716,228576
2022-06-30,1726,1729,1433,1579,182495
2022-09-30,1579,1692,1569,1609,247831
2022-12-31,1609,1732,1526,1632,185962
2023-03-31,1719,1722,1449,1463,220076
2023-06-30,1466,1922,1449,1866,278244
2023-09-30,1866,2199,1799,2199,157890
2023-12-31,2132,2432,1912,2132,232644
2024-03-31,2129,2265,1969,2265,204609
2024-06-30,2265,2865,2199,2582,196936
2024-09-30,2592,4690,2539,3750,214761
2024-12-31,3800,4140,2960,3150,141156
2025-03-31,3150,4025,2550,3950,220193
2025-06-30,3950,4335,3765,4140,694090
2025-09-30,4140,5600,4000,5600,448302
2025-12-31,5600,5895,5050,5240,305650
2026-03-31,5240,7200,5200,6600,391560
2026-06-30,6650,7500,6255,7500,158532
