Date,Open,High,Low,Close,Volume
2014-12-15,1074,1334,1074,1334,1651
2014-12-22,1434,1915,1434,1915,289715
2014-12-29,1999,2167,1999,2066,194833
2015-01-05,2066,2249,2066,2215,54118
2015-01-12,2166,2232,2003,2069,142756
2015-01-19,2066,2132,1856,1999,87797
2015-01-26,1982,1999,1866,1965,35569
2015-02-02,1996,2166,1932,2099,187389
2015-02-09,2099,2232,2099,2136,69518
2015-02-16,2136,2265,2132,2265,22932
2015-02-23,2259,2259,2169,2172,31156
2015-03-02,2169,2265,2169,2199,14707
2015-03-09,2199,2465,2182,2332,27314
2015-03-16,2333,2499,2333,2432,32057
2015-03-23,2432,2499,2399,2432,30495
2015-03-30,2432,2482,2399,2465,13207
2015-04-06,2482,2482,2365,2482,18550
2015-04-13,2499,2499,1999,1999,29385
2015-04-20,2016,2132,1849,2066,16989
2015-04-27,2066,2066,2032,2066,27074
2015-05-04,2066,2166,2066,2166,5103
2015-05-11,2182,2232,2132,2166,36319
2015-05-18,2166,2232,2166,2166,26234
2015-05-25,2132,2199,2132,2166,11436
2015-06-01,2215,2249,2166,2249,72818
2015-06-08,2166,2232,2166,2199,8735
2015-06-15,2166,2245,2166,2245,12697
2015-06-22,2245,2265,2199,2232,35928
2015-06-29,2232,2325,2232,2306,31787
2015-07-06,2332,2507,2329,2333,11165
2015-07-13,2465,2499,2349,2499,48987
2015-07-20,2465,2665,2465,2532,31276
2015-07-27,2532,2555,2532,2532,94640
2015-08-03,2532,2565,2499,2532,14528
2015-08-10,2532,2722,2532,2699,41213
2015-08-17,2699,2882,2602,2732,52888
2015-08-24,2699,2832,2665,2765,21371
2015-08-31,2765,2898,2732,2832,25363
2015-09-07,2832,2848,2799,2815,83655
2015-09-14,2799,2868,2798,2865,11555
2015-09-21,2832,2865,2799,2799,12907
2015-09-28,2799,2799,2665,2699,6993
2015-10-05,2649,2732,2649,2732,124026
2015-10-12,2732,2765,2715,2715,137714
2015-10-19,2715,2832,2715,2727,96502
2015-10-26,2727,2898,2722,2722,91998
2015-11-02,2732,2832,2722,2722,33497
2015-11-09,2722,2732,2665,2665,10175
2015-11-16,2632,2632,2499,2499,45145
2015-11-23,2482,2482,2199,2265,26625
2015-11-30,2265,2332,2232,2266,20110
2015-12-07,2265,2399,2265,2399,55260
2015-12-14,2265,2399,2265,2266,8464
2015-12-21,2265,2265,2166,2232,36169
2015-12-28,2215,2332,2172,2172,9786
2016-01-04,2187,2632,2172,2465,18010
2016-01-11,2399,2399,2332,2332,4772
2016-01-18,2299,2332,2205,2332,22781
2016-01-25,2332,2332,2259,2265,5522
2016-02-01,2265,2299,2262,2265,27194
2016-02-08,2332,2382,2299,2382,26084
2016-02-15,2399,2499,2332,2332,71047
2016-02-22,2365,2499,2365,2499,56161
2016-02-29,2515,2799,2515,2699,28785
2016-03-07,2689,2765,2665,2732,114180
2016-03-14,2699,2765,2699,2732,37010
2016-03-21,2732,2765,2665,2715,46164
2016-03-28,2699,2714,2659,2665,8165
2016-04-04,2465,2632,2465,2632,132190
2016-04-11,2632,2666,2565,2565,36830
2016-04-18,2565,2582,2532,2532,5912
2016-04-25,2565,2569,2499,2499,18250
2016-05-02,2499,2532,2479,2532,9995
2016-05-09,2532,2549,2449,2466,18220
2016-05-16,2499,2499,2465,2499,14469
2016-05-23,2465,2465,2265,2266,22031
2016-05-30,2266,2299,2249,2249,18039
2016-06-06,2232,2232,2132,2132,24582
2016-06-13,2166,2199,2116,2199,16178
2016-06-20,2166,2199,2149,2199,56279
2016-06-27,2199,2199,2166,2195,108207
2016-07-04,2195,2232,2166,2166,36889
2016-07-11,2166,2199,2166,2166,33979
2016-07-18,2149,2166,2099,2099,17410
2016-07-25,2032,2032,1932,1966,11916
2016-08-01,1966,2032,1944,2032,12426
2016-08-08,2016,2016,1999,1999,9994
2016-08-15,1999,1999,1982,1983,7864
2016-08-22,2032,2032,1999,1999,6693
2016-08-29,1999,2006,1966,2006,11976
2016-09-05,2006,2315,2006,2315,5613
2016-09-12,2159,2159,2132,2157,6663
2016-09-19,2132,2157,2082,2099,7775
2016-09-26,2116,2116,1832,1832,17498
2016-10-03,1832,1832,1732,1766,10867
2016-10-10,1799,1836,1769,1832,9004
2016-10-17,1832,1832,1766,1766,6453
2016-10-24,1766,1766,1666,1666,4172
2016-10-31,1666,1666,1666,1666,8554
2016-11-07,1541,1666,1541,1649,10416
2016-11-14,1649,1649,1333,1433,7803
2016-11-21,1433,1433,1333,1333,7173
2016-11-28,1383,1433,1366,1433,15789
2016-12-05,1540,1632,1533,1632,11828
2016-12-12,1599,1599,1499,1533,10565
2016-12-19,1533,1647,1499,1566,4412
2016-12-26,1533,1582,1529,1566,7984
2017-01-02,1566,1582,1549,1549,5582
2017-01-09,1566,1719,1566,1666,14377
2017-01-16,1666,1666,1632,1632,11796
2017-01-23,1632,1666,1632,1649,7864
2017-01-30,1666,1666,1582,1632,16118
2017-02-06,1632,1662,1599,1632,7054
2017-02-13,1652,1666,1632,1666,10686
2017-02-20,1666,1682,1632,1649,47786
2017-02-27,1632,1719,1566,1717,18069
2017-03-06,1732,1732,1632,1632,34369
2017-03-13,1616,1636,1616,1636,10055
2017-03-20,1632,2041,1632,2041,234305
2017-03-27,2194,2632,2194,2499,121986
2017-04-03,2399,2494,2332,2482,27465
2017-04-10,2482,2582,2465,2504,58951
2017-04-17,2505,2549,2499,2499,30887
2017-04-24,2466,2499,2465,2469,34400
2017-05-01,2482,2515,2469,2469,36469
2017-05-08,2469,2499,2399,2499,28185
2017-05-15,2465,2482,2432,2465,42802
2017-05-22,2466,2499,2466,2482,22003
2017-05-29,2482,2499,2467,2499,23203
2017-06-05,2482,2499,2469,2472,16449
2017-06-12,2472,2482,2332,2482,50277
2017-06-19,2399,2499,2399,2499,34909
2017-06-26,2499,2499,2365,2365,39622
2017-07-03,2332,2365,1996,1996,11286
2017-07-10,1999,2285,1999,2199,13867
2017-07-17,2133,2133,1999,1999,9830
2017-07-24,1999,2066,1999,1999,7714
2017-07-31,1999,2066,1999,2012,3241
2017-08-07,2032,2066,2013,2066,3271
2017-08-14,2066,2066,2012,2032,14979
2017-08-21,2032,2032,1999,1999,7999
2017-08-28,1999,2006,1992,1999,23893
2017-09-04,1999,2066,1999,2032,11916
2017-09-11,2032,2065,2006,2007,25034
2017-09-18,2007,2032,1998,1999,31082
2017-09-25,1999,2033,1866,1866,46795
2017-10-02,1866,2066,1866,2066,12757
2017-10-09,1949,2166,1949,2166,36079
2017-10-16,2132,2132,2032,2066,36020
2017-10-23,2066,2099,2032,2066,30212
2017-10-30,2067,2132,1882,1999,8869
2017-11-06,1999,1999,1799,1799,4860
2017-11-13,1829,1839,1419,1466,14850
2017-11-20,1356,1539,1356,1533,10572
2017-11-27,1543,1646,1533,1646,10223
2017-12-04,1599,1599,1433,1433,7831
2017-12-11,1466,1666,1466,1599,3168
2017-12-18,1533,1632,1499,1632,9319
2017-12-25,1563,1629,1533,1599,3364
2018-01-01,1569,1666,1569,1666,9239
2018-01-08,1666,1666,1599,1666,8944
2018-01-15,1662,1666,1602,1652,10318
2018-01-22,1652,1699,1652,1699,7250
2018-01-29,1699,1826,1652,1696,22705
2018-02-05,1669,1696,1659,1696,10142
2018-02-12,1696,2166,1696,1929,15504
2018-02-19,1929,1929,1766,1859,61087
2018-02-26,1866,1869,1829,1866,18049
2018-03-05,1862,2229,1859,2166,26488
2018-03-12,2166,2166,1789,1926,33674
2018-03-19,1922,2066,1892,1999,85493
2018-03-26,1999,1999,1866,1932,7921
2018-04-02,1932,1966,1832,1932,10801
2018-04-09,1932,1966,1666,1732,12033
2018-04-16,1732,1732,1539,1632,10935
2018-04-23,1599,1656,1539,1539,8287
2018-04-30,1652,1652,1353,1566,11923
2018-05-07,1466,1566,1396,1433,9059
2018-05-14,1459,1459,1333,1429,10987
2018-05-21,1403,1533,1399,1399,15041
2018-05-28,1399,1599,1399,1566,23740
2018-06-04,1599,1796,1599,1729,18609
2018-06-11,1716,1746,1602,1732,8904
2018-06-18,1732,1732,1626,1719,7596
2018-06-25,1719,1832,1612,1762,19147
2018-07-02,1729,1792,1669,1729,9906
2018-07-09,1679,1776,1599,1599,7657
2018-07-16,1602,1699,1566,1666,9418
2018-07-23,1632,1666,1572,1602,7328
2018-07-30,1626,1662,1576,1659,15179
2018-08-06,1649,1666,1599,1632,17573
2018-08-13,1602,1632,1572,1599,7468
2018-08-20,1599,1599,1576,1582,2400
2018-08-27,1582,1599,1533,1563,10541
2018-09-03,1539,1666,1533,1626,20852
2018-09-10,1599,1632,1506,1519,8561
2018-09-17,1533,1566,1466,1469,8559
2018-09-24,1469,1529,1433,1466,4956
2018-10-01,1433,1599,1393,1483,37807
2018-10-08,1483,1483,1333,1333,29369
2018-10-15,1399,1399,1323,1333,19291
2018-10-22,1333,1363,1266,1333,64210
2018-10-29,1333,1333,1299,1299,9969
2018-11-05,1326,1333,1299,1329,14520
2018-11-12,1333,1333,1233,1233,17117
2018-11-19,1233,1319,1199,1273,2956
2018-11-26,1266,1326,1166,1166,12418
2018-12-03,1253,1266,1166,1199,7344
2018-12-10,1133,1259,1066,1196,13642
2018-12-17,1129,1199,1123,1193,9139
2018-12-24,1193,1263,1079,1193,35604
2018-12-31,1193,1359,1106,1346,23138
2019-01-07,1263,1266,1163,1183,7660
2019-01-14,1199,1206,1126,1183,10929
2019-01-21,1133,1163,1129,1163,5334
2019-01-28,1166,1169,1153,1153,2542
2019-02-04,1149,1199,1126,1166,9377
2019-02-11,1186,1199,1133,1166,4308
2019-02-18,1166,1166,979,1059,46946
2019-02-25,1066,1199,1066,1189,16172
2019-03-04,1189,1199,1066,1133,8041
2019-03-11,1133,1196,1066,1133,25939
2019-03-18,1133,1193,1066,1159,3523
2019-03-25,1133,1159,1056,1099,63098
2019-04-01,1066,1099,1019,1099,15718
2019-04-08,1099,1333,1066,1333,23786
2019-04-15,1313,1329,1143,1143,9514
2019-04-22,1153,1199,1143,1166,5017
2019-04-29,1166,1199,1166,1193,9389
2019-05-06,1199,1199,1166,1193,21761
2019-05-13,1193,1253,1186,1233,13174
2019-05-20,1233,1253,1199,1246,11286
2019-05-27,1243,1266,1166,1196,22487
2019-06-03,1193,1193,1026,1133,8461
2019-06-10,1133,1166,1106,1129,8132
2019-06-17,1119,1133,1066,1069,5402
2019-06-24,1099,1133,1049,1126,13919
2019-07-01,1053,1119,1053,1099,5129
2019-07-08,1099,1116,1066,1099,12184
2019-07-15,1099,1116,1089,1099,7528
2019-07-22,1099,1113,1089,1113,14059
2019-07-29,1113,1119,1103,1119,8359
2019-08-05,1113,1129,1103,1119,14611
2019-08-12,1103,1113,1099,1099,3153
2019-08-19,1099,1129,1099,1109,9887
2019-08-26,1133,1133,1103,1106,17038
2019-09-02,1106,1159,1099,1099,13874
2019-09-09,1099,1133,1066,1113,14996
2019-09-16,1099,1149,1099,1133,6326
2019-09-23,1133,1146,1099,1113,11624
2019-09-30,1116,1133,1053,1089,11582
2019-10-07,1099,1099,1053,1069,10257
2019-10-14,1066,1066,996,1033,3108
2019-10-21,1033,1036,999,1033,8378
2019-10-28,1039,1049,1033,1049,6851
2019-11-04,1033,1066,1033,1066,2484
2019-11-11,1046,1066,1046,1066,3288
2019-11-18,1066,1066,1046,1066,9315
2019-11-25,1066,1066,1006,1006,44447
2019-12-02,1009,1063,1009,1049,6189
2019-12-09,1033,1033,999,1006,21647
2019-12-16,1033,1049,999,1023,56092
2019-12-23,1026,1033,999,1006,10747
2019-12-30,1003,1033,1003,1029,34862
2020-01-06,1033,1033,1029,1029,12225
2020-01-13,1019,1023,999,1006,29030
2020-01-20,1006,1039,1006,1039,19195
2020-01-27,1039,1179,1039,1113,12747
2020-02-03,1113,1126,1066,1106,46460
2020-02-10,1066,1093,1066,1076,78494
2020-02-17,1066,1066,999,1033,21725
2020-02-24,1033,1033,1006,1019,319915
2020-03-02,1033,1066,1019,1066,8685
2020-03-09,1019,1086,1013,1013,16395
2020-03-16,1033,1056,1013,1026,20899
