Date,Open,High,Low,Close,Volume
2014-12-31,1074,2249,1074,2149,534014
2015-12-31,2245,2898,1849,2632,2203527
2016-12-31,2465,2799,1333,1566,1236705
2017-12-31,1582,2632,1356,1666,1388747
2018-12-31,1666,2229,1066,1346,901559
2019-12-31,1263,1333,979,1029,748271
2020-12-31,1033,1179,860,996,1288688
2021-12-31,986,1832,893,1566,912439
2022-12-31,1566,1852,1433,1632,844864
2023-12-31,1719,2432,1449,2132,888854
2024-12-31,2129,4690,1969,3150,757462
2025-12-31,3150,5895,2550,5240,1668235
2026-12-31,5240,7400,5200,7390,531845
