Date,Open,High,Low,Close,Volume
2025-01-06,100.46,102.81,100.46,101.58,0
2025-01-13,98.69,100.31,98.69,99.3,0
2025-01-20,98.88,98.88,95.57,98.38,0
2025-01-27,97.37,98.74,96.92,98.74,0
2025-02-03,98.7,98.7,96.72,96.72,0
2025-02-10,96.86,99.87,96.86,99.2,0
2025-02-17,97.31,99.31,97.31,98.69,0
2025-02-24,97.88,100.21,97.88,100.21,0
2025-03-03,100.13,102.33,100.13,102.04,0
2025-03-10,100.7,100.72,99.07,99.07,0
2025-03-17,99.56,99.97,98.94,99.83,0
2025-03-24,100.01,100.02,97.51,99.74,0
2025-03-31,98.83,101.47,98.83,101.47,0
2025-04-07,100.1,100.1,97.06,99.95,0
2025-04-14,99.85,99.85,97.85,98.55,0
2025-04-21,98.74,98.75,95.78,98.08,0
2025-04-28,97.36,98.95,96.1,98.16,0
2025-05-05,98.23,98.73,98.15,98.64,0
2025-05-12,96.32,100.56,96.32,100.56,0
2025-05-19,101.48,103.09,100.14,103.09,0
2025-05-26,105.48,106.11,104.15,104.15,0
2025-06-02,103.08,104.17,103.08,103.66,0
2025-06-09,103.71,104.0,103.71,104.0,0
2025-06-16,105.89,107.05,103.29,107.05,0
2025-06-23,106.22,108.71,105.8,106.61,0
2025-06-30,107.85,107.85,105.86,107.13,0
2025-07-07,105.25,107.42,105.25,107.42,0
2025-07-14,104.67,107.65,104.67,107.65,0
2025-07-21,108.17,108.17,104.95,107.27,0
2025-07-28,106.78,106.78,104.92,106.44,0
2025-08-04,106.21,107.77,105.0,105.17,0
2025-08-11,102.71,104.87,102.71,103.68,0
2025-08-18,104.93,106.5,104.93,106.39,0
2025-08-25,107.38,108.39,106.95,107.61,0
2025-09-01,108.23,120.59,108.23,120.59,0
2025-09-08,124.73,127.15,122.66,122.73,0
2025-09-15,123.61,125.14,122.68,125.14,0
2025-09-22,124.2,134.0,124.2,134.0,0
2025-09-29,139.02,144.09,137.57,137.57,0
2025-10-06,134.23,161.03,134.23,161.03,0
2025-10-13,161.4,182.87,161.4,182.87,0
2025-10-20,193.87,193.87,172.56,180.08,0
2025-10-27,187.95,210.16,187.95,210.16,0
2025-11-03,219.99,244.37,215.49,215.49,0
2025-11-10,202.58,202.58,169.1,169.1,0
2025-11-17,176.33,183.71,173.91,173.91,0
2025-11-24,172.13,172.67,170.24,170.24,0
2025-12-01,173.04,184.8,173.04,184.8,0
2025-12-08,190.07,190.07,183.58,183.58,0
