Date,Open,High,Low,Close,Volume
2025-01-31,101.35,101.35,94.0,96.52,0
2025-02-28,95.76,120.83,95.23,120.83,0
2025-03-31,120.58,125.54,119.4,120.35,0
2025-04-30,119.4,126.51,114.57,120.62,0
2025-05-31,115.31,115.31,98.88,103.8,0
2025-06-30,104.4,113.98,104.4,110.94,0
2025-07-31,110.38,111.84,103.6,105.9,0
2025-08-31,107.45,111.26,107.0,110.87,0
2025-09-30,108.92,108.92,105.08,107.29,0
2025-10-31,107.73,112.44,107.06,108.19,0
2025-11-30,105.97,114.13,104.38,112.84,0
2025-12-31,114.29,114.92,109.09,110.91,0
