Date,Open,High,Low,Close,Volume
2025-01-06,101.35,101.35,100.33,100.6,0
2025-01-13,98.96,100.72,98.23,98.23,0
2025-01-20,99.01,99.01,95.96,97.07,0
2025-01-27,97.5,97.5,95.74,96.96,0
2025-02-03,96.23,96.52,94.0,95.76,0
2025-02-10,96.27,98.24,95.23,98.24,0
2025-02-17,97.26,103.9,97.19,103.9,0
2025-02-24,107.89,111.84,107.19,107.19,0
2025-03-03,109.58,120.83,109.58,120.58,0
2025-03-10,120.98,124.76,119.73,124.76,0
2025-03-17,122.89,123.6,122.14,122.26,0
2025-03-24,122.74,125.54,121.87,121.87,0
2025-03-31,119.5,120.35,119.4,120.35,0
2025-04-07,119.4,119.4,114.57,114.57,0
2025-04-14,117.09,126.51,117.09,126.51,0
2025-04-21,122.45,122.67,120.65,120.65,0
2025-04-28,118.65,121.86,118.12,120.65,0
2025-05-05,122.65,122.65,110.75,110.75,0
2025-05-12,106.21,106.21,98.88,98.88,0
2025-05-19,100.29,100.63,99.95,100.18,0
2025-05-26,101.7,106.31,101.7,104.03,0
2025-06-02,104.71,105.03,103.8,104.4,0
2025-06-09,108.47,112.92,108.47,112.92,0
2025-06-16,108.73,110.52,107.81,110.52,0
2025-06-23,113.24,113.98,110.92,111.34,0
2025-06-30,111.06,111.06,107.92,110.94,0
2025-07-07,110.38,111.84,110.38,110.56,0
2025-07-14,110.14,110.14,107.98,108.62,0
2025-07-21,108.44,108.44,105.76,106.83,0
2025-07-28,103.6,104.65,103.6,104.65,0
2025-08-04,104.3,107.45,103.84,107.37,0
2025-08-11,107.64,109.47,107.0,107.0,0
2025-08-18,108.76,110.89,108.76,110.89,0
2025-08-25,110.44,111.26,108.29,108.29,0
2025-09-01,110.47,110.87,108.92,108.92,0
2025-09-08,108.65,108.65,106.89,108.11,0
2025-09-15,107.83,107.83,106.36,106.42,0
2025-09-22,105.08,107.48,105.08,107.48,0
2025-09-29,108.15,108.15,107.25,107.63,0
2025-10-06,107.29,110.39,107.29,110.39,0
2025-10-13,110.17,112.39,110.17,112.39,0
2025-10-20,108.71,112.44,107.08,107.08,0
2025-10-27,108.82,109.01,107.83,107.92,0
2025-11-03,107.3,108.19,105.97,105.97,0
2025-11-10,105.84,107.66,104.38,107.66,0
2025-11-17,107.64,109.52,107.08,109.52,0
2025-11-24,108.37,114.13,108.37,114.13,0
2025-12-01,112.52,114.29,111.8,114.29,0
2025-12-08,113.67,114.81,113.12,114.81,0
2025-12-15,114.92,114.92,114.39,114.87,0
2025-12-22,112.7,113.0,111.97,113.0,0
