Date,Open,High,Low,Close,Volume
2025-01-31,99.57,99.57,96.06,98.59,0
2025-02-28,98.25,105.58,98.25,105.58,0
2025-03-31,106.13,113.68,106.1,112.88,0
2025-04-30,111.56,113.64,111.36,111.36,0
2025-05-31,111.88,118.17,110.72,116.32,0
2025-06-30,115.55,122.41,114.28,121.27,0
2025-07-31,120.91,121.35,118.24,119.44,0
2025-08-31,119.83,123.1,118.52,123.1,0
2025-09-30,123.32,133.58,123.32,133.58,0
2025-10-31,133.58,141.83,132.82,141.12,0
2025-11-30,139.26,143.41,139.02,142.73,0
2025-12-31,145.69,147.55,142.51,145.86,0
2026-01-31,145.91,146.61,144.7,145.82,0
