Date,Open,High,Low,Close,Volume
2025-01-06,99.57,99.57,98.98,98.98,0
2025-01-13,97.23,97.81,96.07,96.78,0
2025-01-20,96.46,96.71,96.06,96.66,0
2025-01-27,96.13,97.23,96.13,97.23,0
2025-02-03,97.42,98.59,97.37,98.25,0
2025-02-10,99.59,100.89,99.51,100.65,0
2025-02-17,100.06,102.57,99.55,102.57,0
2025-02-24,103.05,105.51,103.05,105.51,0
2025-03-03,105.12,106.13,105.12,106.13,0
2025-03-10,106.1,109.02,106.1,109.02,0
2025-03-17,109.08,109.88,109.08,109.77,0
2025-03-24,110.74,113.39,110.74,113.39,0
2025-03-31,113.68,113.68,112.88,112.88,0
2025-04-07,111.56,112.13,111.48,111.96,0
2025-04-14,112.27,113.2,111.94,113.2,0
2025-04-21,113.28,113.28,112.61,112.61,0
2025-04-28,113.42,113.64,112.62,112.62,0
2025-05-05,112.19,112.19,110.72,110.72,0
2025-05-12,111.51,112.75,111.51,112.36,0
2025-05-19,112.35,115.77,112.35,115.58,0
2025-05-26,116.96,118.17,115.85,118.17,0
2025-06-02,118.04,118.04,115.55,115.55,0
2025-06-09,114.28,115.54,114.28,115.54,0
2025-06-16,116.91,118.49,116.91,118.49,0
2025-06-23,118.38,122.41,118.38,122.41,0
2025-06-30,121.2,121.62,121.06,121.27,0
2025-07-07,120.91,120.91,119.56,120.1,0
2025-07-14,118.24,120.67,118.24,120.42,0
2025-07-21,119.92,120.83,119.3,120.29,0
2025-07-28,120.55,121.35,120.55,120.7,0
2025-08-04,120.41,120.78,118.52,118.52,0
2025-08-11,119.14,119.38,118.56,119.21,0
2025-08-18,119.65,121.16,119.65,121.16,0
2025-08-25,121.59,122.68,121.59,121.82,0
2025-09-01,122.77,123.32,122.22,123.32,0
2025-09-08,123.8,126.45,123.8,126.45,0
2025-09-15,127.23,130.05,127.23,130.05,0
2025-09-22,129.9,132.29,129.9,131.66,0
2025-09-29,131.68,133.32,131.68,132.92,0
2025-10-06,133.58,133.58,132.82,132.82,0
2025-10-13,133.28,137.36,133.28,137.36,0
2025-10-20,136.94,139.05,136.94,138.42,0
2025-10-27,137.78,141.26,137.78,141.26,0
2025-11-03,140.7,141.83,139.26,139.26,0
2025-11-10,139.45,142.19,139.02,141.13,0
2025-11-17,141.1,141.1,140.45,140.45,0
