Date,Open,High,Low,Close,Volume
2020-10-28,1100,1135,1100,1135,487
2020-10-30,1110,1200,1110,1200,1181
2020-11-02,1200,1200,1200,1200,290
2020-11-03,1180,1180,1140,1140,166
2020-11-04,1180,1180,1110,1110,80
2020-11-05,1110,1110,1110,1110,241
2020-11-09,1110,1110,1110,1110,40
2020-11-10,1090,1110,1090,1110,32092
2020-11-11,1110,1110,1030,1030,4347
2020-11-12,1070,1070,1050,1070,10670
2020-11-13,1070,1070,1020,1050,5867
2020-11-16,1070,1070,1020,1050,125123
2020-11-17,1040,1040,1040,1040,174
2020-11-18,1040,1040,1040,1040,425
2020-11-19,1040,1040,1040,1040,432
2020-11-23,1050,1050,1050,1050,50
2020-11-24,1050,1050,1050,1050,237
2020-11-26,1050,1050,1050,1050,1237
2020-11-30,1050,1050,1025,1025,46
2020-12-01,1025,1025,995,1025,13511
2020-12-02,1040,1040,1025,1025,30
2020-12-03,1025,1040,1025,1025,304
2020-12-04,1005,1005,995,1000,426
2020-12-07,1000,1000,1000,1000,5
2020-12-08,995,995,995,995,106
2020-12-09,995,995,995,995,13
2020-12-10,995,995,995,995,447
2020-12-11,1025,1025,1000,1025,62004
2020-12-14,1000,1000,1000,1000,243
2020-12-15,1000,1000,1000,1000,190
2020-12-16,1000,1000,1000,1000,214
2020-12-17,1000,1000,1000,1000,10
2020-12-18,1025,1025,1025,1025,200
2020-12-21,1005,1005,1005,1005,21
2020-12-22,1020,1025,1005,1025,2000
2020-12-23,1020,1025,1020,1025,1066
2020-12-24,1010,1010,1010,1010,65
2020-12-28,1010,1010,1005,1005,314
2020-12-29,1005,1010,1000,1000,1513
2020-12-30,1010,1010,1000,1000,302
2020-12-31,1000,1010,1000,1010,600
2021-01-04,1010,1010,1010,1010,24
2021-01-05,1000,1060,1000,1010,4981
2021-01-06,1010,1010,1000,1000,421
2021-01-07,1000,1000,995,1000,733
2021-01-08,1000,1000,1000,1000,1234
2021-01-11,1010,1010,1000,1000,4247
2021-01-12,1010,1010,990,1000,16119
2021-01-13,1000,1065,995,1060,898
2021-01-15,1060,1060,1060,1060,232
2021-01-18,1085,1085,1080,1080,189
2021-01-19,1080,1150,1060,1150,457
2021-01-20,1145,1200,1145,1200,2322
2021-01-21,1190,1200,1190,1200,748
2021-01-22,1150,1200,1150,1200,2025
2021-01-25,1160,1195,1150,1195,5819
2021-01-26,1190,1190,1120,1120,597
2021-01-27,1120,1150,1120,1150,204
2021-01-28,1150,1150,1145,1145,1229
2021-01-29,1145,1145,1145,1145,30
2021-02-02,1145,1145,1125,1125,2252
2021-02-03,1125,1145,1125,1145,155
