Date,Open,High,Low,Close,Volume
2020-12-31,1100,1200,995,1010,266769
2021-03-31,1010,1500,990,1300,137537
2021-06-30,1260,1315,1180,1255,44454
2021-09-30,1255,1445,980,980,155142
2021-12-31,970,1230,970,1015,165103
2022-03-31,1090,1315,1020,1105,100846
2022-06-30,1130,1180,955,1120,46005
2022-09-30,1120,1290,1015,1085,79169
2022-12-31,1085,1245,1000,1170,129563
2023-03-31,1170,1195,930,995,52000
2023-06-30,1000,1100,935,1020,35147
2023-09-30,1010,1320,1010,1165,21091
2023-12-31,1165,1240,990,1110,66496
2024-03-31,1115,1160,960,1140,15861
2024-06-30,1140,1200,925,1060,41860
2024-09-30,1060,1075,925,1020,114548
2024-12-31,955,1170,955,1040,87873
2025-03-31,1040,1420,1000,1340,103606
2025-06-30,1340,1400,1110,1185,229986
2025-09-30,1185,1495,1120,1415,58980
2025-12-31,1495,2260,1415,1700,22814
