Date,Open,High,Low,Close,Volume
2020-11-09,1110,1110,1110,1110,40
2020-11-16,1090,1110,1020,1050,178099
2020-11-23,1040,1050,1040,1050,1081
2020-11-30,1050,1050,1025,1025,1520
2020-12-07,1025,1040,995,1000,14276
2020-12-14,995,1025,995,1000,62813
2020-12-21,1000,1025,1000,1005,635
2020-12-28,1020,1025,1005,1005,3445
2021-01-04,1005,1010,1000,1010,2439
2021-01-11,1000,1060,995,1000,11616
2021-01-18,1010,1085,990,1080,17438
2021-01-25,1080,1200,1060,1195,11371
2021-02-01,1190,1190,1120,1145,2060
2021-02-08,1145,1145,1090,1100,7473
2021-02-15,1100,1150,1100,1150,12722
2021-02-22,1155,1155,1130,1150,3433
2021-03-01,1155,1300,1150,1300,6966
2021-03-08,1300,1450,1300,1450,6200
2021-03-15,1495,1500,1350,1350,39201
2021-03-22,1395,1395,1250,1300,16490
2021-03-29,1250,1300,1250,1275,1899
2021-04-05,1275,1300,1260,1275,1129
2021-04-12,1300,1300,1180,1265,2571
2021-04-19,1250,1265,1250,1250,1084
2021-04-26,1250,1270,1200,1235,2735
2021-05-03,1235,1300,1180,1260,3200
2021-05-10,1200,1300,1190,1250,11650
2021-05-17,1290,1290,1250,1250,356
2021-05-24,1250,1285,1245,1285,3976
2021-05-31,1285,1285,1250,1270,1449
2021-06-07,1265,1270,1240,1250,5525
2021-06-14,1250,1275,1220,1250,5930
2021-06-21,1275,1275,1245,1275,4313
2021-06-28,1300,1315,1280,1280,380
2021-07-05,1245,1280,1245,1255,3330
2021-07-12,1260,1260,1200,1200,79359
2021-07-19,1255,1345,1225,1345,6006
2021-07-26,1345,1400,1320,1375,1558
2021-08-02,1375,1445,1300,1380,9572
2021-08-09,1380,1380,1270,1275,2198
2021-08-16,1280,1380,1280,1380,2072
2021-08-23,1380,1380,1320,1355,2946
2021-08-30,1365,1370,1320,1355,5563
2021-09-06,1350,1400,1325,1400,1895
2021-09-13,1380,1380,1350,1350,737
2021-09-20,1345,1350,1305,1325,10226
2021-09-27,1300,1360,1230,1230,18986
2021-10-04,1190,1230,970,1125,15392
2021-10-11,1125,1200,1100,1195,42935
2021-10-18,1185,1230,1110,1200,22477
2021-10-25,1150,1200,1065,1180,28982
2021-11-01,1185,1200,1150,1200,20400
