Date,Open,High,Low,Close,Volume
2020-11-05,7200,7375,7195,7375,120
2020-11-09,7500,7500,7300,7390,77
2020-11-10,7300,7395,7300,7395,96
2020-11-11,7300,7400,7250,7400,2021
2020-11-13,7250,7350,7250,7350,25146
2020-11-16,7400,7400,7400,7400,15
2020-11-17,7305,7400,7305,7400,683
2020-11-18,7400,7400,7400,7400,2
2020-11-19,7400,7400,7400,7400,193
2020-11-20,7600,7600,7600,7600,1
2020-11-23,7350,7400,7350,7400,39
2020-11-24,7400,7400,7300,7400,1635
2020-11-25,7300,7395,7300,7395,2624
2020-11-26,7300,7395,7300,7395,2718
2020-11-27,7350,7400,7350,7400,700
2020-11-30,7500,7500,7500,7500,3
2020-12-01,7495,7550,7400,7550,238
2020-12-02,7500,7600,7500,7600,10011
2020-12-03,7600,7600,7600,7600,2
2020-12-04,7500,7600,7500,7600,10001
2020-12-09,7450,7600,7450,7600,949
2020-12-11,7445,7700,7445,7700,940
2020-12-15,7445,7690,7445,7690,528
2020-12-16,7450,7700,7450,7700,110
2020-12-18,7700,7800,7700,7800,120
2020-12-21,7700,7795,7700,7795,19
2020-12-22,7445,7795,7445,7795,100
2020-12-23,7700,7700,7700,7700,8
2020-12-24,7790,7790,7790,7790,25
2020-12-28,7795,7795,7700,7785,205
2020-12-29,7790,7790,7500,7790,240
2020-12-30,7785,8000,7700,8000,10933
2020-12-31,7700,8100,7700,8100,2495
2021-01-04,7500,8200,7495,8200,260
2021-01-05,8050,8195,8050,8185,180
2021-01-06,8175,8175,8175,8175,30
2021-01-07,8180,8180,8180,8180,20
2021-01-12,7990,7990,7585,7985,274
2021-01-13,7900,7900,7445,7800,617
2021-01-14,7445,7795,7445,7790,1699
2021-01-15,7690,7700,7690,7690,65
2021-01-18,7445,7600,7445,7600,66
2021-01-19,7685,7700,7685,7700,85
2021-01-20,7900,7900,7900,7900,40
2021-01-22,7745,7745,7745,7745,25
2021-01-25,7450,7745,7450,7745,95
2021-01-27,7745,7745,7745,7745,335
2021-01-28,7710,7720,7700,7700,50
2021-02-01,7700,7700,7300,7650,45
2021-02-02,7800,7800,7800,7800,10
2021-02-03,7700,7800,7700,7750,792
2021-02-04,7595,7800,7500,7800,32
2021-02-05,7700,7700,7700,7700,2
2021-02-08,7500,7700,7495,7700,36
2021-02-09,7650,7650,7650,7650,39
2021-02-11,7650,7650,7650,7650,195
2021-02-12,7650,7650,7650,7650,2
2021-02-15,7640,7640,7375,7600,915
2021-02-17,7400,7600,7300,7595,291
2021-02-19,7595,7595,7595,7595,10
2021-02-22,7500,7590,7400,7590,7135
2021-02-23,7500,7690,7450,7690,346
2021-02-24,7690,7690,7690,7690,5
2021-02-25,7500,7600,7400,7600,3455
2021-02-26,7600,7600,7600,7600,35
2021-03-01,7500,7600,7500,7600,333
2021-03-02,7500,7600,7500,7600,133
2021-03-03,7500,7600,7500,7600,82
2021-03-04,7600,7600,7500,7600,4
2021-03-05,7600,7600,7600,7600,63
2021-03-09,7500,7600,7500,7600,37
2021-03-10,7595,7595,7595,7595,5
2021-03-11,7500,7595,7380,7595,376
2021-03-12,7595,7595,7505,7595,45
2021-03-15,7600,7600,7500,7585,80
2021-03-16,7595,7595,7595,7595,10
2021-03-17,7500,7590,7500,7590,9
2021-03-18,7600,7600,7405,7595,295
2021-03-19,7585,7585,7500,7580,106
2021-03-22,7585,7585,7500,7580,14
2021-03-24,7445,7585,7445,7585,117
2021-03-25,7415,7585,7415,7580,269
2021-03-26,7500,7580,7410,7580,493
2021-03-29,7580,7585,7580,7585,14
2021-03-30,7585,7600,7410,7580,364
2021-03-31,7550,7600,7450,7600,165
2021-04-01,7600,7600,7600,7600,30
2021-04-02,7600,7600,7500,7600,166
2021-04-07,7525,7600,7500,7600,682
2021-04-08,7600,7600,7500,7600,60
2021-04-09,7500,7600,7500,7600,3358
2021-04-12,7600,7600,7500,7600,47
2021-04-13,7500,7800,7405,7700,1855
2021-04-14,7500,7600,7500,7600,3313
2021-04-16,7500,7550,7405,7550,2149
2021-04-19,7550,7550,7550,7550,25
2021-04-20,7495,7500,7450,7500,112
2021-04-21,7500,7500,7500,7500,314
2021-04-22,7500,7500,7360,7500,201
2021-04-23,7495,7495,7355,7490,1933
2021-04-26,7490,7500,7490,7500,382
2021-04-27,7800,7800,7800,7800,15
2021-04-29,7795,7795,7400,7695,1890
2021-04-30,7500,7795,7500,7795,367
2021-05-03,7795,8200,7700,8200,1274
2021-05-04,8195,8400,8195,8400,168
2021-05-05,8300,8400,8300,8400,266
2021-05-07,8400,8400,8400,8400,100
2021-05-10,8290,8290,8290,8290,80
2021-05-11,8290,8290,8000,8290,37
2021-05-14,7795,8000,7700,8000,801
2021-05-17,7700,8200,7700,8200,150
2021-05-18,8200,8200,8200,8200,10
2021-05-20,8000,8000,8000,8000,50
2021-05-21,8000,8000,7800,7800,2150
2021-05-25,7800,7800,7790,7790,134
2021-05-26,7790,7790,7790,7790,61
