Date,Open,High,Low,Close,Volume
2020-12-31,7200,8100,7185,8100,73931
2021-03-31,7500,8200,7300,7600,20200
2021-06-30,7600,8400,7355,8300,29509
2021-09-30,7955,9500,7405,9500,40228
2021-12-31,9300,10500,8650,10500,49175
2022-03-31,10710,11000,9180,10000,38852
2022-06-30,9995,9995,8850,8850,31050
2022-09-30,8905,9120,8305,8960,47992
2022-12-31,8320,8900,8045,8390,35464
2023-03-31,8385,8950,8090,8845,874232
2023-06-30,8845,8845,7585,8300,33316
2023-09-30,8300,9105,7800,8000,78642
2023-12-31,8200,9300,8000,9300,286704
2024-03-31,9300,9800,8400,9345,43161
2024-06-30,9345,10650,8915,10500,58342
2024-09-30,10650,10650,9550,9980,68565
2024-12-31,9980,10000,9250,9885,257667
2025-03-31,9885,11500,9500,10750,84691
2025-06-30,10750,11245,9120,10300,87339
2025-09-30,10310,10480,9185,9890,72228
2025-12-31,9890,10000,9800,10000,22294
