Date,Open,High,Low,Close,Volume
2020-11-16,7250,7400,7250,7400,25161
2020-11-23,7305,7600,7305,7400,918
2020-11-30,7400,7500,7300,7500,7680
2020-12-07,7495,7600,7400,7600,20252
2020-12-14,7450,7700,7445,7700,1889
2020-12-21,7445,7800,7445,7795,777
2020-12-28,7445,7795,7445,7785,338
2021-01-04,7790,8200,7495,8200,13928
2021-01-11,8050,8195,8050,8180,230
2021-01-18,7990,7990,7445,7600,2721
2021-01-25,7685,7900,7450,7745,245
2021-02-01,7745,7745,7300,7650,430
2021-02-08,7800,7800,7495,7700,872
2021-02-15,7650,7650,7375,7600,1151
2021-02-22,7400,7600,7300,7590,7436
2021-03-01,7500,7690,7400,7600,4174
2021-03-08,7500,7600,7500,7600,282
2021-03-15,7500,7600,7380,7585,543
2021-03-22,7595,7600,7405,7580,434
2021-03-29,7445,7585,7410,7585,893
2021-04-05,7585,7600,7410,7600,725
2021-04-12,7525,7600,7500,7600,4147
2021-04-19,7500,7800,7405,7550,7342
2021-04-26,7495,7500,7355,7500,2942
2021-05-03,7800,8200,7400,8200,3546
2021-05-10,8195,8400,8195,8290,614
2021-05-17,8290,8290,7700,8200,988
2021-05-24,8200,8200,7800,7800,2210
2021-05-31,7800,7800,7695,7695,376
2021-06-07,7650,7800,7495,7800,2944
2021-06-14,7800,8000,7575,8000,857
2021-06-21,8000,8000,7840,8000,427
2021-06-28,8000,8290,7400,8000,1264
2021-07-05,8000,8300,7800,8050,3568
2021-07-12,8050,8100,7410,7850,1673
2021-07-19,7790,7990,7405,7900,1619
2021-07-26,7900,8300,7900,8295,4565
2021-08-02,8295,8300,7905,8200,3193
2021-08-09,8200,8200,8000,8195,2353
2021-08-16,8000,8200,7905,8200,6492
2021-08-23,8100,8200,8005,8200,963
2021-08-30,8200,8615,8015,8600,2757
2021-09-06,8770,9200,8500,8900,4507
2021-09-13,8890,8890,8700,8745,1964
2021-09-20,8700,8745,8500,8700,1123
2021-09-27,8695,9200,8500,9200,5188
2021-10-04,9195,9500,9195,9300,2232
2021-10-11,9300,9500,8750,9300,2590
2021-10-18,9200,9300,9100,9300,1107
2021-10-25,9300,9300,9100,9295,4216
