Date,Open,High,Low,Close,Volume
2020-10-30,350,350,350,350,12
2020-11-02,345,350,345,350,293
2020-11-03,350,350,350,350,69
2020-11-04,350,350,350,350,120
2020-11-09,340,340,330,335,1770
2020-11-10,335,335,335,335,55
2020-11-11,335,350,335,350,470
2020-11-12,350,350,350,350,23216
2020-11-16,350,370,350,370,71
2020-11-17,370,375,370,375,538
2020-11-18,375,380,375,380,200
2020-11-19,380,380,380,380,20
2020-11-20,380,380,380,380,5
2020-11-23,375,400,375,400,152232
2020-11-24,370,370,370,370,10
2020-11-25,370,370,370,370,400
2020-11-26,390,390,390,390,40
2020-11-27,370,370,370,370,20
2020-12-02,370,370,350,350,1652
2020-12-03,370,370,370,370,190
2020-12-04,375,375,350,350,47
2020-12-07,360,360,360,360,50
2020-12-08,360,385,360,385,173
2020-12-09,385,385,385,385,130
2020-12-14,360,385,360,385,9
2020-12-15,360,380,360,380,381
2020-12-16,360,360,360,360,450
2020-12-17,350,385,350,385,1891
2020-12-18,385,385,385,385,17
2020-12-21,385,385,385,385,100
2020-12-22,380,380,380,380,285
2020-12-23,360,380,360,380,20642
2020-12-24,380,380,380,380,14
2020-12-28,380,380,375,375,220
2020-12-29,360,375,360,360,510
2020-12-31,360,360,360,360,799
2021-01-04,360,375,360,375,416
2021-01-05,375,375,360,360,485
2021-01-06,360,360,360,360,150
2021-01-07,365,365,360,360,2354
2021-01-08,360,365,350,360,4928
2021-01-11,360,360,350,350,1283
2021-01-12,360,365,360,365,7570
2021-01-13,375,375,375,375,3061
2021-01-14,390,390,380,390,30960
2021-01-15,390,390,375,375,157
2021-01-18,375,375,375,375,15
2021-01-19,395,395,395,395,360
2021-01-20,400,400,375,375,1145
2021-01-21,395,395,395,395,200
2021-01-22,375,395,370,395,23
2021-01-25,395,400,395,400,2704
2021-01-26,400,400,400,400,150
2021-01-27,370,400,370,400,35137
2021-01-28,400,415,400,415,5663
2021-01-29,400,435,400,435,455
2021-02-01,415,465,415,465,2108
2021-02-02,450,450,445,445,462
2021-02-03,445,475,435,475,3333
2021-02-04,470,475,470,475,5850
2021-02-05,475,475,475,475,1056
2021-02-08,440,500,440,500,73825
2021-02-09,475,475,465,470,778
2021-02-10,470,470,435,435,60
2021-02-11,440,440,435,435,195
2021-02-15,405,405,405,405,181
2021-02-16,400,400,395,395,193
2021-02-17,395,395,395,395,65
2021-02-18,380,380,375,380,5630
2021-02-19,365,375,365,375,170
2021-02-22,370,370,370,370,658
2021-02-23,365,370,360,365,4595
2021-02-24,365,370,365,370,561
2021-02-25,370,370,365,370,943
2021-02-26,370,395,370,395,110
2021-03-02,390,390,390,390,500
2021-03-03,400,405,400,405,324
2021-03-04,405,405,400,400,576
2021-03-08,395,395,395,395,115
2021-03-09,395,395,395,395,20
2021-03-10,400,400,400,400,50
2021-03-11,400,400,400,400,122
2021-03-12,400,400,385,400,2524
2021-03-15,390,390,390,390,4
2021-03-16,405,405,400,400,265
2021-03-17,400,400,390,390,131
2021-03-18,390,390,385,390,692
2021-03-23,390,390,390,390,376
2021-03-24,400,400,385,400,3489
2021-03-25,400,400,400,400,52
2021-03-26,400,430,400,430,273
2021-03-29,420,420,420,420,5
2021-03-30,420,420,420,420,5
2021-03-31,420,420,420,420,50
2021-04-01,410,415,410,415,545
2021-04-02,415,415,415,415,155
2021-04-06,415,415,415,415,305
2021-04-07,410,410,410,410,205
2021-04-08,390,410,390,410,160
2021-04-09,390,410,390,410,87
2021-04-12,415,415,415,415,500
2021-04-13,410,430,410,430,1030
2021-04-14,430,430,430,430,3
2021-04-15,430,430,405,410,1088
2021-04-20,425,430,425,430,1840
2021-04-21,415,415,415,415,100
2021-04-22,430,435,430,435,2265
2021-04-23,435,435,435,435,150
2021-04-26,435,435,435,435,473
2021-04-27,430,435,430,430,497
2021-04-28,435,435,430,430,359
2021-04-29,435,435,435,435,250
2021-05-03,410,435,410,435,91
2021-05-04,415,415,415,415,20
2021-05-06,430,430,430,430,50
2021-05-07,435,440,435,440,2119
2021-05-10,435,440,435,440,291
2021-05-14,440,440,440,440,2
2021-05-17,435,435,435,435,1959
2021-05-18,430,435,430,430,144
2021-05-19,430,430,420,425,118
2021-05-20,435,435,435,435,7
2021-05-21,435,435,425,430,194
2021-05-25,440,440,400,400,2965
2021-05-26,400,430,400,430,2710
2021-05-27,430,430,430,430,20
2021-05-28,430,460,430,460,920
2021-05-31,490,490,460,490,2424
2021-06-01,490,490,485,485,1826
2021-06-02,490,500,490,500,2564
2021-06-03,500,535,465,535,4321
2021-06-04,575,575,575,575,1548
2021-06-07,600,615,600,615,1625
2021-06-08,660,660,660,660,2981
2021-06-09,705,705,705,705,4011
2021-06-10,755,755,755,755,3173
2021-06-11,810,810,810,810,4731
2021-06-14,820,850,750,750,5674
2021-06-15,725,805,705,720,10824
2021-06-16,715,725,700,720,34461
2021-06-17,700,700,680,700,10543
2021-06-18,700,700,660,660,11146
2021-06-21,670,670,650,650,762
2021-06-22,650,650,605,605,6458
2021-06-23,605,605,600,605,4626
2021-06-24,575,650,560,650,2454
2021-06-25,645,645,640,645,221
2021-06-28,640,645,640,640,660
2021-06-29,610,645,610,610,7154
2021-06-30,610,630,605,610,6242
2021-07-01,625,625,610,620,2945
2021-07-02,630,640,625,640,321
2021-07-05,685,685,685,685,48
2021-07-06,650,650,645,645,1832
2021-07-07,650,650,640,650,1518
2021-07-08,650,650,640,645,105
2021-07-09,640,645,640,640,770
2021-07-12,645,650,645,645,1605
2021-07-13,650,650,645,650,2251
2021-07-14,655,680,655,680,7285
2021-07-15,660,670,655,670,726
2021-07-16,670,675,655,675,128
2021-07-19,675,675,655,655,119
2021-07-21,660,665,655,665,238
2021-07-22,655,675,655,660,1118
2021-07-23,660,675,660,675,1029
2021-07-26,660,725,660,725,4442
2021-07-27,725,725,725,725,646
2021-07-28,675,725,675,725,1954
2021-07-29,720,725,720,725,200
2021-07-30,680,720,680,720,1316
2021-08-02,720,725,720,720,326
2021-08-03,700,720,700,720,202
2021-08-04,715,720,700,715,1430
2021-08-05,715,720,705,720,791
2021-08-06,750,770,720,760,2000
2021-08-09,760,760,720,760,971
2021-08-10,755,760,725,760,460
2021-08-11,760,775,760,775,1132
2021-08-12,770,800,720,800,12879
2021-08-13,800,850,800,835,3302
2021-08-16,800,800,775,795,2220
2021-08-17,795,795,795,795,140
2021-08-18,775,825,775,825,1348
2021-08-19,820,820,800,805,382
2021-08-20,800,825,775,800,1656
2021-08-23,825,835,825,825,1832
2021-08-24,810,825,810,820,952
2021-08-25,820,820,800,800,13670
2021-08-26,800,800,780,800,379
2021-08-27,800,800,800,800,285
2021-08-30,800,825,800,825,700
2021-08-31,815,815,805,815,221
2021-09-01,820,820,815,820,1620
2021-09-02,815,835,805,835,3880
2021-09-03,825,825,805,805,600
2021-09-06,810,820,800,800,1520
2021-09-07,805,830,800,830,7181
2021-09-08,800,830,800,830,10302
2021-09-09,830,850,830,830,699
2021-09-10,830,830,810,830,2153
2021-09-13,850,850,835,850,470
2021-09-14,850,850,840,850,375
2021-09-15,820,835,820,820,4556
2021-09-16,850,850,850,850,280
2021-09-17,835,860,835,850,2530
2021-09-20,850,850,820,850,37755
2021-09-21,820,910,820,850,8646
2021-09-22,830,850,830,835,5372
2021-09-23,850,850,835,840,2951
2021-09-24,840,845,835,840,1660
2021-09-27,840,850,840,850,5255
2021-09-28,840,850,840,850,3476
2021-09-29,850,850,840,840,1346
2021-09-30,850,850,840,840,800
2021-10-01,845,850,845,850,186
2021-10-04,850,850,850,850,1521
2021-10-05,850,850,850,850,120
2021-10-06,850,850,850,850,253
2021-10-07,850,850,840,840,1842
2021-10-08,840,850,840,850,385
2021-10-11,850,910,840,910,5312
2021-10-12,910,975,910,970,1413
2021-10-13,950,1040,950,1040,2064
2021-10-14,1005,1030,1005,1030,1225
2021-10-15,1030,1105,1000,1105,3640
2021-10-19,1105,1105,1025,1025,516
2021-10-20,1025,1100,1000,1100,1078
2021-10-21,1100,1100,1090,1090,331
2021-10-22,1090,1090,1050,1050,970
2021-10-25,1050,1050,1000,1045,142
2021-10-26,1045,1050,990,1040,15065
2021-10-27,1030,1030,1025,1025,580
2021-10-28,1025,1040,1015,1040,2121
2021-10-29,1045,1115,1040,1115,4835
2021-11-03,1215,1215,1140,1200,1525
2021-11-04,1250,1290,1120,1200,2842
2021-11-05,1150,1190,1110,1150,15946
2021-11-08,1150,1150,1100,1100,2485
2021-11-09,1115,1115,1020,1020,842
2021-11-10,1000,1095,1000,1095,2883
2021-11-11,1100,1150,1095,1150,4325
2021-11-12,1105,1235,1105,1235,17954
2021-11-16,1240,1320,1240,1305,1520
2021-11-17,1315,1400,1300,1400,3256
2021-11-18,1450,1450,1295,1295,6110
2021-11-19,1295,1350,1205,1300,8853
2021-11-22,1300,1300,1210,1215,503
2021-11-23,1290,1295,1210,1290,491
2021-11-24,1290,1290,1220,1290,1523
2021-11-25,1285,1350,1280,1350,3070
2021-11-26,1340,1340,1300,1300,1017
2021-11-29,1305,1350,1300,1300,1351
2021-11-30,1345,1395,1315,1395,1376
2021-12-01,1310,1390,1300,1300,1524
2021-12-02,1390,1390,1315,1375,24
2021-12-03,1390,1395,1350,1375,33
2021-12-06,1350,1375,1310,1350,639
2021-12-07,1350,1350,1300,1345,30351
2021-12-08,1260,1345,1260,1325,1895
2021-12-09,1325,1325,1325,1325,51
2021-12-10,1325,1325,1250,1325,4415
2021-12-13,1325,1330,1295,1295,625
2021-12-14,1295,1295,1250,1295,120
2021-12-15,1290,1295,1290,1295,892
2021-12-16,1290,1290,1250,1285,3331
2021-12-17,1250,1285,1200,1285,13021
2021-12-20,1250,1255,1205,1255,1465
2021-12-21,1245,1285,1200,1215,711
2021-12-22,1215,1245,1215,1245,370
2021-12-23,1245,1260,1245,1260,2839
2021-12-24,1260,1260,1215,1215,325
2021-12-27,1260,1270,1205,1270,284
2021-12-28,1250,1250,1205,1250,444
2021-12-29,1200,1250,1200,1250,82
2021-12-30,1250,1250,1190,1245,409
2021-12-31,1245,1250,1190,1190,71
2022-01-03,1190,1190,1105,1105,3140
2022-01-04,1115,1185,1115,1185,274
2022-01-05,1190,1190,1130,1190,540
2022-01-06,1190,1250,1190,1250,1160
2022-01-07,1250,1250,1240,1240,709
2022-01-10,1150,1200,1150,1200,369
2022-01-11,1130,1200,1130,1200,31
2022-01-12,1200,1200,1200,1200,15
2022-01-13,1200,1200,1135,1200,261
2022-01-14,1200,1230,1200,1230,1187
2022-01-17,1205,1230,1205,1230,145
2022-01-18,1235,1235,1200,1235,2453
2022-01-19,1235,1235,1235,1235,4
2022-01-20,1235,1235,1235,1235,150
2022-01-21,1200,1230,1200,1230,110
2022-01-24,1200,1205,1140,1140,5181
2022-01-25,1120,1200,1120,1120,2387
2022-01-26,1125,1125,1125,1125,78
2022-01-27,1120,1200,1120,1200,1200
2022-01-28,1130,1250,1130,1250,757
2022-01-31,1245,1250,1245,1250,282
2022-02-01,1220,1220,1200,1200,564
2022-02-02,1200,1220,1200,1205,125
2022-02-03,1200,1200,1165,1165,831
2022-02-04,1150,1165,1150,1150,432
2022-02-07,1155,1165,1155,1165,51
2022-02-08,1155,1200,1155,1200,312
2022-02-09,1160,1195,1145,1155,810
2022-02-10,1160,1160,1120,1155,2072
2022-02-11,1125,1160,1120,1155,1572
2022-02-14,1155,1195,1155,1195,1831
2022-02-15,1195,1195,1160,1195,1118
2022-02-16,1160,1190,1150,1190,852
2022-02-17,1185,1185,1130,1160,2847
2022-02-18,1160,1160,1125,1155,1079
2022-02-21,1150,1160,1135,1160,2336
2022-02-22,1150,1185,1150,1160,3686
2022-02-23,1160,1200,1160,1200,198
2022-02-24,1170,1200,1160,1200,1700
