Date,Open,High,Low,Close,Volume
2020-11-30,350,400,330,370,179167
2020-12-31,370,385,350,360,27560
2021-01-31,360,435,350,435,97216
2021-02-28,415,500,360,395,100773
2021-03-31,390,430,385,420,9573
2021-04-30,410,435,390,435,10012
2021-05-31,410,490,400,490,14034
2021-06-30,490,850,465,610,128005
2021-07-31,625,725,610,720,30596
2021-08-31,720,850,700,815,47278
2021-09-30,820,910,800,840,103427
2021-10-31,845,1115,840,1115,43599
2021-11-30,1215,1450,1000,1395,77872
2021-12-31,1310,1395,1190,1190,63921
2022-01-31,1190,1250,1105,1250,20433
2022-02-28,1220,1265,1120,1165,28795
2022-03-31,1200,1215,1150,1150,16019
2022-04-30,1120,1150,1055,1145,34502
2022-05-31,1145,1145,790,850,52705
2022-06-30,850,980,735,880,94029
2022-07-31,870,870,805,850,63915
2022-08-31,850,860,830,850,55946
2022-09-30,845,900,820,850,16296
2022-10-31,850,990,805,925,24241
2022-11-30,925,960,905,915,25625
2022-12-31,945,975,915,930,31586
2023-01-31,925,955,720,770,39389
2023-02-28,770,910,740,845,22871
2023-03-31,845,860,775,805,21127
2023-04-30,780,820,740,785,12767
2023-05-31,730,790,730,770,9469
2023-06-30,785,810,705,810,21893
2023-07-31,810,900,800,900,46892
2023-08-31,900,965,870,920,36317
2023-09-30,950,965,790,845,18143
2023-10-31,845,850,760,790,66449
2023-11-30,790,905,765,895,86696
2023-12-31,895,895,790,840,26040
2024-01-31,840,870,695,770,23059
2024-02-29,795,800,685,790,19958
2024-03-31,750,800,700,795,33982
2024-04-30,795,795,705,755,23288
2024-05-31,750,755,690,700,29731
2024-06-30,700,740,630,700,32234
2024-07-31,700,700,650,680,24069
2024-08-31,675,685,635,685,28753
2024-09-30,685,685,625,670,87059
2024-10-31,665,680,630,650,110587
2024-11-30,650,670,590,635,61197
2024-12-31,665,665,570,600,15619
2025-01-31,600,630,550,570,20265
2025-02-28,560,625,550,625,20210
2025-03-31,620,625,565,615,25716
2025-04-30,615,615,565,600,34103
2025-05-31,600,740,555,660,55862
2025-06-30,625,700,635,680,77986
2025-07-31,680,700,620,660,97140
2025-08-31,655,795,610,795,116848
2025-09-30,850,1190,795,1105,213523
2025-10-31,1100,2500,1100,2310,268758
2025-11-30,2140,2310,2140,2140,1281
