Date,Open,High,Low,Close,Volume
2020-12-31,350,400,330,360,207101
2021-03-31,360,500,350,420,207562
2021-06-30,410,850,390,610,152051
2021-09-30,625,910,610,840,181301
2021-12-31,845,1450,840,1190,185392
2022-03-31,1190,1265,1105,1150,65247
2022-06-30,1120,1150,735,880,181236
2022-09-30,870,900,805,850,136157
2022-12-31,850,990,805,930,81452
2023-03-31,925,955,720,805,83387
2023-06-30,780,820,705,810,44129
2023-09-30,810,965,790,845,101352
2023-12-31,845,905,760,840,179185
2024-03-31,840,870,685,795,76999
2024-06-30,795,795,630,700,85253
2024-09-30,700,700,625,670,139881
2024-12-31,665,680,570,600,187403
2025-03-31,600,630,550,615,66191
2025-06-30,615,740,555,680,167951
2025-09-30,680,1190,610,1105,427511
2025-12-31,1100,2020,1100,2020,230306
