Date,Open,High,Low,Close,Volume
2020-11-02,345,350,345,350,293
2020-11-09,350,350,330,335,1959
2020-11-16,335,370,335,370,23812
2020-11-23,370,400,370,400,152995
2020-11-30,370,390,370,370,470
2020-12-07,370,375,350,360,1939
2020-12-14,360,385,360,385,312
2020-12-21,360,385,350,385,2839
2020-12-28,380,380,360,375,21161
2021-01-04,360,375,360,375,1725
2021-01-11,375,375,350,350,9200
2021-01-18,360,390,360,375,41763
2021-01-25,395,400,370,400,4432
2021-02-01,400,465,370,465,43513
2021-02-08,450,500,435,500,84526
2021-02-15,475,475,405,405,1214
2021-02-22,400,400,365,370,6716
2021-03-01,365,395,360,395,6209
2021-03-08,390,405,390,395,1515
2021-03-15,395,400,385,390,2720
2021-03-22,405,405,385,390,1088
2021-03-29,390,430,385,420,4195
2021-04-05,420,420,410,415,755
2021-04-12,415,415,390,415,1257
2021-04-19,410,430,405,410,2121
2021-04-26,425,435,415,435,4828
2021-05-03,430,435,410,435,1197
2021-05-10,415,440,415,440,2480
2021-05-17,440,440,435,435,1961
2021-05-24,430,435,420,430,463
2021-05-31,440,490,400,490,9039
2021-06-07,490,615,465,615,11884
2021-06-14,660,850,660,750,20570
2021-06-21,725,805,650,650,67736
2021-06-28,650,650,560,640,14419
2021-07-05,610,685,605,685,16710
2021-07-12,650,650,640,645,5830
2021-07-19,650,680,645,655,10509
2021-07-26,660,725,655,725,6827
2021-08-02,725,725,675,720,4442
2021-08-09,700,770,700,760,5394
2021-08-16,755,850,720,795,19993
2021-08-23,795,835,775,825,5358
2021-08-30,810,825,780,825,15986
2021-09-06,815,835,800,800,7841
2021-09-13,805,850,800,850,20805
2021-09-20,850,860,820,850,45496
2021-09-27,820,910,820,850,23884
2021-10-04,840,850,840,850,7329
2021-10-11,850,910,840,910,7912
2021-10-18,910,1105,910,1105,8342
2021-10-25,1105,1105,1000,1045,3037
2021-11-01,1045,1115,990,1115,22601
2021-11-08,1215,1290,1100,1100,22798
2021-11-15,1115,1235,1000,1235,26004
2021-11-22,1240,1450,1205,1215,20242
2021-11-29,1290,1350,1210,1300,7452
2021-12-06,1345,1395,1300,1350,3596
2021-12-13,1350,1350,1250,1295,37337
2021-12-20,1295,1295,1200,1255,18829
2021-12-27,1245,1285,1200,1270,4529
2022-01-03,1250,1250,1105,1105,4146
2022-01-10,1115,1250,1115,1200,3052
2022-01-17,1130,1230,1130,1230,1639
2022-01-24,1235,1235,1140,1140,7898
2022-01-31,1120,1250,1120,1250,4704
2022-02-07,1220,1220,1150,1165,2003
2022-02-14,1155,1200,1120,1195,6597
2022-02-21,1195,1195,1125,1160,8232
2022-02-28,1150,1265,1150,1165,11963
2022-03-07,1200,1215,1165,1200,3808
2022-03-14,1180,1200,1160,1165,4268
2022-03-21,1165,1175,1160,1175,2950
2022-03-28,1175,1200,1175,1195,4380
2022-04-04,1195,1195,1120,1140,3198
2022-04-11,1140,1140,1110,1140,4045
2022-04-18,1060,1150,1055,1080,4387
2022-04-25,1070,1080,1055,1080,18642
2022-05-02,1085,1150,1085,1145,4843
2022-05-09,1145,1145,1055,1055,40063
2022-05-16,1055,1055,1005,1005,2848
2022-05-23,1000,1000,805,865,6781
2022-05-30,860,860,790,850,2712
2022-06-06,850,850,740,800,8637
2022-06-13,790,965,735,965,63980
2022-06-20,980,980,900,900,5905
2022-06-27,910,910,865,890,7666
2022-07-04,895,900,850,850,11333
2022-07-11,810,870,805,850,31995
2022-07-18,865,870,850,870,6814
2022-07-25,865,870,855,870,12053
2022-08-01,870,870,820,850,10714
2022-08-08,850,850,830,830,2872
2022-08-15,835,860,830,850,42364
2022-08-22,840,850,835,850,3751
2022-08-29,845,850,830,840,2841
2022-09-05,840,870,830,870,8721
2022-09-12,855,900,850,895,1445
2022-09-19,885,900,845,880,2852
2022-09-26,880,895,820,845,3996
2022-10-03,845,890,825,830,3675
2022-10-10,830,890,805,805,5867
2022-10-17,815,985,815,925,7572
2022-10-24,925,980,890,890,6742
2022-10-31,890,990,890,925,2933
2022-11-07,925,925,905,905,4180
2022-11-14,905,920,905,920,3392
2022-11-21,920,925,920,925,4394
2022-11-28,925,960,925,925,4784
2022-12-05,925,945,915,930,18419
2022-12-12,925,945,915,930,4229
2022-12-19,925,975,915,915,15369
2022-12-26,950,950,925,930,861
2023-01-02,930,950,925,925,2856
2023-01-09,955,955,900,915,12963
2023-01-16,850,900,850,900,7692
2023-01-23,880,880,720,750,9691
2023-01-30,750,785,750,780,6731
2023-02-06,785,800,740,800,3943
2023-02-13,830,910,830,885,4848
2023-02-20,860,900,860,900,13405
2023-02-27,900,900,825,825,1415
2023-03-06,770,845,770,845,1557
2023-03-13,845,855,840,850,5141
2023-03-20,850,860,845,845,12643
2023-03-27,845,845,805,805,577
2023-04-03,835,835,780,780,1679
2023-04-10,820,820,780,780,3063
