Date,Open,High,Low,Close,Volume
2020-11-11,1300,1300,1300,1300,798
2020-11-12,1300,1395,1255,1300,173
2020-11-13,1300,1300,1205,1205,5910
2020-11-16,1250,1250,1250,1250,7
2020-11-17,1275,1340,1255,1340,200
2020-11-18,1340,1400,1320,1350,505
2020-11-19,1300,1395,1300,1395,1330
2020-11-20,1385,1385,1385,1385,120
2020-11-23,1365,1365,1285,1285,148
2020-11-24,1200,1300,1190,1300,5100
2020-11-25,1350,1380,1350,1350,3183
2020-11-26,1350,1350,1300,1300,25
2020-11-27,1300,1395,1245,1395,21922
2020-11-30,1370,1370,1370,1370,420
2020-12-01,1370,1380,1300,1300,206
2020-12-02,1325,1370,1300,1365,20269
2020-12-03,1350,1400,1345,1400,2921
2020-12-04,1365,1365,1365,1365,65
2020-12-07,1365,1365,1365,1365,542
2020-12-08,1365,1365,1350,1350,350
2020-12-09,1340,1370,1300,1370,3071
2020-12-10,1300,1300,1300,1300,11
2020-12-11,1290,1370,1290,1370,480
2020-12-14,1370,1370,1370,1370,140
2020-12-15,1320,1365,1320,1320,377
2020-12-16,1350,1370,1325,1370,43135
2020-12-17,1340,1340,1335,1335,50
2020-12-18,1330,1345,1320,1345,7689
2020-12-21,1340,1340,1340,1340,115
2020-12-22,1335,1340,1335,1340,46
2020-12-23,1335,1345,1320,1345,16251
2020-12-24,1345,1345,1320,1345,385
2020-12-28,1345,1345,1300,1300,212
2020-12-29,1300,1395,1300,1395,103425
2020-12-30,1350,1495,1330,1495,25097
2020-12-31,1405,1500,1405,1500,2980
2021-01-04,1500,1500,1450,1450,16
2021-01-05,1440,1440,1385,1385,454
2021-01-06,1385,1385,1300,1375,1318
2021-01-07,1350,1360,1345,1345,2735
2021-01-08,1345,1345,1300,1300,1246
2021-01-11,1345,1350,1345,1350,3563
2021-01-12,1360,1360,1300,1300,4681
2021-01-13,1360,1360,1345,1345,394
2021-01-14,1355,1360,1355,1360,435
2021-01-15,1355,1380,1350,1380,348
2021-01-18,1385,1385,1380,1380,105
2021-01-19,1380,1380,1350,1350,514
2021-01-20,1380,1380,1355,1355,290
2021-01-22,1355,1355,1355,1355,300
2021-01-25,1380,1385,1380,1385,1721
2021-01-26,1400,1400,1400,1400,10
2021-01-27,1400,1450,1400,1450,1649
2021-01-28,1450,1490,1450,1490,317
2021-01-29,1490,1490,1450,1450,1589
2021-02-01,1490,1495,1400,1495,314
2021-02-02,1450,1475,1450,1475,141
2021-02-03,1475,1480,1475,1480,596
2021-02-04,1475,1480,1475,1480,207
2021-02-05,1480,1480,1475,1475,324
2021-02-08,1480,1495,1475,1490,183
2021-02-09,1475,1475,1390,1400,1015
2021-02-10,1400,1400,1400,1400,112
2021-02-11,1400,1450,1380,1450,412
2021-02-12,1450,1450,1400,1400,340
2021-02-15,1350,1440,1350,1400,923
2021-02-16,1400,1400,1400,1400,76
2021-02-17,1400,1400,1400,1400,672
2021-02-18,1400,1420,1400,1420,47
2021-02-19,1420,1440,1420,1440,255
2021-02-22,1400,1420,1370,1400,1769
2021-02-23,1400,1410,1400,1400,426
2021-02-24,1400,1400,1400,1400,263
2021-02-25,1400,1400,1350,1350,1525
2021-02-26,1400,1400,1400,1400,150
2021-03-01,1420,1450,1420,1450,1120
2021-03-02,1405,1410,1405,1410,1089
2021-03-03,1425,1500,1420,1500,831
2021-03-04,1490,1500,1425,1500,1914
2021-03-05,1425,1500,1425,1495,983
2021-03-08,1500,1500,1495,1495,1462
2021-03-09,1500,1500,1455,1455,165
2021-03-10,1495,1495,1455,1455,145
2021-03-11,1490,1500,1450,1500,3147
2021-03-12,1500,1500,1490,1500,310
2021-03-15,1460,1500,1450,1495,530
2021-03-16,1495,1495,1490,1495,263
2021-03-17,1490,1490,1485,1485,161
2021-03-18,1480,1480,1480,1480,408
2021-03-19,1480,1480,1480,1480,1095
2021-03-22,1490,1490,1455,1455,888
2021-03-23,1455,1480,1455,1460,834
2021-03-24,1490,1490,1480,1485,3076
2021-03-25,1485,1495,1460,1460,1666
2021-03-26,1485,1485,1400,1400,1043
2021-03-29,1400,1400,1400,1400,290
2021-03-30,1400,1400,1390,1400,3069
2021-03-31,1400,1400,1310,1350,790
2021-04-01,1395,1400,1395,1400,279
2021-04-02,1395,1395,1395,1395,1400
2021-04-06,1400,1400,1400,1400,2611
2021-04-07,1400,1400,1350,1400,2734
2021-04-08,1400,1405,1355,1400,1496
2021-04-09,1410,1480,1400,1480,7171
2021-04-12,1450,1450,1375,1375,41745
2021-04-13,1375,1475,1375,1450,171183
2021-04-14,1450,1450,1400,1450,2701
2021-04-15,1450,1450,1400,1435,3095
2021-04-16,1435,1435,1380,1380,469
2021-04-19,1435,1450,1420,1420,2012
2021-04-20,1425,1450,1315,1450,12930
2021-04-21,1445,1450,1445,1450,415
2021-04-22,1450,1555,1450,1555,3440
2021-04-23,1500,1600,1500,1600,1317
2021-04-26,1600,1615,1600,1615,1045
2021-04-27,1610,1700,1610,1700,2001
2021-04-28,1695,1700,1600,1700,871
2021-04-29,1700,1700,1575,1575,9404
2021-04-30,1460,1690,1460,1690,13017
2021-05-03,1565,1600,1565,1595,736
2021-05-04,1600,1645,1600,1645,580
2021-05-05,1595,1595,1525,1525,1720
2021-05-06,1500,1500,1460,1500,689
2021-05-07,1470,1500,1470,1500,983
2021-05-10,1500,1500,1500,1500,714
2021-05-11,1485,1505,1485,1500,1412
2021-05-14,1485,1500,1460,1500,1994
2021-05-17,1500,1500,1465,1500,678
2021-05-18,1450,1600,1450,1600,1060
2021-05-19,1550,1550,1480,1480,992
2021-05-20,1450,1590,1380,1585,4458
2021-05-21,1575,1600,1575,1585,865
2021-05-25,1595,1595,1580,1585,556
2021-05-26,1590,1590,1585,1585,1130
2021-05-27,1580,1600,1580,1600,1167
2021-05-28,1600,1600,1600,1600,1030
2021-05-31,1600,1680,1485,1680,4278
2021-06-01,1680,1680,1605,1670,659
2021-06-02,1650,1650,1650,1650,229
2021-06-03,1645,1645,1640,1640,87
2021-06-04,1610,1640,1600,1625,700
2021-06-07,1635,1635,1625,1630,18549
2021-06-08,1630,1700,1630,1700,1858
2021-06-09,1700,1750,1700,1745,1845
2021-06-10,1745,1745,1650,1700,2104
2021-06-11,1700,1700,1600,1700,2024
2021-06-14,1695,1695,1600,1690,225
2021-06-15,1690,1690,1685,1685,1368
2021-06-16,1685,1700,1680,1700,10261
2021-06-17,1695,1700,1690,1700,1315
2021-06-18,1695,1710,1685,1700,3642
2021-06-21,1700,1745,1685,1745,4288
2021-06-22,1700,1750,1700,1745,537
2021-06-23,1740,1750,1735,1745,5959
2021-06-24,1745,1750,1745,1750,3084
2021-06-25,1745,1750,1745,1745,1423
2021-06-28,1750,1750,1745,1750,1847
2021-06-29,1750,1800,1745,1790,14305
2021-06-30,1800,1800,1790,1790,1545
2021-07-01,1810,1810,1755,1790,1905
2021-07-02,1790,1790,1715,1755,4129
2021-07-05,1790,1790,1700,1750,1324
2021-07-06,1745,1745,1675,1680,12533
2021-07-07,1695,1695,1610,1650,23451
2021-07-08,1650,1680,1650,1650,6364
2021-07-09,1650,1650,1600,1600,3261
