Date,Open,High,Low,Close,Volume
2020-11-30,1200,1495,1150,1370,49924
2020-12-31,1370,1500,1290,1500,227817
2021-01-31,1500,1500,1300,1450,21685
2021-02-28,1490,1495,1350,1400,9750
2021-03-31,1420,1500,1310,1350,25279
2021-04-30,1395,1700,1315,1690,281336
2021-05-31,1565,1680,1380,1680,25042
2021-06-30,1680,1800,1600,1790,77854
2021-07-31,1810,1810,1450,1700,366434
2021-08-31,1700,2315,1650,2000,67202
2021-09-30,2000,2050,1900,2000,158335
2021-10-31,2000,2045,1860,1965,74242
2021-11-30,2000,2040,1800,1995,70501
2021-12-31,1950,1995,1780,1895,97049
2022-01-31,1895,2160,1800,2160,89405
2022-02-28,2155,2250,2050,2150,76879
2022-03-31,2205,2495,2100,2495,167332
2022-04-30,2495,2550,2300,2470,43921
2022-05-31,2300,2300,2000,2295,36246
2022-06-30,2295,2460,2250,2400,57852
2022-07-31,2400,2450,2150,2300,29170
2022-08-31,2300,2300,2000,2245,47322
2022-09-30,2245,2300,2050,2200,32571
2022-10-31,2200,2200,2000,2150,67621
2022-11-30,2150,2200,2000,2000,24053
2022-12-31,1850,2000,1715,1990,111719
2023-01-31,1990,2030,1860,1980,52922
2023-02-28,2015,2015,1900,1985,50649
2023-03-31,1990,2335,1950,2120,72583
2023-04-30,2120,2120,2000,2050,10663
2023-05-31,2050,2110,1900,2050,17888
2023-06-30,2050,2100,2000,2100,24813
2023-07-31,2100,2300,2000,2200,68143
2023-08-31,2095,2240,1900,1900,202947
2023-09-30,1970,2100,1900,2000,40740
2023-10-31,2065,2130,1965,2000,43607
2023-11-30,1955,2000,1840,1900,89607
2023-12-31,1900,1985,1670,1700,61635
2024-01-31,1700,1820,1575,1680,104153
2024-02-29,1675,1825,1530,1775,50262
2024-03-31,1715,1790,1590,1670,150824
2024-04-30,1670,1670,1520,1520,174374
2024-05-31,1630,1895,1520,1880,261477
2024-06-30,1880,2100,1850,1970,107312
2024-07-31,1995,2075,1900,1900,201540
2024-08-31,1900,2075,1880,2030,116318
2024-09-30,2030,2240,2030,2195,104806
2024-10-31,2195,2550,2165,2355,455640
2024-11-30,2200,2355,1995,2150,66770
2024-12-31,2150,2250,2050,2195,54483
2025-01-31,2200,2200,2100,2180,48993
2025-02-28,2180,2390,2035,2380,63771
2025-03-31,2350,2860,2355,2600,87009
2025-04-30,2595,2710,2305,2390,43928
2025-05-31,2215,2395,2130,2300,76423
2025-06-30,2300,2600,2300,2550,64516
2025-07-31,2550,2550,2250,2300,65567
2025-08-31,2300,2325,2100,2235,113026
2025-09-30,2235,2400,2220,2305,57385
2025-10-31,2305,2550,2300,2530,112857
