Date,Open,High,Low,Close,Volume
2020-12-31,1320,1500,1190,1500,275286
2021-03-31,1500,1500,1300,1350,56714
2021-06-30,1395,1800,1315,1790,384232
2021-09-30,1810,2315,1450,2000,591971
2021-12-31,2000,2045,1780,1895,241792
2022-03-31,1895,2495,1800,2495,333616
2022-06-30,2495,2550,2000,2400,138019
2022-09-30,2400,2450,2000,2200,109063
2022-12-31,2200,2200,1715,1990,203393
2023-03-31,1990,2335,1860,2120,176154
2023-06-30,2120,2120,1900,2100,53364
2023-09-30,2100,2300,1900,2000,311830
2023-12-31,2065,2130,1670,1700,194849
2024-03-31,1700,1825,1530,1670,305239
2024-06-30,1670,2100,1520,1970,543163
2024-09-30,1995,2240,1880,2195,422664
2024-12-31,2195,2550,1995,2195,576893
2025-03-31,2200,2860,2035,2600,199773
2025-06-30,2595,2710,2130,2550,184867
2025-09-30,2550,2550,2100,2305,235978
2025-12-31,2305,2635,2300,2615,138424
