Date,Open,High,Low,Close,Volume
2020-11-09,1250,1495,1250,1495,5570
2020-11-16,1400,1450,1205,1250,9296
2020-11-23,1275,1400,1255,1285,2303
2020-11-30,1200,1395,1190,1370,30650
2020-12-07,1370,1400,1300,1365,24003
2020-12-14,1365,1370,1290,1370,4052
2020-12-21,1320,1370,1320,1340,51366
2020-12-28,1335,1345,1300,1300,16894
2021-01-04,1300,1500,1300,1450,131518
2021-01-11,1440,1440,1300,1350,9316
2021-01-18,1360,1385,1300,1380,5963
2021-01-25,1380,1385,1350,1385,2825
2021-02-01,1400,1495,1400,1495,3879
2021-02-08,1450,1495,1450,1490,1451
2021-02-15,1475,1475,1350,1400,2802
2021-02-22,1400,1440,1370,1400,2819
2021-03-01,1400,1450,1350,1450,3484
2021-03-08,1405,1500,1405,1495,6279
2021-03-15,1500,1500,1450,1495,4297
2021-03-22,1495,1495,1455,1455,2815
2021-03-29,1455,1495,1400,1400,6909
2021-04-05,1400,1400,1310,1395,5538
2021-04-12,1400,1480,1350,1375,55757
2021-04-19,1375,1475,1375,1420,179460
2021-04-26,1425,1615,1315,1615,19147
2021-05-03,1610,1700,1460,1595,26029
2021-05-10,1600,1645,1460,1500,4686
2021-05-17,1485,1505,1460,1500,4084
2021-05-24,1450,1600,1380,1585,7375
2021-05-31,1595,1680,1485,1680,8161
2021-06-07,1680,1680,1600,1630,20224
2021-06-14,1630,1750,1600,1690,8056
2021-06-21,1690,1745,1680,1745,20874
2021-06-28,1700,1750,1700,1750,12850
2021-07-05,1750,1810,1700,1750,23208
2021-07-12,1745,1745,1450,1450,323368
2021-07-19,1550,1700,1520,1620,13727
2021-07-26,1620,1750,1615,1695,14021
2021-08-02,1700,1750,1650,1700,8210
2021-08-09,1790,1790,1650,1700,18270
2021-08-16,1710,1800,1700,1750,16283
2021-08-23,1800,2315,1750,2165,16821
2021-08-30,2160,2190,1950,2000,14911
2021-09-06,2000,2050,2000,2025,11485
2021-09-13,2000,2030,1980,1980,31492
2021-09-20,2000,2020,1980,2000,18361
2021-09-27,1980,2005,1970,2000,84669
2021-10-04,2005,2015,1900,1980,36899
2021-10-11,2005,2045,1860,2000,6498
2021-10-18,2000,2040,1950,1965,8033
2021-10-25,1980,2000,1900,1960,21181
2021-11-01,2000,2045,1965,1965,14626
2021-11-08,2000,2040,1960,2000,35738
2021-11-15,1990,2000,1960,1965,6565
2021-11-22,1965,2000,1800,1840,14378
2021-11-29,1835,1950,1800,1950,10922
2021-12-06,1950,2000,1900,1945,26688
2021-12-13,1925,1945,1780,1850,34766
2021-12-20,1855,1900,1800,1800,6583
2021-12-27,1800,1900,1795,1900,12520
2022-01-03,1895,1950,1850,1950,20343
