Date,Open,High,Low,Close,Volume
2020-12-31,3050,4070,2800,3895,2984583
2021-03-31,3605,3695,2960,3310,163434
2021-06-30,3350,3600,3005,3400,435253
2021-09-30,3300,4200,3150,4100,173433
2021-12-31,4100,5245,4065,4785,107471
2022-03-31,4785,5205,4200,5050,251041
2022-06-30,5050,5500,3980,4550,905361
2022-09-30,4300,5000,4200,4700,1285602
2022-12-31,4625,5125,4600,4945,552056
2023-03-31,4865,5150,4505,4950,187122
2023-06-30,4945,5640,4850,5285,237190
2023-09-30,5280,6815,5260,6625,320138
2023-12-31,6630,7000,6250,6800,449940
2024-03-31,6800,7000,6400,6985,96358
2024-06-30,6900,7600,6490,6990,119289
2024-09-30,7000,9000,6600,8795,138005
2024-12-31,8800,8950,8260,8795,526574
2025-03-31,8750,10500,8005,9860,51230
2025-06-30,9900,12650,9255,11860,67363
2025-09-30,11845,13410,10915,12505,78703
2025-12-31,12300,14890,12300,14890,44488
