Date,Open,High,Low,Close,Volume
2020-11-09,3200,3200,2800,3200,1001126
2020-11-16,3195,3290,2960,3290,5325
2020-11-23,3250,3400,3020,3390,23409
2020-11-30,3255,3390,3200,3370,2173
2020-12-07,3350,3390,3150,3150,8525
2020-12-14,3160,3390,2950,3390,641782
2020-12-21,3175,3515,3175,3490,40116
2020-12-28,3490,3795,3370,3795,124997
2021-01-04,3650,4070,3650,3895,1135036
2021-01-11,3605,3695,3100,3105,4644
2021-01-18,3105,3200,2960,3105,12306
2021-01-25,3200,3395,3195,3395,3188
2021-02-01,3300,3400,3300,3400,3275
2021-02-08,3400,3400,3155,3350,5458
2021-02-15,3350,3390,3200,3300,2822
2021-02-22,3295,3300,3290,3290,2202
2021-03-01,3325,3500,3290,3500,2307
2021-03-08,3500,3550,3400,3530,2080
2021-03-15,3500,3550,3450,3550,5009
2021-03-22,3565,3600,3500,3580,4797
2021-03-29,3580,3600,3295,3300,112089
2021-04-05,3345,3595,3300,3590,4312
2021-04-12,3590,3600,3300,3400,19411
2021-04-19,3500,3600,3005,3495,207713
2021-04-26,3495,3600,3400,3595,149658
2021-05-03,3590,3600,3500,3590,2197
2021-05-10,3115,3545,3115,3300,2482
2021-05-17,3295,3300,3200,3225,5256
2021-05-24,3245,3315,3200,3250,7556
2021-05-31,3250,3445,3205,3400,3170
2021-06-07,3400,3450,3375,3390,2813
2021-06-14,3390,3465,3300,3400,5574
2021-06-21,3480,3480,3375,3400,20990
2021-06-28,3400,3425,3395,3400,4040
2021-07-05,3400,3400,3230,3400,5393
2021-07-12,3350,3500,3150,3450,97844
2021-07-19,3445,3500,3425,3500,2734
2021-07-26,3500,3600,3400,3550,3927
2021-08-02,3550,3650,3545,3600,5168
2021-08-09,3595,3650,3580,3600,7583
2021-08-16,3600,3650,3530,3625,1866
2021-08-23,3650,3800,3650,3800,2691
2021-08-30,3800,4000,3800,3900,3112
2021-09-06,3855,3990,3800,3855,1822
2021-09-13,3920,4000,3900,4000,6848
2021-09-20,3995,4150,3930,4150,9082
2021-09-27,4120,4200,4010,4040,26433
2021-10-04,4035,4150,4035,4100,3531
2021-10-11,4100,4450,4100,4300,5867
2021-10-18,4300,4390,4250,4385,3890
2021-10-25,4305,4400,4250,4400,7887
2021-11-01,4320,4495,4320,4400,2541
2021-11-08,4400,4485,4300,4345,4037
2021-11-15,4300,4395,4300,4350,1268
2021-11-22,4400,4400,4250,4250,7574
2021-11-29,4400,5245,4400,5025,12897
2021-12-06,5200,5200,4900,5000,13763
2021-12-13,4950,5050,4615,4800,10284
2021-12-20,4950,5000,4660,4980,7859
2021-12-27,4900,4900,4650,4895,3091
2022-01-03,4805,4900,4700,4775,25715
2022-01-10,4780,4780,4400,4450,6233
2022-01-17,4400,4400,4300,4395,4237
2022-01-24,4395,4785,4385,4695,4314
2022-01-31,4500,4700,4375,4700,4046
2022-02-07,4700,4745,4650,4700,1153
2022-02-14,4700,4700,4505,4505,3611
2022-02-21,4505,4600,4500,4595,9683
2022-02-28,4595,4595,4200,4500,136282
2022-03-07,4500,4500,4400,4500,10364
2022-03-14,4500,4700,4500,4695,6930
2022-03-21,4690,5050,4650,5040,11039
2022-03-28,5000,5205,5000,5100,25729
2022-04-04,5095,5140,4805,5135,36904
2022-04-11,5500,5500,4955,5045,4392
2022-04-18,5045,5100,5000,5045,7620
2022-04-25,5050,5050,4700,5000,24642
2022-05-02,4775,4900,4600,4695,7111
2022-05-09,4695,4700,4505,4510,4583
2022-05-16,4510,4545,3980,3980,121237
2022-05-23,4150,4490,4015,4300,76254
2022-05-30,4300,4500,4295,4500,38991
2022-06-06,4500,4500,4350,4485,433327
2022-06-13,4480,4480,4400,4480,1315
2022-06-20,4480,4600,4400,4500,14352
2022-06-27,4400,4500,4150,4500,49853
2022-07-04,4500,4550,4180,4300,117958
2022-07-11,4285,4380,4245,4380,1103915
2022-07-18,4250,4445,4250,4300,24306
2022-07-25,4300,4450,4200,4400,37551
2022-08-01,4300,4600,4300,4600,31859
2022-08-08,4580,4700,4300,4500,10485
2022-08-15,4500,4600,4480,4600,13400
2022-08-22,4600,4600,4495,4590,7248
2022-08-29,4590,4595,4500,4590,11657
2022-09-05,4590,4590,4505,4590,6298
2022-09-12,4565,4600,4540,4590,4959
2022-09-19,4585,4750,4580,4730,5524
2022-09-26,4730,5000,4635,4850,4031
2022-10-03,4900,4900,4590,4700,20420
2022-10-10,4700,4850,4600,4720,2684
2022-10-17,4710,4900,4700,4800,10330
2022-10-24,4800,4895,4705,4800,16994
2022-10-31,4800,5100,4700,5000,23314
2022-11-07,4995,5000,4750,5000,9577
2022-11-14,4950,4950,4750,4800,6337
2022-11-21,4800,4900,4750,4900,3412
2022-11-28,4750,4900,4700,4790,3777
2022-12-05,4705,4780,4600,4695,7622
2022-12-12,4650,4895,4605,4895,9848
2022-12-19,4680,4900,4650,4800,428439
2022-12-26,4800,5125,4610,5125,12643
2023-01-02,5085,5085,4600,4865,14852
2023-01-09,4505,4900,4505,4655,6342
2023-01-16,4655,4780,4605,4780,11100
2023-01-23,4755,4875,4755,4870,9384
2023-01-30,4875,5150,4875,5150,6539
2023-02-06,5000,5000,4900,4995,4755
2023-02-13,4875,4995,4855,4995,24934
2023-02-20,4995,5150,4945,5145,19993
2023-02-27,4910,5140,4910,5100,8553
2023-03-06,5100,5100,4950,5085,13182
2023-03-13,5085,5100,5060,5100,8605
2023-03-20,5100,5130,5080,5080,38976
2023-03-27,5010,5050,4950,5000,9609
2023-04-03,4970,4970,4800,4850,25855
2023-04-10,4935,5595,4850,5480,47785
2023-04-17,5395,5395,5190,5190,20204
2023-04-24,5200,5200,5190,5200,7685
2023-05-01,5200,5495,5200,5495,12816
2023-05-08,5500,5545,5450,5450,8786
2023-05-15,5450,5540,5450,5540,8884
2023-05-22,5500,5640,5500,5635,3882
2023-05-29,5635,5635,5090,5280,36681
