Date,Open,High,Low,Close,Volume
2020-12-31,13,13,13,13,442647
2021-03-31,13,13,13,13,955239
2021-06-30,13,13,13,13,3316482
2021-09-30,13,13,13,13,5615797
2021-12-31,13,19,13,18,127319672
2022-03-31,19,27,14,17,96265148
2022-06-30,17,18,14,16,35304923
2022-09-30,15,19,15,19,21239344
2022-12-31,19,20,17,19,25234775
2023-03-31,19,21,17,17,30155288
2023-06-30,16,18,16,18,19283915
2023-09-30,18,19,17,19,11860857
2023-12-31,19,19,17,19,17977829
2024-03-31,19,19,16,18,12556934
2024-06-30,17,18,16,17,12973257
2024-09-30,17,17,15,16,16977264
2024-12-31,16,17,15,16,21653188
2025-03-31,16,16,15,16,49038521
2025-06-30,15,19,14,18,42904992
2025-09-30,17,18,15,18,47514781
2025-12-31,17,22,17,22,32506772
