Date,Open,High,Low,Close,Volume
2020-11-02,13,13,13,13,29276
2020-11-09,13,13,13,13,150863
2020-11-16,13,13,13,13,27075
2020-11-23,13,13,13,13,161139
2020-11-30,13,13,13,13,19311
2020-12-07,13,13,13,13,10675
2020-12-14,13,13,13,13,10512
2020-12-21,13,13,13,13,9636
2020-12-28,13,13,13,13,13820
2021-01-04,13,13,13,13,11740
2021-01-11,13,13,13,13,32869
2021-01-18,13,13,13,13,10942
2021-01-25,13,13,13,13,293556
2021-02-01,13,13,13,13,131093
2021-02-08,13,13,13,13,17069
2021-02-15,13,13,13,13,15894
2021-02-22,13,13,13,13,23983
2021-03-01,13,13,13,13,12931
2021-03-08,13,13,13,13,59895
2021-03-15,13,13,13,13,270339
2021-03-22,13,13,13,13,28355
2021-03-29,13,13,13,13,44413
2021-04-05,13,13,13,13,20300
2021-04-12,13,13,13,13,20311
2021-04-19,13,13,13,13,11830
2021-04-26,13,13,13,13,258682
2021-05-03,13,13,13,13,133341
2021-05-10,13,13,13,13,62737
2021-05-17,13,13,13,13,28659
2021-05-24,13,13,13,13,196195
2021-05-31,13,13,13,13,1243820
2021-06-07,13,13,13,13,818265
2021-06-14,13,13,13,13,105130
2021-06-21,13,13,13,13,233641
2021-06-28,13,13,13,13,145670
2021-07-05,13,13,13,13,177768
2021-07-12,13,13,13,13,103839
2021-07-19,13,13,13,13,144570
2021-07-26,13,13,13,13,185741
2021-08-02,13,13,13,13,329140
2021-08-09,13,13,13,13,1265923
2021-08-16,13,13,13,13,130484
2021-08-23,13,13,13,13,407481
2021-08-30,13,13,13,13,392137
2021-09-06,13,13,13,13,372280
2021-09-13,13,13,13,13,400482
2021-09-20,13,13,13,13,378927
2021-09-27,13,13,13,13,810287
2021-10-04,13,13,13,13,644426
2021-10-11,13,13,13,13,373608
2021-10-18,13,13,13,13,1137382
2021-10-25,13,13,13,13,2663177
2021-11-01,13,13,13,13,639956
2021-11-08,13,13,13,13,3730215
2021-11-15,13,13,13,13,162928
2021-11-22,13,13,13,13,227092
2021-11-29,13,13,13,13,65712
2021-12-06,13,13,13,13,338762
2021-12-13,13,13,13,13,39099475
2021-12-20,13,14,13,14,23777591
2021-12-27,14,15,13,15,48917610
2022-01-03,16,19,16,19,6760016
2022-01-10,19,24,19,24,14178880
2022-01-17,25,27,23,23,13350148
2022-01-24,22,22,18,18,1330681
2022-01-31,17,21,16,21,8344795
2022-02-07,22,22,18,20,7538018
2022-02-14,21,23,21,21,5615233
2022-02-21,20,21,19,20,4648801
2022-02-28,20,21,19,20,2164222
2022-03-07,19,19,15,15,7002931
2022-03-14,14,16,14,15,16214293
2022-03-21,15,16,14,16,10199697
2022-03-28,16,18,16,18,4179326
2022-04-04,17,18,16,17,3364394
2022-04-11,16,17,16,17,1326031
2022-04-18,17,17,16,17,1959462
2022-04-25,17,17,16,17,1288168
2022-05-02,17,18,16,17,3148648
2022-05-09,17,17,16,17,3611022
2022-05-16,17,17,16,17,1128564
2022-05-23,16,17,15,15,4846687
2022-05-30,15,16,15,16,1371889
2022-06-06,16,16,15,16,4180756
2022-06-13,16,16,15,16,536840
2022-06-20,16,16,15,16,1956670
2022-06-27,16,16,14,15,4233705
2022-07-04,15,16,15,16,3285751
2022-07-11,16,16,15,16,485036
2022-07-18,16,18,15,18,5344334
2022-07-25,18,18,17,18,861281
2022-08-01,18,19,18,19,4519666
2022-08-08,19,19,17,19,887404
2022-08-15,19,19,17,18,562878
2022-08-22,18,18,17,18,1293374
2022-08-29,18,19,17,19,945417
2022-09-05,19,19,18,18,2086082
2022-09-12,19,19,18,19,788195
