Date,Open,High,Low,Close,Volume
2020-12-31,1400,1610,1350,1610,285397
2021-03-31,1605,1605,1305,1475,31722
2021-06-30,1450,2090,1325,2090,358332
2021-09-30,2100,2195,1800,1945,175559
2021-12-31,1940,1940,1470,1680,163570
2022-03-31,1650,1800,1400,1550,206786
2022-06-30,1600,1640,1150,1205,189106
2022-09-30,1205,1395,1205,1245,72808
2022-12-31,1245,1630,1080,1600,129157
2023-03-31,1480,1495,1080,1195,133769
2023-06-30,1200,1230,1080,1100,35654
2023-09-30,1100,1180,1030,1115,227075
2023-12-31,1115,2085,1075,1840,448894
2024-03-31,1800,2000,1610,1930,96635
2024-06-30,1930,2000,1275,1380,198860
2024-09-30,1380,1555,1300,1440,125501
2024-12-31,1440,1860,1235,1850,311794
2025-03-31,1850,3390,1770,3280,389506
2025-06-30,3280,6845,3000,3880,2366201
2025-09-30,3590,5350,1890,2520,909032
2025-12-31,2600,3380,1900,2365,376689
