Date,Open,High,Low,Close,Volume
2020-11-02,1315,1410,1315,1410,10787
2020-11-09,1325,1595,1300,1595,14457
2020-11-16,1590,1590,1370,1515,21382
2020-11-23,1515,1515,1400,1400,1028
2020-11-30,1400,1500,1400,1490,15538
2020-12-07,1450,1465,1420,1420,5613
2020-12-14,1390,1465,1390,1450,6165
2020-12-21,1390,1495,1390,1400,31357
2020-12-28,1400,1500,1350,1420,75942
2021-01-04,1350,1610,1350,1605,135115
2021-01-11,1485,1500,1345,1345,1016
2021-01-18,1345,1445,1345,1400,909
2021-01-25,1395,1395,1305,1305,5601
2021-02-01,1305,1505,1305,1505,2721
2021-02-08,1450,1485,1400,1405,673
2021-02-15,1425,1425,1400,1400,887
2021-02-22,1405,1425,1375,1425,938
2021-03-01,1425,1450,1405,1430,609
2021-03-08,1440,1500,1380,1470,8450
2021-03-15,1410,1485,1410,1485,1482
2021-03-22,1485,1485,1450,1450,4371
2021-03-29,1450,1485,1450,1475,2789
2021-04-05,1475,1475,1390,1450,4586
2021-04-12,1400,1450,1325,1405,1330
2021-04-19,1400,1450,1350,1450,1972
2021-04-26,1450,1680,1405,1680,160321
2021-05-03,1805,1890,1700,1820,46040
2021-05-10,1775,1820,1715,1720,15211
2021-05-17,1715,1800,1715,1800,8890
2021-05-24,1795,1825,1755,1800,13106
2021-05-31,1790,1985,1790,1985,40642
2021-06-07,1980,2000,1850,1990,8258
2021-06-14,1990,2050,1900,2000,27361
2021-06-21,2000,2000,1850,1950,5718
2021-06-28,1940,2000,1900,2000,11513
2021-07-05,1960,2100,1910,2050,24275
2021-07-12,2050,2050,1955,2040,6041
2021-07-19,2000,2050,2000,2040,8671
2021-07-26,2050,2195,2000,2195,24771
2021-08-02,2050,2100,1900,1930,16415
2021-08-09,1925,1925,1850,1895,4635
2021-08-16,1895,1995,1800,1990,17445
2021-08-23,1985,1985,1900,1975,2677
2021-08-30,1975,1975,1905,1940,8299
2021-09-06,1940,1970,1910,1950,3731
2021-09-13,1970,1980,1895,1895,34943
2021-09-20,1895,2000,1860,1975,13650
2021-09-27,1900,1990,1880,1950,16244
2021-10-04,1950,1950,1850,1850,28147
2021-10-11,1900,1900,1850,1850,25977
2021-10-18,1850,1930,1815,1845,7482
2021-10-25,1800,1800,1605,1620,15148
2021-11-01,1625,1790,1625,1670,5907
2021-11-08,1795,1825,1700,1800,5201
2021-11-15,1800,1800,1700,1800,10545
2021-11-22,1800,1860,1700,1705,18851
2021-11-29,1800,1800,1700,1700,7582
2021-12-06,1800,1800,1650,1650,4227
2021-12-13,1650,1700,1600,1650,7198
2021-12-20,1650,1700,1600,1650,8775
2021-12-27,1610,1755,1600,1670,4273
2022-01-03,1650,1685,1470,1600,22978
2022-01-10,1645,1645,1490,1575,4467
2022-01-17,1570,1700,1500,1650,6216
2022-01-24,1650,1800,1550,1790,9791
2022-01-31,1790,1790,1700,1700,2774
2022-02-07,1700,1750,1610,1745,4137
2022-02-14,1740,1740,1630,1640,4549
2022-02-21,1650,1650,1515,1600,8113
2022-02-28,1600,1600,1560,1590,11709
2022-03-07,1590,1590,1460,1460,21206
2022-03-14,1565,1650,1465,1575,10866
2022-03-21,1580,1580,1465,1465,14964
2022-03-28,1560,1560,1400,1540,105682
2022-04-04,1570,1650,1500,1500,6953
2022-04-11,1545,1585,1300,1450,22380
2022-04-18,1450,1570,1450,1480,4172
2022-04-25,1485,1640,1480,1485,54213
2022-05-02,1450,1575,1405,1500,7508
2022-05-09,1495,1495,1300,1300,8995
2022-05-16,1205,1300,1150,1225,9760
2022-05-23,1210,1445,1210,1445,8933
2022-05-30,1380,1395,1300,1340,8516
2022-06-06,1340,1390,1295,1295,5921
2022-06-13,1300,1340,1200,1340,28845
2022-06-20,1340,1440,1250,1340,3526
2022-06-27,1250,1320,1250,1300,1226
2022-07-04,1285,1305,1200,1305,21775
2022-07-11,1305,1395,1300,1350,9182
2022-07-18,1350,1395,1225,1345,6747
2022-07-25,1345,1345,1255,1340,1719
2022-08-01,1300,1345,1245,1300,8927
2022-08-08,1300,1300,1250,1300,4145
2022-08-15,1300,1340,1255,1320,10129
2022-08-22,1255,1330,1255,1290,2556
2022-08-29,1270,1295,1255,1295,4068
2022-09-05,1250,1290,1250,1285,1768
2022-09-12,1285,1290,1255,1275,2943
2022-09-19,1255,1290,1250,1290,4800
2022-09-26,1280,1295,1275,1295,12081
2022-10-03,1295,1295,1225,1245,2383
2022-10-10,1230,1250,1215,1215,1336
2022-10-17,1215,1395,1215,1340,3460
2022-10-24,1255,1340,1150,1290,7043
2022-10-31,1290,1300,1210,1270,716
2022-11-07,1350,1395,1210,1300,4061
2022-11-14,1205,1295,1200,1235,15781
2022-11-21,1230,1235,1160,1200,2840
2022-11-28,1200,1235,1150,1200,2635
2022-12-05,1200,1200,1080,1185,2695
2022-12-12,1200,1290,1185,1290,6434
2022-12-19,1300,1350,1200,1200,8265
2022-12-26,1200,1395,1200,1395,24030
2023-01-02,1300,1630,1300,1495,49707
2023-01-09,1495,1495,1390,1390,693
