Date,Open,High,Low,Close,Volume
1998-12-31,7250,9245,4856,5500,72776
1999-12-31,5500,6000,4500,4750,57720
2000-12-31,4449,4449,3500,3600,84480
2001-12-31,3600,4300,2711,4150,94176
2002-12-31,4150,5993,2248,5993,526968
2003-12-31,5993,5993,2781,3749,317704
2004-12-31,2811,3225,2250,3200,493848
2005-12-31,2550,2875,1863,1998,338200
2006-12-31,1875,1875,1328,1394,140760
2007-12-31,1394,3376,1374,2488,146720
2008-12-31,2488,2488,1100,1674,163112
2009-12-31,1674,1674,726,728,150784
2010-12-31,725,1010,671,813,201968
2011-12-31,813,975,625,675,121820
2012-12-31,675,1656,625,1525,243792
2013-12-31,1523,2300,1499,1925,214388
2014-12-31,1900,7450,1888,7375,670340
2015-12-31,7425,10000,5750,7499,2401312
2016-12-31,7499,8249,4856,5875,1754716
2017-12-31,5625,5750,3250,4925,753828
2018-12-31,4925,5500,1295,2120,750809
2019-12-31,2090,2275,750,1725,477163
2020-12-31,1695,1695,790,1610,753706
2021-12-31,1605,2195,1305,1680,729183
2022-12-31,1650,1800,1080,1600,597857
2023-12-31,1480,2085,1030,1840,845392
2024-12-31,1800,2000,1235,1850,732790
2025-12-31,1850,6845,1770,2220,4206510
2026-12-31,2210,2230,5,2100,93121
