Date,Open,High,Low,Close,Volume
2024-12-16,5025,5160,4800,5150,22943
2024-12-23,5100,5150,4705,5000,77765
2024-12-30,4995,5000,4710,4900,2523
2025-01-06,4800,4900,4700,4845,4446
2025-01-13,4830,4845,4705,4845,6353
2025-01-20,4715,4850,4705,4850,5817
2025-01-27,4845,4875,4700,4875,20218
2025-02-03,4800,5000,4730,4995,15177
2025-02-10,4730,5000,4730,4995,3712
2025-02-17,4995,4995,4730,4900,5923
2025-02-24,4900,4900,4735,4900,5756
2025-03-03,4885,5000,4705,4995,10456
2025-03-10,4945,4995,4485,4840,8713
2025-03-17,4840,4850,4700,4845,6857
2025-03-24,4845,4845,4720,4820,1972
2025-03-31,4820,4950,4730,4950,15800
2025-04-07,4900,4950,4460,4800,8741
2025-04-14,4995,4995,4400,4805,24201
2025-04-21,4800,4850,4700,4700,28167
2025-04-28,4710,4800,4700,4820,19858
2025-05-05,4810,4820,4680,4800,1004
2025-05-12,4800,4800,4600,4800,4959
2025-05-19,4605,4800,4605,4800,1314
2025-05-26,4790,4800,4620,4700,2537
2025-06-02,4700,4800,4400,4800,9940
2025-06-09,4440,4800,4435,4800,10805
2025-06-16,4775,4800,4440,4765,17939
2025-06-23,4775,4800,4470,4785,7623
2025-06-30,4700,4785,4460,4780,29325
2025-07-07,4780,4780,4500,4780,2061
2025-07-14,4485,4780,4485,4760,4951
2025-07-21,4500,4760,4450,4745,11508
2025-07-28,4450,4745,4450,4695,6457
2025-08-04,4100,4700,4100,4690,6551
2025-08-11,4600,4690,4105,4550,5148
2025-08-18,4480,4575,4300,4525,2709
2025-08-25,4325,4525,4325,4500,5922
2025-09-01,4450,4500,4250,4400,9381
2025-09-08,4395,4400,4000,4320,8408
2025-09-15,4310,4320,4000,4150,18874
2025-09-22,4150,4400,4000,4360,17325
2025-09-29,4350,4385,4025,4025,18635
2025-10-06,3725,4025,3465,3985,27127
2025-10-13,3985,4000,3750,4000,4228
2025-10-20,4000,4020,3850,4000,13128
2025-10-27,4000,4070,3850,3860,26389
2025-11-03,3800,4000,3750,3850,18724
2025-11-10,3805,3900,3705,3825,2682
2025-11-17,3825,4025,3800,3890,7500
2025-11-24,3950,3950,3755,3755,16447
2025-12-01,3750,3855,3600,3800,17149
2025-12-08,3800,3885,3700,3700,9607
2025-12-15,3700,3880,3700,3800,9364
2025-12-22,3800,3900,3720,3900,5199
2025-12-29,3900,4520,3760,4520,26138
2026-01-05,4445,4520,3995,4295,551
