Date,Open,High,Low,Close,Volume
2020-10-30,150,155,150,155,6621
2020-11-02,165,165,155,155,8700
2020-11-03,145,145,145,145,1
2020-11-04,155,155,135,135,601
2020-11-05,125,125,125,125,2993
2020-11-09,135,135,135,135,17515
2020-11-10,145,145,125,135,19100
2020-11-11,135,135,135,135,2
2020-11-12,125,145,125,145,285
2020-11-13,135,135,135,135,2056
2020-11-16,135,135,135,135,100
2020-11-17,140,140,130,130,145
2020-11-18,125,125,125,125,30
2020-11-19,130,130,130,130,10
2020-11-23,135,135,135,135,40
2020-11-24,130,135,130,135,661
2020-11-30,125,130,125,125,1450
2020-12-01,125,130,125,130,2340
2020-12-02,130,135,130,135,4900
2020-12-03,140,140,140,140,3000
2020-12-04,140,150,140,150,741
2020-12-07,140,160,140,160,35300
2020-12-08,150,155,150,155,1520
2020-12-09,145,160,145,160,3750
2020-12-10,150,170,150,170,1620
2020-12-11,175,180,175,180,2886
2020-12-14,180,185,180,185,1035
2020-12-15,180,185,180,185,2004
2020-12-16,180,180,180,180,1500
2020-12-17,175,190,175,190,7000
2020-12-18,180,180,180,180,1
2020-12-21,180,185,180,185,489
2020-12-22,190,190,190,190,1000
2020-12-23,200,200,200,200,300
2020-12-24,200,200,200,200,900
2020-12-29,185,215,185,215,5007
2020-12-30,215,225,215,225,1190
2020-12-31,225,230,225,230,1200
2021-01-05,230,230,230,230,40
2021-01-07,215,215,215,215,40
2021-01-12,200,200,200,200,20
2021-01-13,195,195,195,195,1300
2021-01-14,195,195,195,195,25
2021-01-15,190,190,190,190,50
2021-01-18,180,180,180,180,9145
2021-01-19,180,180,180,180,27
2021-01-20,180,180,180,180,18000
2021-01-25,180,190,180,190,1022
2021-01-26,190,190,190,190,876
2021-01-27,190,200,190,200,1400
2021-01-28,200,200,200,200,200
2021-01-29,215,215,215,215,2850
2021-02-01,215,215,215,215,60
2021-02-03,215,215,215,215,967
2021-02-04,215,215,215,215,1854
2021-02-11,215,215,215,215,20
2021-02-12,215,215,215,215,25
2021-02-15,215,215,215,215,81
2021-02-16,215,215,215,215,15
2021-02-18,210,210,210,210,40
2021-02-22,205,205,205,205,5
2021-02-24,205,205,205,205,90
2021-02-25,205,205,205,205,176
2021-03-01,205,205,205,205,70
2021-03-04,195,195,195,195,1800
2021-03-05,195,195,195,195,1010
2021-03-09,190,190,190,190,2630
2021-03-10,190,190,190,190,2800
2021-03-11,190,190,190,190,30
2021-03-15,190,190,190,190,5
2021-03-17,190,190,190,190,3
2021-03-19,190,190,190,190,8
2021-03-22,180,180,180,180,8550
2021-03-23,180,180,180,180,23
2021-03-24,180,180,180,180,303
2021-03-25,180,180,180,180,22
2021-03-26,180,180,180,180,115
2021-04-01,190,190,190,190,200
2021-04-02,190,190,190,190,10
2021-04-06,190,190,190,190,6
2021-04-07,180,180,180,180,145
2021-04-08,190,190,170,170,1305
2021-04-09,170,170,160,160,382
2021-04-12,160,160,155,155,2010
2021-04-13,155,160,155,160,568
2021-04-14,160,160,150,150,323
2021-04-15,155,155,155,155,900
2021-04-16,160,160,150,150,577
2021-04-20,150,150,150,150,5062
2021-04-21,160,160,150,150,875
2021-04-22,160,160,160,160,30035
2021-04-23,170,170,170,170,33
2021-04-26,180,180,180,180,5
2021-04-27,190,190,190,190,15
2021-04-28,200,200,200,200,210
2021-04-29,200,215,200,215,11
2021-04-30,230,230,215,230,776
2021-05-03,245,245,245,245,565
2021-05-04,260,260,260,260,1430
2021-05-05,275,275,260,275,8991
2021-05-06,295,295,295,295,1655
2021-05-07,295,315,295,315,2991
2021-05-10,320,320,320,320,635
2021-05-11,320,320,315,320,2420
2021-05-14,320,320,300,300,8320
2021-05-17,305,320,300,320,3219
2021-05-18,320,320,300,320,2104
2021-05-20,310,310,300,300,265
2021-05-21,300,300,290,290,54
2021-05-25,300,300,280,300,610
2021-05-26,300,300,300,300,398
2021-05-27,280,300,280,300,11452
2021-05-28,300,300,300,300,40
2021-05-31,300,300,290,300,78
2021-06-01,300,300,290,300,1501
2021-06-02,285,290,285,290,1120
2021-06-03,290,290,290,290,192
2021-06-04,270,270,270,270,1405
2021-06-07,250,270,250,250,5796
2021-06-08,265,265,250,250,5308
2021-06-09,250,265,250,250,829
2021-06-10,260,260,250,250,500
2021-06-11,250,250,250,250,207
2021-06-14,255,265,255,265,411
2021-06-15,265,280,265,280,461
2021-06-16,300,300,300,300,25
2021-06-17,315,320,315,320,2499
2021-06-18,340,340,340,340,200
2021-06-21,365,365,365,365,1218
2021-06-22,390,390,390,390,289
2021-06-23,415,415,385,415,16833
2021-06-24,445,445,445,445,520
2021-06-25,475,475,415,415,17600
2021-06-28,420,445,415,440,1518
2021-06-29,440,440,435,435,4467
2021-06-30,420,450,415,450,6410
2021-07-01,450,450,420,420,508
2021-07-02,420,420,400,400,741
2021-07-05,415,415,370,370,880
2021-07-06,365,365,345,345,645
2021-07-07,365,370,345,370,5915
2021-07-08,370,395,370,395,3053
2021-07-09,400,400,370,370,309
2021-07-12,370,370,370,370,20
2021-07-13,395,395,395,395,121
2021-07-14,400,420,400,420,1951
2021-07-15,420,420,420,420,3
2021-07-16,420,420,420,420,310
2021-07-19,415,430,415,430,251
2021-07-21,420,420,420,420,330
2021-07-22,420,420,390,420,462
2021-07-23,420,430,390,390,346
2021-07-26,365,400,365,370,924
2021-07-27,390,395,375,380,1080
2021-07-28,380,380,365,370,3332
2021-07-29,390,395,345,345,10791
2021-07-30,350,350,320,320,24039
2021-08-02,300,340,300,300,7330
2021-08-03,305,320,305,320,2413
2021-08-04,340,340,310,310,12601
2021-08-05,305,330,305,310,7991
2021-08-06,315,330,310,330,1124
2021-08-09,350,350,330,330,4227
2021-08-10,350,350,330,345,6786
2021-08-11,360,370,320,320,11737
2021-08-12,340,340,315,340,76759
2021-08-13,365,365,360,365,4851
2021-08-16,390,390,380,390,7542
2021-08-17,385,415,385,415,4931
2021-08-18,430,445,430,445,24126
2021-08-19,440,475,430,475,10379
2021-08-20,500,510,500,510,9313
2021-08-23,510,545,495,545,8941
2021-08-24,545,585,545,585,16349
2021-08-25,620,625,600,615,5758
2021-08-26,615,615,570,570,3997
2021-08-27,545,550,530,530,1119
2021-08-30,510,565,510,530,54410
2021-08-31,565,565,505,530,3523
2021-09-01,500,550,500,550,34346
2021-09-02,590,590,530,530,4322
2021-09-03,530,565,530,565,610
2021-09-06,565,565,560,560,1324
2021-09-07,560,560,560,560,2066
2021-09-08,560,560,520,530,1171
2021-09-09,515,530,495,530,1812
2021-09-10,525,525,515,525,948
2021-09-13,505,525,505,515,651
2021-09-14,510,535,505,525,4135
2021-09-15,525,525,525,525,274
2021-09-16,520,550,490,530,4086
2021-09-17,530,530,525,525,500
2021-09-20,550,550,490,550,271
2021-09-21,545,545,545,545,750
2021-09-22,540,540,540,540,20
2021-09-23,500,540,500,540,3875
2021-09-24,540,550,540,540,20176
2021-09-27,550,550,540,550,34949
2021-09-28,550,560,540,540,2889
2021-09-29,555,555,540,540,22
2021-09-30,520,520,500,500,35502
2021-10-01,535,535,535,535,1
2021-10-04,530,530,530,530,5
2021-10-05,525,525,515,515,317
2021-10-06,505,525,505,510,4770
2021-10-07,515,525,515,525,77
2021-10-08,525,525,490,500,8580
2021-10-11,500,505,500,500,616
2021-10-12,500,500,500,500,917
2021-10-13,500,525,500,505,1269
2021-10-14,535,535,505,505,249
2021-10-15,510,510,510,510,180
2021-10-19,530,530,490,510,1496
2021-10-20,500,500,500,500,130
2021-10-21,505,510,495,495,3280
2021-10-22,495,495,490,490,996
2021-10-25,490,490,490,490,100
2021-10-26,490,525,490,525,315
2021-10-27,490,500,490,500,4050
2021-10-28,510,510,500,510,352
2021-10-29,500,510,500,510,2077
2021-11-03,585,585,585,585,2451
2021-11-04,625,625,625,625,3512
2021-11-05,670,670,600,655,18367
2021-11-08,665,665,610,635,4301
2021-11-09,635,635,590,625,2939
2021-11-10,590,590,590,590,711
2021-11-11,590,590,550,590,734
2021-11-12,590,590,555,590,548
2021-11-16,550,590,550,550,1470
2021-11-17,555,555,520,540,13071
2021-11-18,525,540,505,540,23680
2021-11-19,530,550,530,540,7553
2021-11-22,515,580,515,580,584
2021-11-23,580,580,575,575,116
2021-11-24,580,580,575,575,11
2021-11-25,575,575,535,535,1916
2021-11-26,535,540,535,535,635
2021-11-29,535,575,535,575,2253
2021-11-30,580,580,575,575,588
2021-12-01,575,575,575,575,470
2021-12-02,575,575,540,575,2606
2021-12-03,575,575,550,550,461
2021-12-06,575,580,540,550,3098
2021-12-07,525,550,525,550,1740
2021-12-08,570,570,535,535,1175
2021-12-09,565,565,535,535,15
2021-12-13,535,575,535,535,202
2021-12-14,535,575,535,575,2113
2021-12-15,575,575,575,575,260
2021-12-16,575,575,570,575,1841
2021-12-17,575,575,570,570,5179
2021-12-20,610,610,575,610,2422
2021-12-21,610,610,605,610,4365
2021-12-22,610,615,610,610,4891
2021-12-23,610,610,610,610,2847
2021-12-24,610,610,610,610,1680
2021-12-27,610,610,610,610,589
2021-12-28,615,615,610,610,1097
2021-12-29,580,610,580,610,805
2021-12-30,610,625,600,625,5900
2021-12-31,625,625,625,625,150
2022-01-03,615,615,605,605,174
2022-01-04,605,605,565,565,967
2022-01-05,595,595,565,590,1636
2022-01-06,595,595,580,590,625
2022-01-10,590,590,570,570,323
2022-01-11,590,590,575,575,431
