Date,Open,High,Low,Close,Volume
2020-11-30,165,165,125,125,53689
2020-12-31,125,230,125,230,77683
2021-01-31,230,230,180,215,34995
2021-02-28,215,215,205,205,3333
2021-03-31,205,205,180,180,17369
2021-04-30,190,230,150,230,43448
2021-05-31,245,320,245,300,45227
2021-06-30,300,475,250,450,69309
2021-07-31,450,450,320,320,56011
2021-08-31,300,625,300,530,286207
2021-09-30,500,590,490,500,154699
2021-10-31,535,535,490,510,29777
2021-11-30,585,670,505,575,85440
2021-12-31,575,625,525,625,43906
2022-01-31,615,625,560,625,39815
2022-02-28,600,955,600,780,91314
2022-03-31,770,845,650,800,47097
2022-04-30,800,870,770,840,37730
2022-05-31,795,800,580,655,75211
2022-06-30,655,675,600,625,7592
2022-07-31,645,725,610,720,7520
2022-08-31,720,725,645,725,29615
2022-09-30,725,725,605,695,9170
2022-10-31,700,760,610,760,70684
2022-11-30,805,805,675,715,11178
2022-12-31,665,800,665,800,10730
2023-01-31,750,750,600,700,3802
2023-02-28,700,700,610,695,7602
2023-03-31,695,695,610,680,5386
2023-04-30,680,680,630,665,4432
2023-05-31,620,690,605,680,6430
2023-06-30,680,695,630,695,7916
2023-07-31,695,700,640,700,7957
2023-08-31,700,705,605,630,4869
2023-09-30,630,675,610,640,5261
2023-10-31,635,645,580,600,4559
2023-11-30,580,660,550,625,15812
2023-12-31,620,755,600,725,28005
2024-01-31,725,740,585,650,73666
2024-02-29,650,750,580,750,13790
2024-03-31,720,750,610,660,8882
2024-04-30,650,780,605,760,31494
2024-05-31,765,860,695,845,43749
2024-06-30,845,890,740,845,20229
2024-07-31,840,845,715,775,8231
2024-08-31,775,785,715,785,45197
2024-09-30,785,785,715,780,172554
2024-10-31,785,815,685,790,64398
2024-11-30,815,815,710,780,11554
2024-12-31,780,780,685,750,4613
2025-01-31,750,750,620,740,36403
2025-02-28,745,745,685,730,8273
2025-03-31,740,740,680,730,11963
2025-04-30,730,730,535,595,28968
2025-05-31,595,600,520,555,93349
2025-06-30,555,615,525,595,35302
2025-07-31,595,600,550,595,11616
2025-08-31,595,635,550,630,14876
2025-09-30,635,690,630,680,24944
2025-10-31,680,770,640,770,65324
