Date,Open,High,Low,Close,Volume
2020-12-31,135,230,125,230,82175
2021-03-31,230,230,180,180,55697
2021-06-30,190,475,150,450,157984
2021-09-30,450,625,300,500,496917
2021-12-31,535,670,490,625,159123
2022-03-31,615,955,560,800,178226
2022-06-30,800,870,580,625,120533
2022-09-30,645,725,605,695,46305
2022-12-31,700,805,610,800,92592
2023-03-31,750,750,600,680,16790
2023-06-30,680,695,605,695,18778
2023-09-30,695,705,605,640,18087
2023-12-31,635,755,550,725,48376
2024-03-31,725,750,580,660,96338
2024-06-30,650,890,605,845,95472
2024-09-30,840,845,715,780,225982
2024-12-31,785,815,685,750,80565
2025-03-31,750,750,620,730,56639
2025-06-30,730,730,520,595,157619
2025-09-30,595,690,550,680,51436
2025-12-31,680,1095,640,1000,141248
